Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
12/7/18,3.2,3.2,3.2,3.2,4,511,1635.2
12/6/18,3.2,3.3,3,3.2,52,72447,227571.6
12/5/18,2.9,3,2.9,2.9,15,36753,107185.7
12/4/18,3,3,2.9,3,24,60210,174730
12/3/18,3,3.3,2.9,3,78,192960,571643.8
11/30/18,3.2,3.5,3.1,3.2,69,100829,333703.1
11/29/18,3.4,3.5,2.8,3.4,310,1849498,6351202.2
11/28/18,2.8,2.8,2.7,2.8,16,8140,22766
11/27/18,2.8,2.8,2.8,2.8,3,4700,13160
11/26/18,2.8,2.8,2.8,2.8,7,18133,50772.4
11/23/18,2.8,2.9,2.7,2.8,7,603,1708.1
11/21/18,2.9,2.9,2.9,2.9,2,11,31.9
11/16/18,2.9,2.9,2.8,2.9,5,17063,47786.4
11/15/18,2.8,2.8,2.8,2.8,7,10003,28008.4
11/14/18,2.8,2.9,2.7,2.8,11,44020,122961
11/13/18,2.8,3,2.8,2.8,35,100223,281435.2
11/12/18,2.8,2.9,2.8,2.8,12,33600,94640
11/9/18,3,3,2.9,3,11,12100,36260
11/8/18,3,3,2.9,3,4,6100,17700
11/7/18,3,3,2.9,3,2,1200,3500
11/5/18,3,3,3,3,7,1585,4755
11/2/18,2.9,3.2,2.9,2.9,29,98763,291898
11/1/18,3.1,3.2,2.8,3.1,83,165145,509362.8
10/31/18,2.9,3,2.8,2.9,17,71494,205147.9
10/30/18,3,3.3,3,3,59,211365,643817
10/29/18,3.2,3.2,2.8,3.2,37,79711,242287
10/26/18,2.8,2.8,2.6,2.8,5,10089,27730.3
10/25/18,2.7,2.8,2.7,2.7,8,2498,6744.9
10/23/18,2.7,2.9,2.7,2.7,18,47177,130398.8
10/22/18,2.8,2.9,2.8,2.8,10,1607,4645.2
10/19/18,2.9,2.9,2.8,2.9,9,5925,16761.1
10/18/18,2.9,3,2.9,2.9,2,130,380
10/17/18,2.8,2.9,2.8,2.8,23,23804,66871.2
10/16/18,2.9,3,2.8,2.9,16,15433,44094.9
10/15/18,3,3,2.9,3,2,5700,17030
10/12/18,2.9,3,2.9,2.9,14,14925,43765
10/11/18,3,3.1,2.9,3,33,47486,140003
10/10/18,3.1,3.1,3.1,3.1,3,2000,6200
10/9/18,3,3.1,3,3,16,21182,63546.2
10/8/18,3,3.1,3,3,41,158918,482645.8
10/5/18,3.2,3.2,3.1,3.2,10,5959,18532.9
10/4/18,3.2,3.2,3.2,3.2,14,2828,9049.6
10/3/18,3.1,3.2,3,3.1,11,7525,22980.5
10/2/18,3.1,3.1,3,3.1,11,64435,193748.5
10/1/18,3,3.3,3,3,7,8950,27305
9/28/18,3.1,3.1,3.1,3.1,19,85059,263682.9
9/27/18,3.1,3.2,3.1,3.2,7,33000,105100
9/26/18,3.1,3.3,3.1,3.2,43,156435,491946
9/25/18,3.2,3.2,3,3,32,87944,272284.1
9/21/18,3.3,3.3,3.3,3.3,9,9500,31350
9/20/18,3.4,3.4,3.4,3.4,1,500,1700
9/19/18,3.5,3.5,3.3,3.4,18,8812,30007.2
9/18/18,3.4,3.4,3.4,3.5,1,3,10.2
9/17/18,3.5,3.5,3.4,3.5,7,6414,22437.6
9/14/18,3.5,3.5,3.5,3.5,4,5002,17507
9/13/18,3.5,3.5,3.4,3.4,7,11706,40370.5
9/12/18,3.5,3.6,3.5,3.5,26,74900,262300
9/11/18,3.6,3.7,3.6,3.6,3,10252,36907.4
9/10/18,3.6,3.8,3.6,3.6,22,6430,23370.1
9/7/18,3.5,3.6,3.5,3.6,13,14748,52638
9/6/18,3.6,3.6,3.6,3.6,3,2926,10533.6
9/5/18,3.7,3.7,3.5,3.6,9,10002,36007.2
9/4/18,3.7,3.7,3.4,3.6,28,75735,264666.4
9/3/18,3.6,3.7,3.4,3.6,48,43604,155396.5
8/31/18,3.8,3.8,3.5,3.5,20,83267,294538.5
8/30/18,3.4,3.8,3.4,3.6,40,76619,272201.4
8/29/18,3.3,3.4,3.3,3.4,12,13772,46604.8
8/28/18,3.5,3.5,3.3,3.3,14,16908,56811
8/27/18,3.3,3.5,3.3,3.4,41,47610,159175
8/24/18,3.3,3.4,3.2,3.3,21,62007,206968.6
8/23/18,3.3,3.5,3.3,3.3,26,61086,202573.8
8/21/18,3.6,3.6,3.3,3.4,13,15943,54092.4
8/20/18,3.6,3.6,3.4,3.4,36,95620,325113.1
8/17/18,3.5,3.6,3.4,3.4,5,19832,68339
8/16/18,3.5,3.7,3.5,3.5,40,115177,411107.5
8/15/18,3.5,3.5,3.4,3.4,28,123177,426709.4
8/14/18,3.7,3.7,3.5,3.6,28,116486,419001
8/13/18,3.8,3.8,3.7,3.7,27,70473,260860.2
8/10/18,3.8,3.8,3.8,3.8,11,20717,78724.6
8/9/18,3.9,4,3.8,3.8,56,116191,446607.4
8/8/18,4,4,3.8,3.8,45,178610,681162.4
8/7/18,4,4,3.8,3.9,15,17012,66546.6
8/6/18,4,4,3.9,4,22,98550,385597
8/3/18,4.1,4.2,4,4,81,294965,1190001.9
8/2/18,4.6,4.6,4.2,4.3,68,190874,816235.3
8/1/18,4.8,5,4.4,4.6,320,1207102,5721102.8
7/31/18,3.6,4.2,3.6,3.9,175,672787,2630173.7
7/30/18,3.6,4,3.4,3.4,14,24980,85193
7/26/18,3.4,3.4,3.4,3.4,1,5000,17000
7/24/18,3.4,3.5,3.4,3.5,3,5002,17506.8
7/23/18,3.5,3.5,3.4,3.4,4,1510,5135
7/20/18,3.5,3.5,3.5,3.4,1,24,84
7/19/18,3.5,3.5,3.4,3.4,8,20350,70215
7/18/18,3.6,3.6,3.5,3.5,11,76600,273260
7/17/18,3.5,3.6,3.5,3.6,15,37550,133480
7/16/18,3.5,3.5,3.5,3.5,18,25000,87500
7/13/18,3.7,3.7,3.5,3.6,18,52761,190466.5
7/12/18,3.8,3.8,3.7,3.7,7,7593,28394.1
7/11/18,3.6,3.9,3.5,3.7,9,25835,90762.5
7/10/18,4,4,3.4,3.4,16,27736,95064.7
7/9/18,3.4,3.4,3.4,3.4,1,70,238
7/6/18,3.6,3.6,3.4,3.4,9,10131,35320.5
7/5/18,3.2,3.8,3.2,3.7,12,23301,82802.3
7/4/18,3.3,3.3,3.3,3.3,4,1729,5705.7
7/3/18,3.4,3.4,3.3,3.4,8,9500,32100
7/2/18,3.6,3.6,3.5,3.5,20,17839,63409.9
6/29/18,3.7,3.7,3.7,3.7,14,25002,92507.4
6/26/18,3.9,3.9,3.7,3.8,7,13401,50893.7
6/25/18,4,4,3.9,3.9,5,10409,40995.1
6/22/18,3.8,4.2,3.8,3.9,10,8811,35023.4
6/21/18,3.9,3.9,3.8,3.8,10,18800,71731.2
6/20/18,3.9,3.9,3.9,3.9,1,1,3.9
