Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,121,121,120,120.75,4,120,14495
10/6/23,102,106,102,102,2,79,8062
10/4/23,105,105,97,102,4,140,14292
10/3/23,105,105,105,110,3,30,3150
9/19/23,110,110,110,110,1,1,110
9/13/23,114,114,114,110,1,50,5700
9/11/23,107,107,107,110,2,32,3424
9/7/23,114.75,115,114.75,110,2,50,5749.75
9/5/23,111,111,110,110,6,1023,112552
9/4/23,111,111,111,111,2,353,39183
9/1/23,116,116,107,107,3,22,2507
8/23/23,107,107,107,107,1,200,21400
8/21/23,105,105,105,103,1,49,5145
8/18/23,103.25,103.5,103,103,12,351,36177.25
8/16/23,106,106,105,105,6,3540,371710.75
8/14/23,106,106,106,105,1,1,106
8/11/23,106,106,105,105,3,360,37828
8/3/23,115,115,115,119,1,1,115
8/2/23,115,121,112,119,12,728,86716.75
7/31/23,109.25,109.25,109.25,112,1,1,109.25
7/28/23,112,118.75,112,112,3,505,56587
7/27/23,111,111,111,113,2,12,1332
7/26/23,106,113,106,113,5,95,10282
7/24/23,112,112,112,113,3,3,336
7/21/23,112,112,112,113,1,1,112
7/18/23,103,113,103,113,3,7,741
