Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,94.5,96.4,92.6,95.4,27,7896,739178.3
10/12/23,96.7,97,94,96,10,1983,190820.5
10/11/23,94.5,97,93.6,96.7,9,710,67356.7
10/10/23,97.9,97.9,94.1,95,16,5719,543598.9
10/9/23,97.5,97.5,93.6,97.2,42,7102,676617.2
10/6/23,97.4,99.7,97.2,97.6,20,3250,316563.3
10/5/23,99.7,99.7,97.5,97.6,22,15116,1475350.8
10/4/23,98.1,99,97.1,99,31,7794,766505.6
10/3/23,99.7,99.7,98.1,99,18,1192,117631
10/2/23,100,100,98.5,99.2,20,2210,219813.7
9/27/23,100.25,102,100,100,15,13552,1355886.25
9/26/23,101.5,101.5,100.5,100.5,9,2106,213459
9/25/23,101.5,101.5,101.5,101.5,3,156,15834
9/22/23,99.1,100,99,99.5,32,8433,839185
9/21/23,100,100,99,99,34,4115,410233.5
9/20/23,100.75,101.75,100,100,44,19855,1985944.5
9/19/23,103.25,103.25,100,100.25,17,3767,377431.5
9/18/23,103,103.25,100,100.5,42,23603,2363160
9/15/23,102,106,100.75,101,44,51573,5341461.5
9/14/23,103,104,102.5,103.75,40,73264,7607505.25
9/13/23,104.75,104.75,100,100,40,37489,3753043.5
9/12/23,105,105,100,100.25,37,17189,1728140.75
9/11/23,105,105,101,101,13,7056,713287
9/8/23,100.25,103.5,100.25,103,27,38590,3973274
9/7/23,100.75,104.75,99.1,101.25,42,114593,11512416.35
9/6/23,105,106,100,100.5,68,38292,3885857.5
9/5/23,105,106.75,103,103.25,42,22924,2375205.75
9/4/23,103,107,103,105.5,35,5462,582046.75
9/1/23,104,104,101.75,102.25,23,13402,1369712
8/31/23,106.5,107.75,103.5,104,47,37632,3936353
8/29/23,107.25,107.25,105,105.25,17,4231,446004.25
8/28/23,105,108,104.5,105.25,31,15768,1672675.25
8/25/23,106.25,106.75,103.5,105.75,29,16276,1719167.75
8/24/23,107.5,109.75,105,105.25,29,5355,575194.75
8/23/23,109,113,106,107.75,80,184878,20545998.25
8/22/23,108,114.5,105,106.75,128,256544,28716579.75
8/21/23,108,110,98,103,86,41910,4434571
8/18/23,109,109.5,103.25,107.25,73,33107,3504688.75
8/17/23,103,109,99.5,103,209,450375,45519072.55
8/16/23,99.5,101,99.5,100.25,42,65434,6555153.25
8/15/23,98.9,100,98.9,99.1,49,45238,4481259.3
8/14/23,99.9,103,99,100.5,57,45023,4468739.5
8/11/23,100.5,102,100,100,23,37471,3747278
8/10/23,100,102,99,100.5,73,82616,8255146.25
8/9/23,99.2,101,99,99.9,56,98752,9861717.45
8/8/23,103,103,99.1,100.25,27,17645,1776899.7
8/7/23,102,104.5,99,101.5,87,77942,7866656.75
8/4/23,102.25,103,99.1,100,44,12398,1240810.5
8/3/23,103.5,103.5,100.75,101.25,59,34316,3475925
8/2/23,102.25,103.5,101,101.5,68,74982,7657358.5
7/31/23,100.75,106,100.75,103.25,54,24502,2547978
7/28/23,103,105,100,100.25,70,74756,7561352.25
7/27/23,103,103,100.5,102,30,8489,868682.5
7/26/23,102.5,106,101,101.25,74,71363,7440682.75
7/25/23,108,109,101.5,102.5,45,22137,2322913.75
7/24/23,105,111.25,103.5,104.75,85,59507,6325478.25
7/21/23,104,109,104,106.25,54,75064,7963385.5
7/20/23,107.75,107.75,103.25,104.25,52,44429,4626067.25
7/19/23,105,107.25,103,105.75,77,97471,10285614.25
7/18/23,108,108.5,102.75,107.75,129,58743,6208461
7/17/23,111.75,111.75,106,106.75,119,27966,2994669
7/14/23,110,113,107,108,74,10735,1181175.25
7/13/23,111.75,111.75,108.25,109.75,66,32840,3623182.5
7/12/23,108.25,111,108.25,109.25,151,168952,18443157.75
