Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,868,868,820,821.75,25,5629,4625064
10/12/23,879,879,825,825,2,21,18405
10/11/23,821.75,825,820,825,17,661,545027.25
10/10/23,820,820,820,820,7,200,164000
10/9/23,821,822,820,820,22,4022,3298322.25
10/6/23,831.75,831.75,820,820.25,58,13850,11363485.75
10/5/23,858,858,858,820.75,1,1,858
10/4/23,822.25,822.25,820.5,820.75,12,114,93586.25
10/3/23,821.25,840,820,820.25,11,511,419160.5
10/2/23,840,840,820,820.75,66,5064,4165137.75
9/27/23,852.25,852.25,830,830.75,64,12879,10740880.25
9/26/23,889.75,889.75,852,851,4,53,45265.75
9/25/23,850,850,850,851,1,8,6800
9/22/23,859.5,860,850,851,94,12922,10985163.25
9/21/23,852.5,860,850,858,28,750,639173.5
9/19/23,898.75,898.75,850,850.25,82,26453,22497012
9/18/23,897,899,895,860,9,52,46697
9/15/23,896,900,860,860,56,2283,2003299
9/14/23,860.25,860.25,860,860.25,2,5,4300.75
9/13/23,861.5,870,860,860.25,23,1150,994539
9/12/23,861.5,861.5,860,860,20,650,559204.75
9/11/23,861.5,896.25,860,860.5,21,854,734929.75
9/8/23,875,875,858,860,74,4430,3814890.25
9/7/23,880.25,899,865,865,53,3232,2805752
9/6/23,924,924,924,874.5,1,1,924
9/5/23,885.5,885.5,871,874.5,58,4303,3765824.75
9/4/23,904.5,930,875,885.5,37,3930,3596095.25
9/1/23,875.25,875.25,875.25,875.5,1,8,7002
8/31/23,900,900,875,875.5,39,1735,1539576
8/29/23,907.75,908,900,900,7,523,471681
8/28/23,876,890,875,876.75,30,7101,6291091.25
8/25/23,912,912,912,873.25,1,1,912
8/24/23,881,890,872,873.25,32,1300,1137431.75
8/23/23,914,918,914,915.5,7,156,142816
8/22/23,900,900,862,887.5,48,1871,1632687.25
8/21/23,900,929,890.75,890.75,9,94,84499.5
8/18/23,900,900,890,890.75,12,1236,1100342.75
8/17/23,895,900,875.25,876.5,8,107,93795
8/16/23,889,900,889,899.25,5,104,93529
8/15/23,889,890,889,890,11,223,198466.5
8/14/23,874.75,890,853,859.25,31,2067,1774107
8/11/23,861.75,875,850,861.25,48,2840,2428167.25
8/10/23,890,890,860.25,864,56,2010,1739422
8/9/23,900,900,870,873.5,48,6567,5748455
8/8/23,891.75,900,889,890,39,4101,3660419.5
8/7/23,900,900,891.25,892.75,23,1991,1787181.25
8/4/23,899.75,900,895,895,18,2892,2601347
8/3/23,890,900,890,900,17,611,549758.25
8/2/23,900,900,890,892.75,52,2487,2223422.25
7/31/23,900,900,897.75,898,33,2129,1915281.75
7/28/23,900,904.75,895,900,23,11787,10608275.75
7/27/23,900,900,890.25,895,50,2558,2291423.75
7/26/23,935,935,897.25,900,32,734,660608
7/25/23,967.5,967.5,897.5,899.5,50,7186,6467606.25
7/24/23,910,910,896.25,900,60,2118,1906108.75
7/21/23,970,970,900,900,81,3618,3257185
7/20/23,979.75,984,899.75,900.5,88,8892,8026657
7/19/23,931,931,900,904,110,5874,5309652
7/18/23,994,994,900,905.75,85,7936,7235193
7/17/23,997,997,930,933,77,4755,4434306
