Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,53,53,48.4,51.9,20,2481,125864.4
10/12/23,47.2,54.7,47.2,51.6,71,60228,3005418.6
10/11/23,48.9,49.5,47.2,47.8,35,90093,4313591.3
10/10/23,48.4,48.8,47.6,48.5,24,4791,230792.7
10/9/23,49.5,50.4,46,47,108,66725,3140149.7
10/6/23,49.3,50.9,49,49.9,19,11547,567569.9
10/5/23,50,53,49,49.3,66,58304,2893009.2
10/4/23,50,53,49,50.2,78,62478,3159007.8
10/3/23,53,53.1,49,50.1,35,30764,1542532.1
10/2/23,55,55,53,53.4,40,13048,697119.8
9/27/23,55.1,56.5,55.1,56.3,14,6353,358266.3
9/26/23,56.1,56.8,56.1,56.1,20,7686,431337.3
9/25/23,56.1,58,56,56.1,32,13388,753519.1
9/22/23,58,58,56.5,56.7,29,49626,2816390.3
9/21/23,58,58,56.6,57.1,24,13366,764871.2
9/20/23,58,59,58,58.5,17,9163,532570
9/19/23,60,60,58.1,58.1,23,8917,520298.5
9/18/23,58.6,60.4,58.6,59.5,22,14397,858908.6
9/15/23,61.4,61.4,58,60,58,107115,6417247.6
9/14/23,59.4,60,59.4,59.5,40,45859,2729024.3
9/13/23,60,61,59,59.6,37,60188,3575247.8
9/12/23,61.6,61.6,58.7,58.7,33,19166,1146450.1
9/11/23,59.1,61.6,59.1,60.8,85,28723,1737747.3
9/8/23,61,62,58.1,59.2,79,24926,1484783.5
9/7/23,60.1,61.9,60.1,61,44,21945,1336041
9/6/23,63,63.5,60.2,60.5,171,99491,6200458.5
9/5/23,60.9,63.8,60.6,63,194,110997,6967981.7
9/4/23,59.2,60.9,56.3,59.9,114,158251,9382059.5
9/1/23,59.8,59.8,55.5,57.3,61,73717,4202870.1
8/31/23,59.7,59.8,58.6,58.9,20,11553,684040.1
8/29/23,59.1,60.4,58.5,59.8,47,29900,1784992.8
8/28/23,61.7,62.1,59.1,59.2,45,16912,1024398.7
8/25/23,60.1,62.4,60.1,61.8,67,19853,1223370.4
8/24/23,63.1,64,60.2,60.6,72,25805,1584926.6
8/23/23,64.4,66.7,63.5,64.1,136,106173,6915445.4
8/22/23,67,67,63.5,63.8,162,463041,29575635.9
8/21/23,64.5,68.5,64.3,65.9,409,523693,34824158.2
8/18/23,62,64.5,62,63.6,438,465489,29446002.1
8/17/23,54,59.5,54,58.9,515,485507,28011053.1
8/16/23,51.4,54,51,53.1,101,54436,2872575.4
8/15/23,53,53,51.3,51.4,52,24618,1272672.3
8/14/23,55.5,55.5,52.6,53.8,30,14410,776444.5
8/11/23,53,55.4,52.2,55.2,79,73084,3988547.6
8/10/23,54,55.9,53,53.4,38,13182,717118.6
8/9/23,54.9,54.9,53,53.1,17,12409,658067.3
8/8/23,54.3,55,54,54.2,21,6751,366314.1
8/7/23,55.4,56.7,54.2,54.3,55,80022,4401081.5
8/4/23,57,57,55.1,55.5,62,29832,1677074.4
8/3/23,55,57.4,54.6,56.5,110,106159,6012105.1
8/2/23,55,56.6,54.5,55.1,92,92446,5134978.9
7/31/23,54.5,56,54.5,54.9,49,31561,1736503.5
7/28/23,54,57,53.9,54.7,163,163438,9158593.3
7/27/23,53,55.5,53,54.9,111,89173,4884528.8
7/26/23,51.5,55.5,51.5,52.9,71,42310,2253372
7/25/23,54,56.9,53.1,55.2,202,168990,9298632.6
7/24/23,56.5,57,54.3,54.5,159,98384,5463560
7/21/23,53.9,57.8,51,57,360,408906,22967955.9
7/20/23,48.5,54.2,48.5,54,516,693092,35828111
7/19/23,46.8,49.1,45,48.1,144,210279,9960229.3
7/18/23,42.5,47.7,42,47.2,367,493560,22291477.4
7/17/23,39.5,42,39.5,41.4,181,296470,12259170.1
7/14/23,40,40.5,39.5,40.2,62,53005,2124435.7
7/13/23,40.9,40.9,39.2,39.5,35,10604,420113.2
7/12/23,39,40.5,38.5,39.7,103,136765,5380944.7
7/11/23,39.1,39.1,37.4,38.6,47,27107,1033928.7
7/10/23,39.2,39.2,38.1,38.6,27,12370,479493.3
7/7/23,39,39.4,37.4,38.8,45,20091,774219.7
7/6/23,38.2,39.4,36.5,38.6,85,86795,3310357.1
7/5/23,38.8,38.8,36.5,38.2,37,23442,900986.8
7/4/23,36,38.8,34.5,37.8,135,212412,7925291.5
6/28/23,34.5,35.5,34.1,35,31,7145,248844
6/27/23,35.5,35.5,34.9,35.2,6,230,8080.1
6/26/23,35.6,35.7,34.6,34.9,68,58311,2030818.8
6/23/23,34.3,34.5,34.3,34.4,6,271,9319.4
6/22/23,33.4,34.3,33.3,33.3,8,1542,51422.6
6/21/23,34,34.3,34,34,8,11600,397100
6/20/23,32.5,34.7,32.5,34.4,19,205567,6714797.5
6/19/23,33.2,33.2,32.5,32.5,4,78014,2535563.9
6/16/23,34.2,36,33.1,34.5,43,57142,1996124.2
6/15/23,34.4,34.8,33,33.1,23,4040,135591
6/14/23,33.4,34.4,32.2,33.5,39,93990,3142876
6/13/23,34.4,34.4,32,32,12,5200,167096
6/12/23,32,34,32,34,14,81005,2750166.5
6/9/23,31,32,31,31.1,11,4554,141457.1
6/8/23,31.1,31.1,31,31,40,134000,4154110
6/7/23,31,31.2,31,31.1,8,2725,84747.5
6/6/23,32.5,32.5,32,32.1,7,1239,39714.5
6/5/23,31,34,31,32,11,31398,1005807
6/2/23,31.4,32.9,31.1,32.5,26,16854,545318.6
6/1/23,30.5,31.3,30.5,31.2,21,9205,286492.5
5/31/23,31.2,31.2,31.2,31.2,12,250,7800
5/30/23,31,31,29,29.1,40,10994,320335.5
5/29/23,29.9,29.9,29.3,29.4,12,5101,150650.3
5/26/23,30,30.5,29.5,29.7,32,50380,1497042.5
5/25/23,32.5,32.5,30.2,30.2,8,1733,52562.5
5/24/23,30.5,31.7,30.5,31.7,9,7618,235176.2
5/23/23,30.5,30.5,29.9,30,34,32868,990606.1
5/22/23,31.2,32.6,30.2,30.5,17,13001,396084.8
5/19/23,32.5,32.5,31.4,31.4,8,7001,220642.5
5/18/23,31.3,34.2,31.3,32.4,176,194697,6461532.5
5/17/23,31.3,31.3,30,31,22,5921,178584.8
5/16/23,31.7,31.7,29,31.2,39,22899,682136.1
5/15/23,31.3,31.7,31.2,31.2,10,2510,78322
5/12/23,31.9,31.9,31.9,31.7,1,50,1595
5/11/23,30.8,31.9,30.8,31.7,3,151,4789.7
5/10/23,30.6,31.4,30.5,31.4,4,3150,96507.6
5/9/23,31.9,31.9,30.5,30.5,5,1101,33661.8
5/8/23,31.9,31.9,31.9,31.9,3,220,7018
5/4/23,31,31,31,31.6,1,50,1550
5/3/23,31,32,31,31.6,8,20600,650999.6
5/2/23,31,31,30.3,30.5,12,9400,287059.2
4/28/23,32,32,30.9,30.9,7,1631,50459.2
4/27/23,32.3,32.3,31.6,31.8,23,6750,215129.3
4/26/23,32.8,33.5,32.3,33.1,11,3146,103370.5
4/25/23,32.2,33.5,32.1,33.3,12,652,21107.2
4/24/23,32.4,32.8,32.4,32.5,4,80,2614.5
4/21/23,32.8,32.8,32,32.5,23,24333,783408.8
4/20/23,32.6,33.8,32.6,32.8,5,160,5238
4/19/23,34,34,34,32.6,1,1,34
4/18/23,34.1,34.1,32,32.6,51,33964,1109786.5
4/17/23,34.2,34.2,34,34.1,12,2151,73252.5
4/12/23,35.2,36,34.2,34.3,12,4916,173516.6
4/11/23,35.1,37.4,33.7,35.9,40,8437,296655.9
4/10/23,34.8,35.1,34.8,35.1,17,3286,114846.6
4/6/23,33.3,34.9,33.3,33.5,7,2445,81473.5
4/4/23,34.3,34.9,34.3,34.8,2,114,3970.2
4/3/23,33.5,33.5,33.1,33.3,10,8690,289727.6
3/31/23,34.8,35.4,33.5,33.5,8,1121,37781.6
3/30/23,34,35.5,33.5,33.5,10,1815,61315.9
3/29/23,34.7,34.7,33.6,33.9,4,1150,39410
3/28/23,33.5,34.4,33.4,34.4,6,20508,704970.2
3/27/23,35.5,35.5,34,34,9,1410,48407.1
3/24/23,35.2,35.2,34,34.3,28,12913,445693.7
3/23/23,35.6,35.6,35.2,35.2,8,4000,140820.6
3/22/23,36.1,36.9,35.5,35.7,12,9221,330474.5
3/21/23,37.1,37.5,35.9,36.2,32,20515,753540.4
3/20/23,35.5,36.9,35.5,36,6,1921,68651.5
3/17/23,37,37,35.1,36.6,24,7720,281340
3/16/23,37.5,37.5,37,37.2,3,392,14600
3/15/23,35,37.3,35,37,24,137071,4836025.8
3/14/23,37.4,37.4,36,36.5,15,12551,460380.5
3/13/23,36.1,37.6,35,36.4,34,32234,1144231.3
3/10/23,37.1,38.4,36,36.1,30,8166,294810.4
3/9/23,39.9,39.9,37.1,38.7,29,10780,417888
3/8/23,40,40,38.8,39.3,37,64542,2549260.7
3/7/23,36,40,36,39.9,90,154021,5984153.6
3/3/23,33.4,36.3,33.4,36,50,28344,1013078.5
3/2/23,35,35,34,34.9,14,19743,689904.8
3/1/23,33.1,35,33.1,35,13,23808,832419.8
2/28/23,33.1,35,33,34.6,21,34835,1205802.5
2/27/23,35,35,33.1,33.4,19,17015,573455.5
2/24/23,34.4,35,34.4,35,11,4052,141580
2/23/23,33.4,34,33.3,33.9,10,5930,200924.1
2/22/23,33.5,35,33.5,33.7,29,13580,471432.5
2/21/23,33.5,33.5,33.4,33.5,7,2100,70318.2
2/20/23,33,33.5,33,33.5,22,16274,540692
2/16/23,32.9,32.9,32.8,32.9,6,2100,69040.4
2/15/23,32,32,30.3,31.9,6,4910,156440
2/14/23,31.5,31.5,31,31.1,13,20030,623263
2/13/23,33,33,31.6,32.5,13,5720,185738.8
2/10/23,33,34,33,34,7,5556,187188.8
2/9/23,33,34,33,33,23,22919,757227
2/8/23,32.9,32.9,32.9,32.9,1,998,32834.2
2/7/23,33.5,33.6,32.5,32.6,30,20021,659122
2/6/23,35.2,35.7,33.9,33.9,19,12237,422982.7
2/3/23,33.5,36.4,33.5,35,50,67774,2372546.8
2/2/23,32.1,34.9,32.1,34.6,42,22247,757104.8
2/1/23,33,33.3,32.1,33.2,23,5145,170526
1/31/23,34.4,34.9,30,31.1,23,14717,473723.1
1/30/23,32.1,33.5,32.1,32.4,21,4284,138427.1
1/27/23,33.5,35.4,33.5,34.4,24,14017,482445.6
1/26/23,33.5,33.5,33.5,33.5,1,100,3350
1/25/23,33.5,33.5,33.4,33.5,2,510,17084
1/24/23,34,34,30.3,31.5,11,4969,159154.6
1/23/23,32.9,33.9,32.9,33.6,20,11809,390066.1
1/20/23,30.9,32.9,29.6,32.9,17,3456,113148.3
1/19/23,29.8,30.9,29.6,30,8,3207,95031.7
1/18/23,30,30,30,30,8,4202,126060
1/17/23,30,30,30,29.6,1,20,600
1/12/23,29.6,29.6,29.5,29.6,4,370,10935
1/11/23,30,30,29.9,30,9,1594,47815.6
1/10/23,30.1,30.1,30,30,8,7539,226171.9
1/9/23,30,31.5,30,30,7,3451,103622.4
1/5/23,30,30,29.9,30,7,335,10049.9
1/4/23,31.9,31.9,29.9,31,10,333,10332.5
1/3/23,29.8,31.8,29.8,31.7,4,899,28468.9
1/2/23,32,32,32,32,2,210,6720
12/30/22,30.9,31.9,30.9,31.2,15,1900,59104.8
12/29/22,30.9,30.9,30.9,30.9,1,59,1823.1
12/28/22,30.9,30.9,30.9,30.9,2,101,3120.9
12/27/22,29.8,29.8,29.1,29.3,8,2953,86662.3
12/23/22,29.7,29.7,29.7,30,1,95,2821.5
12/22/22,30.1,30.1,30,30,5,4856,145730
12/21/22,30,30,30,30,2,2000,60000
12/20/22,30,30.1,30,30.1,10,6487,194710
12/16/22,31.5,31.5,30.4,30.4,10,10372,316165.8
12/13/22,32,32,30.7,31.5,2,165,5195.5
12/12/22,31.9,32,31.9,31.9,6,195,6221.5
12/9/22,32,32,30.6,30.6,19,49158,1506509.4
12/8/22,31,32,30.5,31.6,43,63410,1978522
12/6/22,31.5,31.6,30.6,30.9,9,1773,55503
12/5/22,31,31,30.2,30.7,34,28083,858458.2
12/2/22,31,31.2,30.2,30.8,20,22010,677604.5
12/1/22,32,32,32,32,13,4262,136384
11/30/22,31.5,31.8,30,31.8,43,76784,2352912.3
11/29/22,31.5,31.5,30,30.4,13,9600,291499.5
11/28/22,31.3,31.4,30,30.9,16,5447,168551.8
11/25/22,30,31.4,30,30.3,5,1283,38935
11/24/22,29.4,29.4,29.4,29.5,1,1,29.4
11/23/22,30,30,29.3,29.5,7,3691,110661.7
