Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,2.8,2.8,2.6,2.6,21,30209,80853.3
10/12/23,2.8,2.8,2.7,2.8,8,27001,75552.7
10/11/23,2.8,2.9,2.8,2.8,27,49359,138528.8
10/10/23,2.8,2.9,2.8,2.8,14,19367,54237.5
10/9/23,2.8,2.8,2.8,2.8,21,77964,218299.2
10/6/23,3,3,3,2.9,1,2,6
10/5/23,2.9,3,2.9,2.9,12,17212,49923
10/4/23,2.9,2.9,2.9,2.9,3,200,580
10/3/23,3,3,2.9,2.9,15,30128,87384
10/2/23,3,3,2.9,2.9,10,18400,54360
9/27/23,2.9,3,2.9,3,10,45255,131489.5
9/26/23,3,3,2.9,3,18,56906,166968
9/25/23,2.9,3.1,2.9,2.9,34,237992,694046.9
9/22/23,3,3.1,3,3,15,61003,183049.3
9/21/23,3,3.1,3,3,4,969,2907.1
9/20/23,2.9,3.1,2.9,3,10,913,2723.4
9/19/23,3.1,3.1,2.9,2.9,14,45636,136408.5
9/18/23,3.1,3.1,3,3,16,30936,92908.5
9/15/23,3,3.1,3,3,13,13147,39744.7
9/14/23,3.1,3.1,3,3,11,16586,50426.6
9/13/23,3,3.1,3,3.1,27,361036,1087253.6
9/12/23,3,3.2,3,3,12,25363,76315.2
9/11/23,3.1,3.2,3,3.1,18,38315,118930
9/8/23,3,3.2,3,3.1,49,211052,652813.5
9/7/23,3,3,3,3,6,24000,72000
9/6/23,2.9,3.1,2.9,3,13,13507,40337.3
9/5/23,3,3.1,3,3,17,56079,168337.3
9/4/23,3.2,3.2,3,3,40,126272,378917.8
9/1/23,3.1,3.2,3.1,3.1,17,198916,616645.1
8/31/23,3,3.2,3,3.1,43,248126,764443.1
8/29/23,3,3.1,3,3,20,58858,177144.8
8/28/23,3.1,3.1,3,3,23,168118,505162.7
8/25/23,3.2,3.2,3,3.1,153,1711857,5182461.5
8/24/23,3.1,3.3,3,3.2,174,2515095,8047721.5
8/23/23,2.9,3.2,2.9,3.1,132,1329287,4047678
8/22/23,2.9,2.9,2.8,2.9,38,240841,697938.9
8/21/23,3,3,2.9,2.9,29,54257,158097.3
8/18/23,2.9,3,2.9,3,20,14798,43069.6
8/17/23,3,3,2.9,2.9,23,162833,472294.5
8/16/23,2.9,3,2.9,3,22,50413,148728.1
8/15/23,2.9,3,2.9,2.9,14,40839,119080.9
8/14/23,3,3.1,2.9,2.9,38,686486,1991174
8/11/23,3,3.1,2.9,3.1,22,48455,145747.3
8/10/23,2.9,3.1,2.9,3,34,225122,673645.3
8/9/23,3,3.1,2.9,3,25,306903,919610.1
8/8/23,3,3.1,2.9,3,36,232564,697905.8
8/7/23,3.1,3.1,2.9,2.9,77,764852,2274480.1
8/4/23,3.1,3.1,2.9,3,53,832909,2498206.6
8/3/23,3.1,3.2,2.9,3.1,84,1366976,4173826.3
8/2/23,2.9,3.1,2.9,3,107,1811854,5454232.5
7/31/23,3,3,2.8,2.9,10,117729,341415.1
7/28/23,3,3,2.9,3,35,183991,535284.9
7/27/23,2.9,3,2.9,3,38,351921,1023990.1
7/26/23,2.9,3,2.8,2.9,39,327124,948540.5
7/25/23,2.9,3,2.8,3,36,379578,1100779.4
7/24/23,2.8,2.9,2.8,2.9,42,405446,1175493
7/21/23,2.8,2.9,2.7,2.8,22,138120,387236.5
7/20/23,2.7,2.9,2.7,2.8,58,366246,1025586
7/19/23,2.9,2.9,2.6,2.8,48,415427,1131316.6
7/18/23,2.8,2.9,2.7,2.8,35,126943,355470.4
7/17/23,2.8,2.9,2.8,2.8,29,44483,127349.5
7/14/23,2.8,2.9,2.7,2.8,41,327410,916762.5
7/13/23,2.9,2.9,2.8,2.9,30,42207,121091.9
7/12/23,3,3,2.8,2.9,55,455453,1321615.5
7/11/23,2.9,3.1,2.9,2.9,188,2669391,7932147.9
7/10/23,2.9,2.9,2.8,2.8,27,124101,348439.4
7/7/23,2.8,2.9,2.8,2.9,48,380220,1067737.4
7/6/23,2.6,2.9,2.6,2.7,86,1411681,3927509
7/5/23,2.7,2.7,2.5,2.6,41,366837,944533.8
7/4/23,2.5,2.7,2.5,2.7,26,159642,402508.8
6/28/23,2.6,2.7,2.5,2.5,14,90221,232385.1
6/27/23,2.5,2.6,2.5,2.5,19,130026,325067
6/26/23,2.5,2.6,2.5,2.6,10,191635,496878.5
6/23/23,2.7,2.7,2.5,2.6,22,59302,150961.1
6/22/23,2.5,2.7,2.5,2.7,7,3155,8502.5
6/21/23,2.7,2.7,2.6,2.6,9,50012,130031.4
6/20/23,2.7,2.7,2.6,2.7,8,227357,612363.9
6/19/23,2.6,2.6,2.6,2.6,6,32000,83200
6/16/23,2.7,2.8,2.6,2.6,13,53286,138924
6/15/23,2.6,2.8,2.6,2.6,6,1547,4162.5
6/14/23,2.7,2.8,2.7,2.7,16,28296,76512.8
6/13/23,2.8,2.8,2.6,2.7,9,39917,104374.6
6/12/23,2.5,2.7,2.5,2.7,40,70860,188353.8
6/9/23,2.6,2.7,2.5,2.6,10,108564,282003.4
6/8/23,2.6,2.6,2.6,2.6,3,10002,26005.2
6/7/23,2.6,2.7,2.5,2.6,10,14136,36691.7
6/6/23,2.5,2.6,2.5,2.6,13,39560,102360
6/5/23,2.5,2.7,2.5,2.6,18,103073,262702.7
6/2/23,2.6,2.6,2.5,2.6,8,2219,5769
6/1/23,2.5,2.6,2.5,2.6,29,296100,741550
5/31/23,2.5,2.6,2.5,2.5,7,28141,70362.5
5/30/23,2.5,2.5,2.5,2.5,16,144419,361047.5
5/29/23,2.5,2.6,2.5,2.5,12,17034,42588.3
5/26/23,2.5,2.6,2.5,2.6,17,58291,145877.5
5/25/23,2.5,2.6,2.5,2.5,8,6415,16038.9
5/24/23,2.6,2.6,2.5,2.6,10,40008,104020.3
5/23/23,2.6,2.6,2.5,2.6,17,227156,568890.6
5/22/23,2.7,2.7,2.5,2.5,15,71346,178375.4
5/19/23,2.6,2.7,2.5,2.6,25,190205,493361.3
5/18/23,2.7,2.7,2.6,2.6,13,61708,160461
5/17/23,2.6,2.8,2.6,2.7,14,4995,13482.4
5/16/23,2.8,2.8,2.7,2.7,7,11835,31955.5
5/15/23,2.8,2.8,2.6,2.7,13,74081,192881.8
5/12/23,2.7,2.8,2.6,2.7,12,24683,66684
5/11/23,2.6,2.7,2.6,2.7,11,4490,12073
5/10/23,2.7,2.7,2.7,2.7,5,5895,15916.5
5/9/23,2.7,2.8,2.6,2.6,19,32046,83679.3
5/8/23,2.8,2.8,2.6,2.7,12,10507,28369.2
5/3/23,2.7,2.8,2.6,2.7,25,187390,506258.9
5/2/23,2.8,2.8,2.7,2.7,36,429563,1162310.3
4/28/23,2.8,2.9,2.7,2.8,45,295294,826399.4
4/27/23,2.8,2.9,2.7,2.8,64,682736,1910111.8
4/26/23,2.8,3,2.8,3,18,267763,798457.1
4/25/23,2.9,3,2.8,2.9,17,261480,756112.3
4/24/23,2.9,3,2.8,3,66,444876,1322797.8
4/21/23,2.8,3,2.8,2.9,42,418597,1198046.8
4/20/23,2.8,2.9,2.8,2.8,8,15839,45549.2
4/19/23,2.9,2.9,2.8,2.8,10,13267,37154.2
4/18/23,2.8,3,2.8,2.9,17,60087,170577.3
4/17/23,2.9,3,2.8,2.8,23,93753,267850.8
4/12/23,2.7,3,2.7,2.9,27,106463,307144.3
4/11/23,2.8,2.9,2.7,2.8,26,163278,452651
4/10/23,3,3,2.8,2.8,18,90004,259522.5
4/6/23,2.9,3,2.8,2.9,20,89940,254837
4/4/23,2.8,2.9,2.8,2.9,14,186468,540117.2
