Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,18,18.8,17.7,18.4,7,130,2387.9
10/12/23,17.6,18.9,17.6,18.1,9,2859,51736.2
10/11/23,18,18,17.6,17.6,11,9000,158616
10/10/23,18.5,18.5,18,18.3,6,290,5335
10/9/23,18.7,18.7,18,18,42,108297,1958476.5
10/6/23,19.9,19.9,19.7,19.8,5,355,7015.5
10/5/23,19.9,20.5,19,19.2,12,7150,139521.1
10/4/23,19.9,19.9,19.9,19.9,1,100,1990
10/3/23,19.8,20,19,19,8,1158,22848.1
10/2/23,19.4,20,19.1,19.1,5,361,6914.1
9/27/23,20.5,20.5,20,20,16,25082,504199.7
9/26/23,19.9,20.9,19.8,20.1,109,269940,5434563.3
9/25/23,19.1,19.9,19.1,19.9,11,16910,335867.7
9/21/23,19.1,19.1,19.1,19.1,4,366,6990.6
9/20/23,19.8,19.9,19,19.2,22,55773,1075137.4
9/19/23,19.8,20,19.1,19.1,8,12088,240440.6
9/18/23,19,20,18.3,19.7,61,114503,2260289.7
9/15/23,18.3,19.8,18.3,19.4,62,155605,3012837
9/14/23,18.3,18.6,18.2,18.2,11,120400,2196334.7
9/13/23,18.6,19,18.3,18.6,5,1050,19553.8
9/12/23,18.5,18.5,18,18.5,20,82860,1497935.5
9/11/23,19.3,19.3,18,18.5,38,142202,2591183.6
9/8/23,18,19.5,18,18.9,55,128811,2388012.4
9/7/23,18,18.2,17.8,18.1,22,21499,388066.8
9/6/23,17.9,18,17.9,18,4,160,2874
9/5/23,18.2,18.2,17.9,17.5,2,3,54
9/1/23,18,18.3,17.5,17.5,45,104237,1830065.1
8/31/23,18,18.9,17.9,18.2,25,5821,105540.9
8/29/23,18,18.9,18,18,14,2703,48740.2
8/28/23,19,19,18.4,18.9,8,9130,172457
8/25/23,18.2,20,18,19.5,31,11770,221826.6
8/24/23,19.1,19.5,18.8,18.8,9,7336,138106.2
8/23/23,19.3,19.5,18.5,18.8,52,36122,690360.7
8/22/23,17.8,19.3,17.5,18.7,81,201254,3722375.4
8/21/23,17.2,18,16.8,17.1,30,19098,324910.6
8/18/23,17.5,17.5,17.1,17.1,18,11460,196150
8/17/23,17.2,17.5,17,17.1,17,20809,354860.5
8/16/23,17,17.7,17,17.1,25,3960,67556
8/15/23,18,18,17,17.1,33,20666,353557.5
8/14/23,18.3,18.3,17.4,18,15,3579,62880.3
8/11/23,17.9,18.4,17.5,18.1,18,1559,28028.4
8/10/23,17.9,18.5,17.9,17.9,5,2191,39219.5
8/9/23,18.9,18.9,17.9,17.9,8,2927,52416.7
8/8/23,18,18.5,17.9,18,22,3455,62550
8/7/23,18.2,18.6,18,18.2,9,1287,23591
8/4/23,19,19.2,17.3,18.1,32,13842,250275.2
8/3/23,19.4,19.4,18.5,18.6,16,890,16729.9
8/2/23,19.2,19.3,18.7,18.7,8,6590,124114
7/31/23,18.8,19.1,18.1,19,35,5320,99832.5
7/28/23,19.4,19.4,18.8,19.2,14,695,13437.8
7/27/23,19.5,19.5,18.9,19.3,9,2084,40234
7/26/23,18.9,19.5,18.6,18.6,3,1025,19089
7/25/23,19.7,19.7,18.7,18.9,12,3716,70246.7
7/24/23,19.1,19.7,19,19.5,11,7814,149635
7/21/23,18.2,20,18.2,19.1,12,2864,55764.2
7/20/23,20,20,20,20,1,150,3000
7/19/23,19.1,20.2,19,20,12,7681,148294
7/18/23,19.3,20,19.3,20,24,35413,706476.9
7/17/23,20.4,20.4,19.6,20,12,4405,87895.5
