Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
8/4/14,0.1,0.1,0.1,0.1,72,2785503,278550.3
8/1/14,0.2,0.2,0.1,0.1,118,2001015,288651.6
7/31/14,0.3,0.3,0.2,0.2,92,1432211,292942.2
7/30/14,0.3,0.4,0.3,0.3,50,1052500,368120
7/28/14,0.4,0.4,0.3,0.3,126,1315893,404085.5
7/25/14,0.4,0.6,0.4,0.5,24,121447,60700.8
7/24/14,0.5,0.6,0.4,0.5,90,690481,344986.6
7/23/14,0.5,0.5,0.4,0.5,18,186300,85630
7/22/14,0.6,0.6,0.4,0.4,72,660796,301766.7
7/21/14,0.6,0.7,0.6,0.6,20,195509,117306.3
7/18/14,0.6,0.7,0.5,0.6,58,260525,159712.9
7/17/14,0.6,0.6,0.5,0.5,77,695255,354060.6
7/16/14,0.8,0.8,0.7,0.7,52,707919,495953.3
7/15/14,0.9,0.9,0.7,0.8,55,386218,314180.1
7/14/14,1,1,0.8,0.8,12,69513,59712.5
7/11/14,0.9,1,0.9,0.9,22,84902,76703.9
7/10/14,0.9,1,0.8,0.9,51,849098,763164.6
7/9/14,1.1,1.1,1,1,31,53675,53837.1
7/8/14,1.2,1.2,1,1,18,138658,154065
7/7/14,1.2,1.2,1.1,1.2,34,153897,169396.9
7/4/14,1.2,1.2,1.1,1.1,71,339960,381827.6
7/3/14,1.1,1.2,1.1,1.1,21,88401,97246.2
7/2/14,1.3,1.3,1.1,1.1,41,264680,314065
7/1/14,1,1.2,0.9,1.2,154,1008491,1136286.1
6/30/14,0.8,1,0.8,0.8,72,224211,195592
6/27/14,1,1,0.7,0.7,67,725723,618013.3
6/26/14,1.3,1.3,1,1.1,77,411562,440191.7
6/25/14,1.4,1.4,1.2,1.3,68,840566,1112802.9
6/24/14,1.3,1.4,1.3,1.3,61,594259,779396.8
6/23/14,1.2,1.3,1.2,1.2,55,399309,489394.9
6/20/14,1.1,1.3,0.9,1.1,182,1770707,1998731.8
6/19/14,0.6,0.9,0.6,0.9,69,393170,340710.7
6/18/14,0.5,0.6,0.5,0.6,32,372598,221446.9
6/17/14,0.3,0.4,0.3,0.4,10,120830,46802
6/16/14,0.4,0.4,0.3,0.3,2,2201,660.4
6/13/14,0.4,0.4,0.3,0.3,7,22,8.6
6/11/14,0.4,0.4,0.3,0.3,6,43028,14408.6
6/10/14,0.4,0.4,0.3,0.4,11,379294,151715.4
6/9/14,0.4,0.6,0.4,0.4,15,34266,17109.1
6/6/14,0.3,0.4,0.3,0.4,151,1419358,547210.9
6/5/14,0.2,0.3,0.2,0.3,12,32817,6614.3
6/4/14,0.3,0.3,0.3,0.3,3,20001,6000.3
6/3/14,0.3,0.3,0.2,0.2,3,14596,2919.4
6/2/14,0.2,0.3,0.2,0.2,3,1192,288.4
5/30/14,0.2,0.3,0.2,0.3,3,941,199.7
5/28/14,0.2,0.3,0.2,0.3,2,751,170.2
5/27/14,0.3,0.3,0.2,0.2,2,40000,10000
5/26/14,0.2,0.3,0.2,0.3,7,1735,387
5/23/14,0.2,0.3,0.2,0.2,8,53057,10623.4
5/22/14,0.3,0.3,0.2,0.2,34,383081,77339.8
5/20/14,0.2,0.4,0.2,0.4,5,253,93.4
5/19/14,0.3,0.4,0.3,0.4,3,655,217
5/16/14,0.3,0.4,0.3,0.4,6,35915,10794.6
5/13/14,0.3,0.3,0.3,0.3,2,35,10.5
5/12/14,0.3,0.4,0.2,0.3,20,265266,79600.2
5/9/14,0.4,0.4,0.4,0.4,2,3201,1280.4
5/8/14,0.3,0.4,0.3,0.4,3,512,203.6
5/7/14,0.3,0.4,0.3,0.4,4,5545,1763.5
5/6/14,0.3,0.4,0.3,0.4,2,6001,1800.4
5/5/14,0.4,0.5,0.4,0.4,11,123481,49402.4
5/2/14,0.5,0.5,0.4,0.5,10,2027,813.5
4/30/14,0.4,0.4,0.4,0.4,19,119000,47600
4/29/14,0.3,0.3,0.3,0.3,1,3,0.9
4/28/14,0.3,0.3,0.3,0.3,7,67637,20291.1
4/25/14,0.3,0.4,0.3,0.4,2,3106,932.8
4/24/14,0.3,0.4,0.3,0.4,17,106027,41019.3
4/23/14,0.3,0.4,0.2,0.3,33,605065,181522
4/22/14,0.2,0.3,0.2,0.2,4,1981,406.3
4/21/14,0.3,0.3,0.2,0.3,10,23343,4689.8
4/16/14,0.3,0.3,0.2,0.3,5,6708,2002.6
4/11/14,0.3,0.3,0.2,0.3,8,100308,20092.2
4/10/14,0.3,0.3,0.2,0.2,29,506031,101309.3
4/9/14,0.3,0.3,0.2,0.3,18,130026,39005.2
4/8/14,0.3,0.3,0.2,0.2,7,17943,3590.1
4/7/14,0.2,0.2,0.2,0.2,18,272285,54457
4/4/14,0.1,0.2,0.1,0.2,9,152041,30408.1
4/3/14,0.1,0.2,0.1,0.1,4,2066,209.7
4/2/14,0.2,0.2,0.1,0.2,25,594138,118825
3/31/14,0.3,0.4,0.3,0.4,3,10302,3090.8
3/28/14,0.4,0.4,0.4,0.4,1,2,0.8
3/27/14,0.3,0.3,0.2,0.2,10,223944,45133.2
3/26/14,0.3,0.4,0.2,0.3,21,226136,63191
3/25/14,0.3,0.3,0.3,0.3,1,1,0.3
3/24/14,0.3,0.3,0.3,0.3,8,30000,9000
3/21/14,0.5,0.5,0.4,0.4,8,106666,42673.5
3/20/14,0.4,0.5,0.4,0.5,3,20006,8002.5
3/19/14,0.5,0.5,0.4,0.4,15,60889,24455.6
3/18/14,0.4,0.5,0.4,0.5,12,28600,13440
3/17/14,0.4,0.4,0.4,0.4,9,37710,15084
3/13/14,0.5,0.5,0.5,0.5,1,100,50
3/12/14,0.4,0.5,0.4,0.4,3,7280,2922
3/11/14,0.5,0.6,0.3,0.4,23,120185,53824.3
3/10/14,0.6,0.6,0.5,0.6,8,17405,10442.9
3/7/14,0.6,0.6,0.6,0.6,1,1,0.6
3/6/14,0.7,0.7,0.7,0.7,1,249,174.3
3/5/14,0.6,0.7,0.6,0.7,3,497,298.4
3/4/14,0.7,0.8,0.6,0.6,7,3867,2691.1
3/3/14,0.6,0.6,0.6,0.6,7,11832,7099.2
2/28/14,0.5,0.6,0.4,0.6,18,77914,33803.3
2/26/14,0.7,0.7,0.5,0.5,9,32024,18720.2
2/25/14,0.6,0.6,0.6,0.6,14,27,16.2
2/24/14,0.6,0.6,0.5,0.6,14,11026,6325.6
2/19/14,0.7,0.7,0.6,0.7,8,21435,15003.5
2/18/14,0.7,0.7,0.6,0.7,6,7201,5040.6
2/17/14,0.8,0.8,0.8,0.8,3,1999,1599.2
2/13/14,0.9,0.9,0.8,0.8,8,3711,3339.8
2/12/14,0.7,0.9,0.7,0.9,3,451,405.7
2/11/14,0.8,0.8,0.8,0.8,3,45639,36511.2
2/10/14,0.8,0.8,0.8,0.8,1,2,1.6
2/6/14,0.8,0.9,0.6,0.8,17,56171,43896.5
2/5/14,0.9,0.9,0.8,0.9,5,31011,27909.8
2/3/14,1,1,0.9,0.9,12,32047,28942.5
1/31/14,0.9,1.1,0.9,1,11,5102,4827.5
1/30/14,1.1,1.1,0.9,0.9,7,7411,7810.9
1/29/14,1.1,1.1,1,1.1,5,1479,1626.8
1/28/14,1.2,1.2,1.2,1.2,2,3,3.6
1/27/14,1.1,1.3,1.1,1.1,8,898,995.4
1/24/14,1.2,1.3,1.2,1.2,10,1583,1957.7
1/23/14,1.2,1.3,1.1,1.2,14,49170,63701.1
1/22/14,1,1.3,1,1.2,10,17072,20204.8
1/21/14,1.1,1.1,1.1,1.1,8,18285,20113.5
1/20/14,1.1,1.1,1.1,1.1,1,6,6.6
1/17/14,1.1,1.2,1.1,1.2,5,1549,1853.9
1/16/14,1.1,1.2,1,1.2,8,7742,8666.1
1/13/14,1.1,1.1,1.1,1.1,1,200,220
1/10/14,1.2,1.2,1.1,1.2,3,1323,1585
1/9/14,1.2,1.2,1.1,1.1,6,16452,19737.2
1/8/14,1.3,1.3,1.1,1.2,7,15504,18604.9
1/7/14,1.4,1.4,1.4,1.4,1,1,1.4
1/6/14,1.3,1.3,1.3,1.3,1,26,33.8
1/3/14,1.4,1.4,1.3,1.3,4,46,61.8
12/31/13,1.3,1.3,1.3,1.3,1,10,13
12/27/13,1.3,1.4,1.3,1.3,5,9200,12015
12/24/13,1.3,1.3,1.1,1.2,11,21240,25411.8
12/20/13,1.3,1.3,1.3,1.3,3,1370,1781
12/19/13,1.3,1.5,1.3,1.4,9,33891,47504.7
12/18/13,1.5,1.5,1.5,1.5,1,334,501
12/17/13,1.4,1.4,1.4,1.4,1,10000,14000
12/13/13,1.5,1.5,1.5,1.5,1,1,1.5
12/12/13,1.3,1.4,1.3,1.4,21,142351,193486.6
12/11/13,1.2,1.3,1,1.3,47,145850,184717
12/10/13,1.1,1.1,1,1.1,7,19539,21048.8
12/9/13,1.2,1.2,1.1,1.1,3,4,4.6
12/6/13,1.2,1.2,1.1,1.1,2,101,121.1
12/5/13,1,1,1,1,1,1,1
12/4/13,1,1.2,1,1.2,4,112,134
12/3/13,1.1,1.2,1,1.2,16,9641,10347.2
12/2/13,1.2,1.2,1.2,1.2,1,100,120
11/29/13,1.2,1.3,1.2,1.3,7,2523,3027.9
11/28/13,1,1.1,1,1.1,19,122692,123442.7
11/27/13,1.1,1.1,1.1,1.1,2,500,550
11/26/13,1.2,1.2,1.2,1.2,1,2,2.4
11/25/13,1.2,1.2,1.2,1.2,1,500,600
11/22/13,1.3,1.3,1.3,1.3,2,110,143
11/21/13,1.1,1.3,1.1,1.1,9,8123,9355.4
11/20/13,1.2,1.2,1.2,1.2,2,2000,2400
11/19/13,1.3,1.3,1.3,1.3,4,8000,10400
11/18/13,1.4,1.4,1.3,1.3,4,7751,10076.4
11/15/13,1.3,1.3,1.3,1.3,2,1000,1300
11/14/13,1.3,1.5,1.3,1.4,18,5521,7569.3
11/13/13,1.4,1.5,1.4,1.4,13,33000,48397.9
11/12/13,1.3,1.4,1.2,1.3,5,1010,1313.4
11/11/13,1.3,1.4,1.1,1.4,13,3974,4820.9
11/7/13,1.4,1.4,1.4,1.4,11,16720,23408
11/5/13,1.5,1.5,1.5,1.5,1,2000,3000
11/4/13,1.4,1.6,1.4,1.5,18,32606,48958.5
11/1/13,1.5,1.5,1.5,1.5,23,58181,87271.5
10/31/13,1.4,1.5,1.3,1.4,9,24041,33253.7
10/30/13,1.4,1.4,1.4,1.4,20,60976,85366.4
10/28/13,1.4,1.4,1.4,1.4,14,27000,37800
10/25/13,1.5,1.5,1.5,1.5,3,1500,2250
10/24/13,1.4,1.5,1.4,1.5,5,310,445
10/23/13,1.5,1.5,1.4,1.5,2,54,78.4
10/22/13,1.5,1.5,1.4,1.4,25,159530,227832
10/21/13,1.6,1.6,1.5,1.6,9,65626,104999
10/17/13,1.7,1.7,1.6,1.6,12,22450,35930
10/15/13,1.5,1.6,1.5,1.6,11,5903,9344.8
10/14/13,1.5,1.6,1.5,1.5,4,211,317.5
10/11/13,1.6,1.6,1.5,1.6,11,5702,8571
10/10/13,1.5,1.7,1.5,1.6,18,8240,13067.5
10/9/13,1.5,1.7,1.5,1.6,16,3832,6129.8
10/8/13,1.6,1.7,1.5,1.6,30,37729,59867.7
10/7/13,1.6,1.7,1.5,1.5,10,39173,62674.2
10/4/13,1.5,1.7,1.5,1.6,11,3918,6082.8
10/3/13,1.7,1.7,1.6,1.6,9,30150,48255
10/2/13,1.4,1.7,1.4,1.6,31,107683,170147.6
10/1/13,1.5,1.5,1.4,1.5,19,53556,80331
9/30/13,1.5,1.6,1.5,1.6,10,20093,30636.1
9/27/13,1.7,1.7,1.5,1.6,9,3421,5758.7
9/26/13,1.5,1.7,1.5,1.6,6,6703,10174.7
9/25/13,1.6,1.7,1.5,1.6,33,101111,166491.8
9/24/13,1.5,1.6,1.5,1.6,10,46604,70566.2
9/23/13,1.6,1.7,1.4,1.5,52,228682,351434.2
9/20/13,1.3,1.8,1.3,1.7,28,100433,145647.9
9/18/13,1.1,1.2,1.1,1.2,7,21075,23220
9/17/13,1.2,1.2,1.2,1.2,2,27,32.4
9/16/13,1.3,1.3,1.2,1.2,11,73099,87725.3
9/13/13,1.4,1.5,1.2,1.3,24,1423,1925.2
9/12/13,1.5,1.6,1.3,1.3,20,32143,47227.1
9/11/13,1.2,1.3,1.1,1.3,35,90960,112769.1
9/10/13,1,1.2,1,1.1,21,56722,62764.4
9/9/13,0.9,1,0.9,1,11,14943,13948.9
9/6/13,1,1,1,1,1,1,1
9/5/13,0.9,0.9,0.9,0.9,9,13293,11963.7
9/4/13,0.9,0.9,0.9,0.9,1,1134,1020.6
9/3/13,0.9,1.1,0.9,1.1,7,5112,4812.8
9/2/13,1,1,1,1,2,505,505
8/30/13,1,1.1,1,1.1,7,38711,38811.1
8/29/13,1,1.1,1,1.1,16,47992,49492.1
8/28/13,1.1,1.1,1,1,5,1501,1551
8/27/13,0.9,1.3,0.9,1.1,18,40966,37507.5
8/26/13,1.2,1.3,0.9,0.9,29,70284,68410.8
8/23/13,1.4,1.4,1.2,1.2,5,1701,2251.2
8/22/13,1.4,1.4,1.2,1.3,24,70609,94222.5
8/21/13,1.7,1.8,1.5,1.5,11,36693,56745.7
8/16/13,1.8,1.9,1.8,1.9,5,1028,1900.4
8/15/13,2,2,1.8,1.9,22,3723,6753.2
8/14/13,1.8,2,1.8,1.9,11,86,162.7
8/13/13,2,2.1,1.9,2,9,262,508.6
8/12/13,2.1,2.2,2,2,21,14733,29485.7
8/8/13,2.4,2.4,2,2.1,15,4306,9066.2
8/7/13,2.2,2.5,2.2,2.4,10,5233,11553
8/6/13,2.2,2.2,2.1,2.1,12,22305,48084.9
8/5/13,2.1,2.3,2.1,2.2,11,10265,22776.2
8/2/13,2.2,2.2,2.2,2.2,2,1051,2312.2
8/1/13,2.1,2.2,2,2,5,915,1832.7
