Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/11/23,15.1,15.1,15,15,3,109,1635.8
10/10/23,15.2,15.2,15.2,15.2,1,5,76
10/6/23,15.2,15.2,15.2,15.2,3,686,10427.2
10/5/23,15.2,15.2,15.2,15.2,3,773,11749.6
10/4/23,15.1,15.1,15.1,15.5,1,8,120.8
10/3/23,15.5,15.5,15.5,15.5,5,2350,36425
9/27/23,15.6,15.6,15.6,15.6,2,158,2464.8
9/25/23,15.6,15.6,15.6,15.6,3,207,3229.2
9/22/23,15.6,16.2,15.4,15.5,12,899,14012.6
9/21/23,15.6,15.6,15.5,16.2,7,36,560
9/19/23,16.2,16.2,16.2,16.2,3,410,6642
9/15/23,16,16.3,16,16.2,6,471,7639.3
9/14/23,15.8,15.8,15.7,15.7,3,131,2057.8
9/12/23,16.4,16.4,16.4,16.4,4,500,8200
9/7/23,16.6,16.6,15.8,16.7,12,86,1397.1
9/6/23,16.6,16.6,16.6,16.7,1,1,16.6
9/5/23,16.6,16.6,16.6,16.7,4,4,66.4
9/4/23,16.6,16.7,16.6,16.7,18,1750,29215.6
9/1/23,16.5,16.6,16.5,16.5,9,456,7527.8
8/31/23,16.1,16.1,16.1,16.1,2,215,3461.5
8/29/23,16.9,16.9,16.5,16.6,13,1252,20863.6
8/28/23,15.4,15.6,15.4,15.5,2,351,5455.6
8/25/23,15.4,15.4,15.4,15.4,3,869,13382.6
8/24/23,15.5,15.5,15.4,15.4,6,1131,17462
8/23/23,15.8,15.8,15.6,15.6,4,1373,21518.8
8/22/23,15.6,15.8,15.6,15.8,4,431,6801.4
8/21/23,15.7,15.7,15.6,15.6,3,841,13162.6
8/18/23,16,16,15.7,15.7,11,430,6791
8/15/23,16.5,16.5,16,16,4,101,1616.5
8/14/23,16.1,16.6,15.5,16,13,4001,64019
8/11/23,16.7,16.7,16.1,16.2,4,754,12229.3
8/10/23,16.3,16.3,16.2,16.8,4,50,813.5
8/9/23,16.2,16.8,16.2,16.8,5,740,12296
8/8/23,16.3,16.3,16.2,16.2,5,1110,18034
8/7/23,16.9,16.9,16.6,16.8,22,1923,32142.9
8/4/23,18,18,16.9,16.9,6,700,11970
8/3/23,16.8,18.8,16.4,17,9,10202,173525.4
7/31/23,16.9,16.9,16.9,17,1,20,338
7/27/23,17,17,17,17,4,281,4777
7/26/23,16.8,16.8,16.1,16.6,6,1218,19959.3
7/25/23,17.5,17.5,17.5,17.5,3,200,3500
7/21/23,17.1,17.1,17.1,17.1,6,777,13286.7
7/20/23,17.2,17.7,17.2,17.2,11,5300,91639.6
7/19/23,17.1,17.1,17.1,17.1,10,11228,191998.8
7/18/23,17.1,17.1,17.1,17.1,3,400,6840
7/17/23,16.4,17.2,16.4,17.1,17,28974,481717
