Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
11/19/20,7,7.3,7,7.1,14,37108,261679.1
11/18/20,7,7,6.9,7,3,8000,55800
11/13/20,7,7.3,7,7.3,7,5760,41217
11/12/20,6.9,6.9,6.9,6.9,1,20,138
11/11/20,6.9,6.9,6.9,6.9,1,1000,6900
11/10/20,6.9,6.9,6.9,6.9,6,4824,33285.6
11/5/20,6.9,6.9,6.9,6.9,1,110,759
11/4/20,7,7.2,6.9,6.9,4,2110,14686.5
10/27/20,6.7,7,6.6,6.7,6,6501,43457
10/26/20,6.6,6.6,6.6,6.6,3,5435,35871
10/23/20,7.3,7.3,6.6,6.6,3,11005,72736.5
10/22/20,6.6,6.6,6.6,6.6,3,25000,165000
10/21/20,6.7,6.7,6.5,6.6,9,41392,271238
10/15/20,6.8,6.8,6.7,6.7,6,31301,210736.7
10/14/20,6.8,6.8,6.7,6.7,2,20000,134039
10/13/20,6.8,6.8,6.7,6.7,6,11810,79378.1
10/12/20,7.2,7.3,6.6,6.6,5,2135,14225.5
10/9/20,7.3,7.3,6.5,6.5,12,11225,73482.5
10/8/20,6.2,6.2,6.2,6.8,2,50,310
10/5/20,6.9,6.9,6.7,6.8,4,2100,14254
10/2/20,7.4,7.4,7.4,7.4,2,50,370
9/30/20,7.4,7.4,7.4,7.4,1,100,740
9/29/20,7.2,7.4,7.2,7.4,3,1200,8830
9/28/20,7,7.9,7,7.4,10,2957,22018.8
9/25/20,6.7,6.7,6.7,6.7,3,6999,46893.3
9/24/20,6.8,6.8,6.8,6.8,6,4000,27200
9/23/20,7.5,7.5,7.4,7.4,8,16996,126687.6
9/22/20,7,12,7,7.9,23,23469,178892.9
9/21/20,6.9,6.9,6.7,6.7,2,1219,8367.3
9/18/20,6.8,7,6.8,7,4,2471,17099.7
9/17/20,6.9,7,6.7,6.9,3,293,2013.1
9/16/20,6.7,7,6.7,6.8,8,45199,307393.3
9/14/20,7,7,7,6.6,1,1,7
9/9/20,6.6,6.6,6.6,6.6,2,128,844.8
9/8/20,6.6,6.6,6.5,6.5,5,25000,162599.9
8/31/20,7.1,7.1,6.8,6.8,5,5759,39388.9
8/28/20,6.8,6.8,6.8,6.8,1,985,6698
8/27/20,6.7,6.7,6.6,6.6,2,405,2673.2
8/26/20,6.6,6.6,6.6,6.6,3,5000,33000
8/25/20,6.7,6.7,6.5,6.6,4,2311,15273.6
8/21/20,6.6,6.6,6.5,6.6,4,2495,16367
8/18/20,6.5,6.6,6.4,6.4,11,3940,25403.6
8/14/20,6.3,6.3,6.3,6.5,1,2,12.6
8/13/20,6.4,6.6,6.4,6.5,9,11720,76017
8/12/20,6.7,6.7,6.4,6.4,5,947,6192.3
8/7/20,6.3,7,6.3,6.3,9,2155,13722.3
8/6/20,6.2,6.2,6.2,6.1,1,1,6.2
8/5/20,6.4,6.4,6.4,6.1,1,78,499.2
8/4/20,6.1,6.1,6.1,6.1,2,458,2793.8
7/30/20,6,6,6,6,2,151,906
7/29/20,6.4,6.4,6.2,6.3,24,19730,123469.5
7/28/20,6.3,6.9,6.3,6.5,27,5056,32969.8
7/21/20,7.1,7.1,7.1,7,1,1,7.1
7/16/20,7,7,7,7,2,500,3500
7/9/20,6.5,7.2,6.5,6.5,3,690,4485.7
7/7/20,6.2,6.5,6.2,6.4,5,501,3166.5
7/6/20,5.7,6.3,5.6,5.6,10,5035,28302.6
7/2/20,6.8,6.8,6.5,6.8,3,110,743
6/24/20,5.8,5.8,5.8,5.6,1,5,29
6/19/20,5.5,5.7,5.5,5.6,6,6950,38325.1
6/18/20,5.9,5.9,5.5,5.6,4,1550,8865
6/17/20,5.2,5.2,5.2,5.2,1,7500,39000
5/27/20,7.5,7.5,7.5,7,1,10,75
5/26/20,7,7,7,7,1,100,700
5/22/20,5.5,5.5,5.5,7.7,1,1,5.5
5/21/20,9.8,9.8,7,7.7,5,207,1602.8
5/20/20,6.5,6.5,6.5,6.5,2,2050000,13325000
5/18/20,6,6,6,5.3,1,50,300
5/14/20,6,7,4,5.3,4,260,1370
3/12/20,6,6,6,6,2,2350,14100
3/4/20,,,,7,1,10000000,80000000
2/24/20,7,7,7,7,6,20000,140000
2/20/20,7.1,7.1,7.1,7.1,1,200,1420
2/13/20,7,7,7,7,2,625,4375
2/11/20,7.4,7.4,7.4,7.4,1,100,740
2/10/20,7.5,7.5,7.5,7.5,2,3000,22500
2/7/20,7.5,7.5,7.5,7.5,8,71090,533175
2/5/20,7,7,6.6,6.7,4,621,4143.5
1/31/20,7,7,7,7,1,98,686
1/30/20,7,7,7,7,29,88894,622258
1/28/20,6.8,6.8,6.8,6.8,1,250,1700
1/27/20,8,8,7.9,7.9,2,740,5871
1/24/20,7,7.1,7,7.1,5,5600,39210
1/23/20,7.1,7.1,7,7,3,9200,64500
1/20/20,7,7,7,7,3,900,6300
1/16/20,7,7.5,7,7,2,100,700.5
12/31/19,7.7,7.7,7.7,7.5,1,1,7.7
12/26/19,7.7,7.7,7.5,7.5,4,401,3009.5
12/17/19,7.5,7.5,7.5,7.5,1,500,3750
12/13/19,7.2,7.8,7.2,7.8,2,2,15
12/6/19,7.9,7.9,7.8,7.8,3,355,2774.5
12/5/19,7.8,7.8,7.8,7.8,4,599,4672.2
12/2/19,8.2,8.2,8.2,8.5,2,11,90.2
11/28/19,8.6,8.6,8,8.5,14,6760,57930.4
11/26/19,8.7,8.7,8.7,9,1,10,87
11/18/19,7.5,9.8,7.5,9,10,6199,58007.4
11/6/19,7,7,7,7,3,700,4900
11/4/19,6,6,6,6,2,25000,150000
10/28/19,7.5,7.5,7.5,7.5,1,30,225
10/25/19,7.5,7.5,7.5,7.5,2,210,1575
10/24/19,7.5,7.5,7.5,7.6,1,15,112.5
10/23/19,7.5,7.5,7.5,7.6,1,1,7.5
10/22/19,7.6,7.9,7.6,7.6,5,254,1930.7
10/21/19,7.6,7.6,7.6,7.4,1,2,15.2
10/16/19,7.4,7.4,7.4,7.4,1,200,1480
10/14/19,7.5,7.8,7.5,6.5,2,22,171.3
10/7/19,6.5,6.5,6.5,6.5,2,1000,6500
10/4/19,6.5,6.5,6.5,6.5,1,100,650
9/17/19,7,7.9,7,7.1,6,106,752.9
9/12/19,7,7,7,7,4,618,4326
9/9/19,6.8,6.8,6.8,6.8,2,140,952
9/6/19,6.9,6.9,6.8,6.6,2,24,164.1
9/2/19,6.5,6.9,6.5,6.6,2,138,909
8/30/19,6.8,6.8,6,6.5,8,1970,12717.2
8/29/19,7,7,7,7,4,1055,7385
