Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
6/9/17,15.1,16,15,15.5,70,177519,2686300.3
6/7/17,15.2,15.9,15,15.4,69,86781,1336714.5
6/6/17,14.9,16,14.5,15.2,69,103897,1576228.8
6/5/17,15,15,14.9,15,39,26896,403435.6
6/2/17,15.9,16.5,15,15,28,15003,226152.6
6/1/17,17.6,25,15.8,15.9,67,12316,219173.8
8/12/11,10.1,10.1,5.4,7.2,72,81400,560640
5/8/07,11,11.25,11,11.25,36,21400,236825
5/7/07,16,16,12,12,57,26300,340725
5/4/07,16.75,16.75,16,16.25,15,10000,162825
5/3/07,17.5,17.5,17.5,17.5,11,5200,91000
4/30/07,17,22,17,17.75,6,3600,66175
4/27/07,19,22,19,21.75,4,1700,36800
4/26/07,22,22,22,22,1,100,2200
4/25/07,20,24,20,22,19,8300,181800
10/16/03,12.5,12.5,12.25,12.5,6,7200,89525
10/15/03,10.75,12,10.75,11.25,18,13500,150475
10/14/03,12,12,10.75,11,3,1200,13050
10/13/03,10,10,10,10,1,1000,10000
10/8/96,,15,15,15,4,217,3138
10/7/96,,15.5,15,15,10,1868,28304
10/4/96,,15,14,15,10,802,11578
10/3/96,,14,14,14,5,296,4048
10/2/96,,14,14,14,5,726,10038
10/1/96,,14,13,14,3,900,12400
