Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/12/23,116.5,117.25,103.25,117,10,265,30961.25
10/10/23,116.5,116.5,116.5,113,1,1,116.5
10/9/23,112.5,112.5,112.5,113,1,1,112.5
10/6/23,116.75,116.75,116.75,113,3,85,9923.75
10/5/23,113,116.75,113,113,7,1258,142182.25
10/4/23,113,117.5,113,113,5,2675,302297.5
10/2/23,115,115,115,116.25,1,2,230
9/27/23,115,115,115,116.25,2,3,345
9/26/23,115,115,115,116.25,1,2,230
9/25/23,115,115,115,116.25,1,2,230
9/22/23,110,116.75,110,116.25,3,127,14759.75
9/21/23,115,115,115,115.25,2,76,8740
9/20/23,115.5,115.5,115.25,115.25,6,315,36328.75
9/19/23,115,116,115,116,4,721,83120
9/18/23,115,115,115,115,7,506,58190
9/15/23,117,117,117,117,1,10,1170
9/14/23,115.25,115.25,115.25,117,1,1,115.25
9/13/23,119,119,115,117,31,2351,272574.75
9/12/23,115.5,115.5,115.5,122,1,13,1501.5
9/11/23,115,115,115,122,1,5,575
9/8/23,121,121,120,122,3,21,2530
9/7/23,120,121.75,120,122,5,23,2761.75
9/6/23,122,122,122,122,4,501,61122
9/5/23,116.75,123,116.75,118.75,16,455,54040
9/4/23,116.75,117,116.75,113,6,15,1751.5
9/1/23,118,118,117,113,5,64,7491.5
8/29/23,114,117.75,113,113,3,1001,113222.5
8/25/23,113.75,117,113.25,113.75,7,100,11378.75
8/24/23,117.75,117.75,117.75,119.5,1,3,353.25
8/23/23,117.75,118.5,117.75,119.5,4,44,5196.25
8/22/23,113.5,119.25,113.5,119.5,4,39,4432.25
8/21/23,118.5,122,118,119.5,28,923,110261.5
8/18/23,119,120,113,113.25,11,165,19048.5
8/17/23,118,118.75,115,115.25,9,158,18301.25
8/16/23,111.5,118.75,110.5,112.75,20,218,24493.5
8/15/23,119,121.5,119,119.75,11,253,30344.5
8/14/23,119,119,118.5,116.75,4,4,475
8/11/23,120,120,115,116.75,16,121,14112.75
8/10/23,115,124,115,121.5,11,1463,171247
8/9/23,121,121.75,121,121.5,2,10,1216.75
8/8/23,121.5,121.75,121.5,121.5,5,801,97321.75
8/7/23,122.75,123.75,119,122,16,116,14148.5
8/4/23,124.5,124.5,115.25,121,14,147,17757
8/3/23,126.5,126.5,114.25,114.25,25,2411,279803.25
8/2/23,128.25,128.25,122.75,126.25,9,184,23245.75
7/31/23,119,129,114,126.5,85,7222,874940
7/28/23,119,119,111,116,7,29,3286.5
7/27/23,115.25,119,115.25,116,20,786,91081
7/26/23,115,115,115,115,3,1000,115000
7/25/23,115,116,115,116,8,38,4378
7/24/23,115,115.75,115,116,6,44,5083.25
7/21/23,116,116,116,116,6,9,1044
7/20/23,117,117,116,116,11,185,21467
7/19/23,116,116,114,114.25,10,1276,145781
7/18/23,114,115,114,114.5,5,3179,364326
7/17/23,117,117,112.5,114,7,1033,117749.5
