Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,23,24.1,23,23,4,525,12091.5
10/12/23,22.7,24.3,22.1,24.3,26,19376,451802.7
10/11/23,23.4,24.7,23,23,30,28817,665704.8
10/10/23,23.6,24.7,23.3,23.9,10,3760,88660.8
10/9/23,24.7,24.7,23,24,16,8182,192422
10/6/23,25,25,24.5,24.6,12,2638,65052.7
10/5/23,25.5,25.5,24.9,24.9,18,7701,192042
10/4/23,25.8,25.8,24.9,25.5,7,1315,33437.5
10/3/23,25.8,25.8,25,25,4,2433,61230
10/2/23,25.9,26.4,25,25.8,26,48331,1255675.2
9/27/23,25,26.2,25,26,12,20360,531016.5
9/26/23,25.5,25.8,24.8,25,24,359102,8978979.7
9/25/23,25.4,26.1,25,25.1,88,156966,3969754.9
9/22/23,25.5,25.7,25.1,25.6,16,64098,1640891.5
9/21/23,25.5,26.3,25.5,25.5,23,33114,845087.5
9/20/23,26.5,26.5,25.6,25.8,10,12502,322035
9/19/23,26.4,26.4,25.5,25.6,27,23480,606282.5
9/18/23,26.7,26.7,26.3,26.4,16,11964,315437.2
9/15/23,26.8,26.9,26.5,26.8,28,30032,803540.3
9/14/23,26.4,27,26.2,26.3,27,57127,1503159.4
9/13/23,27,27,26.3,26.6,61,118966,3196489.2
9/12/23,27.1,27.1,26.5,27,109,348281,9397336.4
9/11/23,26.1,27,25.7,26.8,348,4312454,112534908.2
9/8/23,26.2,26.2,24.7,25.9,60,104922,2720723.9
9/7/23,25.3,26,24.9,24.9,24,20088,507678.1
9/6/23,24.5,25.3,23.6,24.7,47,51851,1238556
9/5/23,24.5,25.4,24.5,24.5,4,9815,240477.4
9/4/23,25.7,25.7,23.5,24.1,48,360437,8753521.9
9/1/23,25.9,27.5,25,25.5,131,2559412,64544443.1
8/31/23,26,26,25,25,24,21730,544009
8/29/23,26,26,25.1,26,14,3100,79269
8/28/23,26,26,25.8,25.8,32,20490,532690.2
8/25/23,26.1,26.1,25.3,26,93,253707,6587617.7
8/24/23,24.6,28,24.6,26.5,286,1275436,33582803.4
8/23/23,23.6,24.5,23.6,24.4,59,179364,4304632.7
8/22/23,23.7,23.8,23.7,23.7,7,3645,86391.4
8/21/23,23.6,23.9,23.6,23.6,4,734,17472.7
8/18/23,24,24.4,24,24,49,289728,6956337.4
8/17/23,23.5,24.2,23.5,24,22,28687,684001.7
8/16/23,23.4,23.4,22.7,23.1,18,5079,116223.8
8/15/23,23,23,22.9,22.9,7,10550,241645
8/14/23,24,24,23,23,6,254,5845.5
8/11/23,22.8,23.9,22.6,22.7,8,10473,236906.3
8/10/23,22.8,23.3,22.6,22.7,10,6749,153438.8
8/9/23,23,23,22.7,22.8,5,1130,25715.5
8/8/23,23,23.8,23,23,13,4621,106304.6
8/7/23,23.2,24,23.1,23.1,20,9484,225925.6
8/4/23,24,24,23.1,23.2,13,25474,591065.6
8/3/23,24,24,23.4,23.8,25,5244,125174.4
8/2/23,23.1,24,22.9,23.5,15,2712,63976.6
7/31/23,23.9,23.9,23,23,10,2887,66401.9
7/28/23,24,24,23.1,23.1,18,9802,232397.4
7/27/23,23.6,24,23,23.1,19,9119,210595.9
7/26/23,22.8,23,22.8,22.9,13,12893,296379
7/25/23,23.9,23.9,23.5,23.8,8,884,21089.1
7/24/23,23,23.7,23,23.7,14,7155,165632
7/21/23,22.7,23,22.6,22.6,7,651,14727
7/20/23,22.6,24,22.6,23,16,2580,59417.9
7/19/23,22.8,24.2,22.8,24.1,18,49114,1181436.9
7/18/23,23.8,24.5,23.5,24.4,42,343337,8254070.4
7/17/23,22.2,24,22.2,23.5,35,139467,3323991.1
