Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,13,13.5,12.6,12.8,14,3643,46720.6
10/12/23,13,13,13,13,1,12,156
10/11/23,13.1,13.1,12.9,13,14,16616,215914.8
10/10/23,13.1,13.1,13.1,13.2,1,1,13.1
10/9/23,13.3,13.7,13,13.2,23,70942,922603.2
10/6/23,13.4,13.7,13.4,13.7,5,6521,87927.7
10/5/23,13.2,13.2,13.1,13.1,20,15020,197024
10/4/23,13.3,13.3,13.1,13.1,12,9970,130741.1
10/3/23,13.3,13.3,13.3,13.3,5,2050,27265
10/2/23,13.3,13.6,13.3,13.3,9,23666,316257.8
9/27/23,13.3,13.3,13.3,13.3,5,4003,53239.9
9/26/23,13.4,13.4,13.3,13.4,4,3001,40116.6
9/25/23,13.2,13.8,13,13.1,13,12010,157098.7
9/22/23,13.7,13.7,13.3,13.3,8,523,6965.3
9/21/23,13.7,13.8,13.5,13.7,11,1365,18684.9
9/19/23,13.8,13.8,13.4,13.4,8,1071,14359.8
9/18/23,13.6,14.2,13.5,13.5,24,21656,301752.7
9/15/23,13.3,13.6,13.1,13.6,26,75369,1022564
9/14/23,13.1,13.4,13,13,4,1101,14333.4
9/13/23,13.5,13.5,13,13.4,16,50900,662190
9/12/23,13.2,13.2,13,13,19,16422,213543.4
9/11/23,13.4,13.4,13.3,13.4,2,53,709.9
9/8/23,13.2,13.4,13.2,13.4,8,334,4430.8
9/7/23,13.2,13.4,13.2,13.2,8,33590,443408
9/6/23,13.1,13.2,13,13,16,40981,533466.6
9/5/23,13.2,13.2,13.2,13.2,3,620,8184
9/4/23,13.2,13.8,13.2,13.2,16,20150,267225
9/1/23,13,13.5,13,13.1,10,14830,196609.7
8/31/23,13.3,13.5,13.1,13.3,13,22059,293037.9
8/29/23,13.4,13.6,13.4,13.4,6,2416,32376.6
8/28/23,13.4,13.4,13.3,13.3,3,2400,32060
8/24/23,13.5,13.5,13,13.1,17,37496,489308.2
8/23/23,13,13.3,13,13,12,57400,748700
8/22/23,12.8,13.3,12.8,12.8,10,5178,66284.9
8/21/23,12.9,13,12.6,12.7,26,18080,231950.8
8/18/23,13.2,13.2,12.9,13,26,71626,928252.6
8/17/23,13.6,13.6,13.1,13.1,4,1170,15530.4
8/16/23,13.1,13.6,13.1,13.5,14,972,12862.7
8/15/23,13.1,13.1,12.7,12.8,26,8498,109032.8
8/14/23,13.3,13.9,13.2,13.8,42,61468,833306.5
8/11/23,13.2,13.3,12.9,13.1,12,13642,178724.4
8/10/23,12.8,13.2,12.6,13.2,24,28283,370042.6
8/9/23,12.6,13.3,12.6,13.3,40,53707,706539.1
8/8/23,13.4,13.4,12.5,12.5,105,193211,2450743
8/7/23,13.4,13.7,13.4,13.5,19,14391,193994.5
8/4/23,13.6,13.7,13.5,13.7,15,13688,187298.5
8/3/23,13.5,13.8,13.5,13.5,24,19742,266571.2
8/2/23,13.8,13.8,13.5,13.7,17,12609,171200
7/31/23,13.6,13.7,13.6,13.7,10,10623,145029.6
7/28/23,13.4,13.6,13.2,13.5,5,1385,18695.6
7/27/23,13.5,13.7,13.5,13.5,11,21500,291250
7/26/23,13.9,13.9,13.6,13.7,16,22110,302322.9
7/25/23,13.8,13.8,13.6,13.7,20,49065,676300
7/24/23,13.5,13.8,13.5,13.7,34,106874,1460824.6
7/21/23,13.4,13.5,13,13.1,22,54063,707288.6
7/20/23,13.8,13.8,13.1,13.2,21,16754,222754.1
7/19/23,13.4,13.5,13.1,13.1,25,6013,79274
7/18/23,13.1,13.7,13.1,13.3,12,12886,171055.6
7/17/23,13.2,13.8,13.2,13.4,27,63117,842087.5
