Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/19/22,0.1,0.1,0.1,0.1,5,101200,10120
9/16/22,0.1,0.1,0.1,0.1,11,142278,14227.8
9/15/22,0.1,0.1,0.1,0.1,14,355667,35566.7
9/14/22,0.1,0.1,0.1,0.1,15,1296045,129604.5
9/13/22,0.1,0.1,0.1,0.1,7,149500,14950
9/12/22,0.1,0.1,0.1,0.1,22,554820,55482
8/31/18,0.1,0.1,0.1,0.1,1,8520,852
3/2/16,0.1,0.1,0.1,0.1,4,3147000,314700
3/1/16,0.1,0.1,0.1,0.1,35,2162502,216250.2
2/29/16,0.1,0.2,0.1,0.1,84,8881881,888198.1
2/26/16,0.1,0.1,0.1,0.1,49,2779090,277909
2/25/16,0.1,0.1,0.1,0.1,73,11641366,1164136.6
2/24/16,0.2,0.2,0.1,0.1,187,18009043,1931215.2
1/25/12,1.3,1.3,0.8,1.1,676,4768000,4973300
1/24/12,3,3,1.3,1.4,424,2960800,4871690
1/23/12,3.5,3.5,2.5,2.6,433,2416300,7170720
1/20/12,2.2,3.7,1.8,3.2,1200,6469100,19483850
1/19/12,2.5,2.5,2,2.1,209,558800,1234560
1/18/12,5,6,2,2.2,802,3788600,12253400
