Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
6/14/13,0.1,0.1,0.1,0.1,5,7004,700.4
6/13/13,0.1,0.2,0.1,0.1,58,2594212,260421.2
6/12/13,0.2,0.2,0.1,0.1,150,3459000,422530
6/11/13,0.5,0.6,0.3,0.3,213,5717109,1996577.1
6/10/13,0.6,0.7,0.5,0.5,265,3268196,1808195.7
6/7/13,0.7,0.7,0.5,0.6,109,1441122,865662.6
6/6/13,0.9,0.9,0.6,0.7,110,1839448,1252814.2
6/5/13,0.9,0.9,0.7,0.8,131,1719650,1406366.8
6/4/13,1.1,1.1,0.9,0.9,83,827006,812858.5
6/3/13,1.1,1.1,1,1,59,518028,564122.4
5/31/13,1,1.2,0.9,1,222,2779510,2863876.4
5/30/13,1.3,1.4,0.8,0.9,418,4841916,4858079.5
5/29/13,0.4,1.4,0.3,1.2,555,6364065,6437708.8
5/28/13,0.5,0.6,0.3,0.4,109,1104581,456972.8
5/27/13,1.2,1.2,0.6,0.6,214,2221879,1929023.2
5/23/13,1.2,1.2,1.2,1.2,34,137466,164959.2
5/22/13,1.3,1.3,1.2,1.2,40,191449,234088.9
5/21/13,1.3,1.4,1.3,1.3,32,160350,221955
5/20/13,1.4,1.4,1.3,1.3,20,106835,139087.8
5/17/13,1.5,1.5,1.3,1.3,39,104904,136673.2
5/16/13,1.4,1.5,1.3,1.4,17,42525,59535.1
5/15/13,1.3,1.4,1.3,1.4,4,1450,1975
5/14/13,1.4,1.4,1.3,1.4,17,172383,241267
5/13/13,1.4,1.4,1.4,1.4,20,98000,137200
5/10/13,1.5,1.5,1.4,1.5,32,194789,292166.6
5/9/13,1.4,1.5,1.3,1.4,18,167741,234947.4
5/8/13,1.4,1.4,1.4,1.4,8,22041,30857.4
5/7/13,1.6,1.6,1.4,1.5,32,296442,427929
5/6/13,1.5,1.6,1.5,1.5,45,429948,647569.8
5/3/13,1.3,1.5,1.3,1.4,16,131267,183464
5/2/13,1.4,1.4,1.3,1.3,14,48257,63947.5
4/30/13,1.5,1.6,1.4,1.4,14,143621,202772.9
4/29/13,1.5,1.6,1.5,1.5,26,90619,136628.5
4/26/13,1.6,1.6,1.5,1.6,29,197654,315526.9
4/24/13,1.5,1.7,1.5,1.6,99,1671034,2668711.2
4/23/13,1.4,1.6,1.4,1.5,38,228500,344054.8
4/22/13,1.4,1.4,1.4,1.4,18,127409,178372.6
4/19/13,1.4,1.5,1.4,1.4,16,54430,76310.2
4/18/13,1.6,1.6,1.4,1.4,41,129139,191987.6
4/17/13,1.5,1.6,1.5,1.5,144,1219524,1829366.2
4/16/13,1.3,1.5,1.3,1.4,35,549625,766375.4
4/12/13,1.3,1.4,1.3,1.3,28,66004,85805.3
4/11/13,1.3,1.4,1.2,1.3,54,242690,310495.4
4/10/13,1.2,1.4,1.2,1.3,30,239501,311351.2
4/9/13,1.1,1.2,1.1,1.2,12,110501,132501.2
4/8/13,1.2,1.2,1.1,1.1,8,138547,164274.9
4/5/13,1.1,1.2,1.1,1.2,39,341072,401637.3
4/4/13,1.1,1.2,1.1,1.1,30,203607,224049.7
4/3/13,1.2,1.2,1.1,1.1,60,93671,106151.1
4/2/13,1.1,1.2,1,1,22,43750,47627
4/1/13,1.2,1.2,1.1,1.1,30,133701,148571.1
3/28/13,1.2,1.3,1.2,1.2,11,35100,42130
3/27/13,1.2,1.3,1.2,1.3,8,82868,105641.6
3/25/13,1.3,1.4,1.2,1.2,53,564892,697718.6
3/22/13,1.4,1.4,1.3,1.3,28,353813,460656.9
3/21/13,1.4,1.4,1.3,1.3,39,199434,266184.3
3/20/13,1.2,1.4,1.2,1.4,17,112065,155378
3/18/13,1.3,1.4,1.3,1.3,12,73252,95227.7
3/15/13,1.3,1.4,1.3,1.3,23,159979,215040.5
3/14/13,1.4,1.4,1.3,1.3,6,42659,55956.7
3/13/13,1.4,1.5,1.3,1.3,36,210950,278234.2
3/12/13,1.4,1.5,1.3,1.3,49,519463,759039.8
3/11/13,1.4,1.5,1.2,1.3,24,123782,161339.5
3/8/13,1.5,1.7,1.4,1.4,143,1489342,2260236.2
3/7/13,1.2,1.5,1.1,1.4,174,1703467,2248601.7
3/6/13,1.1,1.3,0.9,1.2,60,873194,1008294.7
3/5/13,1,1.1,0.9,1.1,23,88765,91256.7
3/4/13,1.1,1.2,0.9,1.1,48,464060,485606.8
3/1/13,1.4,1.4,1,1.1,49,329163,396639.4
2/28/13,1.4,1.5,1.4,1.4,15,67344,94381.6
2/27/13,1.5,1.6,1.4,1.5,50,265585,398093
2/26/13,1.7,1.7,1.4,1.4,27,316523,484433.6
2/22/13,1.7,1.8,1.6,1.7,22,373550,666360
2/21/13,1.7,1.7,1.6,1.6,16,62730,102637.9
2/20/13,1.7,1.7,1.7,1.7,7,33073,56224.1
2/19/13,1.6,1.7,1.6,1.7,35,119851,200792.6
2/18/13,1.6,1.6,1.6,1.6,26,199477,319163.2
2/15/13,1.8,1.8,1.6,1.7,57,442950,766299.6
2/14/13,1.8,1.9,1.8,1.8,29,189635,341353
2/13/13,1.9,2,1.8,1.9,32,149600,284210
2/12/13,1.9,2,1.9,1.9,21,389197,739684.3
2/11/13,1.9,2,1.9,2,22,131800,255325
2/8/13,2,2,1.9,2,7,31875,63742.5
2/7/13,2,2,2,2,37,268430,536860
2/6/13,1.9,2,1.9,2,7,49433,93922.8
2/5/13,1.9,1.9,1.9,1.9,9,85388,162237.2
2/1/13,2,2,1.9,2,4,4555,9105
