Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,4.5,4.5,4.3,4.4,45,41690,183537.4
10/12/23,4.6,4.6,4.4,4.4,19,10082,45233.6
10/11/23,4.6,4.6,4.4,4.5,36,71383,317814.3
10/10/23,4.6,4.6,4.5,4.5,20,14302,64774.2
10/9/23,4.5,4.6,4.5,4.5,25,18866,85171.5
10/6/23,4.6,4.6,4.5,4.6,13,5706,26147.5
10/5/23,4.6,4.6,4.5,4.6,14,1804,8248.3
10/4/23,4.6,4.7,4.5,4.6,41,54255,245101.1
10/3/23,4.7,4.7,4.5,4.5,55,114270,519485.3
10/2/23,4.7,4.7,4.5,4.6,48,153730,699657.2
9/27/23,4.8,4.8,4.7,4.8,7,2802,13299.6
9/26/23,4.8,4.8,4.7,4.7,2,2001,9404.8
9/25/23,4.7,4.8,4.6,4.7,13,10511,48663.2
9/22/23,4.8,4.8,4.7,4.7,12,13502,63509.6
9/21/23,4.7,4.9,4.7,4.8,28,23410,111443.2
9/20/23,4.8,4.8,4.7,4.7,9,12836,60612.8
9/19/23,4.8,4.8,4.7,4.8,14,18512,88857.5
9/18/23,4.8,4.9,4.8,4.8,15,60000,288330
9/15/23,4.7,4.8,4.7,4.7,35,114355,538826
9/14/23,4.7,4.8,4.7,4.8,2,2500,11760
9/13/23,4.8,4.8,4.7,4.8,27,15681,74806.6
9/12/23,4.8,4.8,4.8,4.8,14,10486,50332.8
9/11/23,4.9,4.9,4.8,4.8,18,29368,141059.9
9/8/23,4.8,4.8,4.8,4.8,20,17000,81600
9/7/23,4.8,4.9,4.7,4.8,18,10623,50599
9/6/23,4.8,4.8,4.6,4.7,24,48045,226972
9/5/23,4.7,4.9,4.6,4.8,74,179543,831763.2
9/4/23,4.9,4.9,4.7,4.8,31,11983,57346.5
9/1/23,4.9,4.9,4.8,4.9,12,4118,19937
8/31/23,5,5,4.8,4.8,21,82708,400761.6
8/29/23,4.8,5,4.8,4.9,19,13897,67687.5
8/28/23,4.8,5,4.8,4.8,35,69439,345526.7
8/25/23,5,5,4.7,4.7,32,37780,178675
8/24/23,4.8,5,4.7,4.9,50,434967,2100958.4
8/23/23,4.7,4.8,4.6,4.7,27,69265,321718.4
8/22/23,4.6,4.7,4.5,4.6,36,174837,787423
8/21/23,4.6,4.8,4.6,4.7,38,81613,381260.3
8/18/23,4.7,4.8,4.6,4.6,20,31639,145942.1
8/17/23,4.8,4.8,4.6,4.7,43,67680,313248.8
8/16/23,4.7,4.9,4.7,4.7,41,30511,143862.9
8/15/23,4.7,5,4.6,4.7,86,212637,1007867.4
8/14/23,4.8,4.9,4.7,4.8,96,138185,654154
8/11/23,4.8,4.9,4.8,4.9,35,39865,192334
8/10/23,5,5,4.8,4.9,31,70666,346772.7
8/9/23,4.8,5.2,4.8,4.9,104,685525,3383970.6
8/8/23,4.8,5,4.7,4.9,71,153010,737243.7
8/7/23,4.9,5,4.7,4.8,97,375375,1812165.6
8/4/23,5,5.1,4.9,4.9,127,569758,2803025
8/3/23,5.2,5.3,5,5,170,385207,1965160.2
8/2/23,5.4,5.4,5.1,5.3,243,937052,4926611.7
7/31/23,6,6,5.8,5.9,143,556132,3279936.1
7/28/23,6,6,5.8,6,68,210513,1247662.1
7/27/23,5.8,6,5.8,6,97,588425,3461326.3
7/26/23,5.9,6,5.8,5.8,100,264471,1542451.6
7/25/23,5.9,5.9,5.7,5.9,144,786609,4614319.9
7/24/23,5.9,6,5.7,5.8,168,611285,3553416.9
7/21/23,6,6,5.6,5.8,995,8765156,51118497.6
7/20/23,5.2,5.5,5.1,5.4,88,3479394,18119530.1
7/19/23,5.2,5.2,5,5.1,31,44803,227760.8
7/18/23,5.2,5.2,5.1,5.1,61,175410,895877.3
7/17/23,5.4,5.4,5.2,5.2,52,506724,2649663.5
