Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,1019,1019,1019,1025,1,2,2038
10/11/23,1025,1025,1007,1025,4,6,6060
10/10/23,1025,1025,1006.25,1025,2,11,11256.25
10/9/23,1015,1015,1010,1025,6,61,61789.5
10/6/23,1024.75,1024.75,1015,1025,6,57,58022.5
10/5/23,1017,1020,1010,1025,11,99,100565.75
10/4/23,1020,1020,1015,1025,7,68,69158
10/3/23,1020,1020,1019,1025,9,68,69351.75
10/2/23,1024.75,1024.75,1020,1025,5,8,8174.25
9/27/23,1026,1026,1025,1025,7,47,48177
9/26/23,1050,1050,1023,1025,2,3,3123
9/22/23,1021,1025,1021,1025,5,21,21481
9/21/23,1030,1030,1021,1025,2,90,92034
9/20/23,1020,1072.25,1020,1025,10,201,205911
9/19/23,1021,1022,1019,1021,8,42,42896
9/18/23,1021,1022,1021,1021,5,102,104146
9/15/23,1021,1025,1016,1024.75,13,87,88598.5
9/14/23,1030,1030,1021,1024.75,8,62,63695
9/13/23,1019,1030,1019,1024.75,5,85,87440
9/12/23,1016,1025,1016,1024.75,11,72,73651
9/11/23,1053,1053,1016,1024.75,21,222,227591.25
9/8/23,1052,1052,1052,999.5,1,2,2104
9/7/23,1077.5,1077.5,1050,999.5,3,4,4282.5
9/6/23,1077.5,1078,1030,999.5,10,38,39685
9/5/23,1077.5,1077.5,1020,999.5,7,67,70396
9/4/23,1049.25,1070,1048.75,999.5,8,22,23395.25
9/1/23,1049,1049,1049,999.5,1,20,20980
8/31/23,1010,1048.75,1010,999.5,4,31,31348.75
8/29/23,1005,1010.25,1005,999.5,4,15,15127.5
8/28/23,1030,1030,999,999.5,17,1084,1083539.25
8/25/23,1008,1033,1008,1021.5,7,108,110314
8/24/23,1025,1025,1008,1000.75,12,99,100260
8/23/23,1012,1012,1000,1000.75,26,297,297545.25
8/22/23,1013.25,1034,1010,1006.25,11,71,71802.75
8/21/23,1011.25,1011.25,1002,1006.25,15,110,110676.75
8/18/23,1023,1030,1011,1020.5,15,59,60030
8/17/23,1035,1035,1021.75,1020.5,6,93,95331.5
8/16/23,1023,1023,1020.25,1020.5,11,66,67486.5
8/15/23,1022.25,1035,1022.25,1020.5,7,59,60547
8/14/23,1050,1050,1015,1020.5,13,114,116547.25
8/11/23,1029.75,1065,1011,1012.75,16,1026,1039117.5
8/10/23,1040,1040,1030,1032.25,15,101,104255
8/9/23,1040,1075.25,1030,1037.5,27,316,328324
8/8/23,1079.75,1079.75,1040,1040,15,122,127273
8/7/23,1089,1089,1045.25,1044.25,6,27,28669
8/4/23,1043,1051,1043,1044.25,6,120,125309
8/3/23,1089.5,1089.5,1040.25,1051.5,16,111,116743
8/2/23,1069,1069,1060,1060,6,32,33992
7/31/23,1099,1099,1099,1060,3,12,13188
7/28/23,1116,1116,1066,1060,3,12,13340
7/27/23,1116,1116,1058,1060,43,2028,2152528
7/26/23,1125,1125.25,1125,1111.25,4,11,12375.25
7/25/23,1149,1149,1115,1111.25,11,88,99392
7/24/23,1112,1112,1110,1111.25,5,106,117780
7/21/23,1150,1150,1060,1112,14,147,163470
7/20/23,1100,1149,1100,1051,2,23,25545
7/18/23,1145,1148.75,1145,1051,6,35,40078.75
7/17/23,1054,1100,1051,1051,9,27,28661.75
