Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,24.2,24.3,24.2,24.2,4,4500,108902.5
10/12/23,23,23,23,23,2,5300,121900
10/10/23,23.1,24,23.1,24,6,2013,47503.8
10/9/23,23,23.4,23,23,3,2096,48208.4
10/5/23,23.5,24,23.5,23.8,5,410,9744
10/3/23,23,23.6,23,23.5,9,2455,57255.5
10/2/23,24.2,24.2,23,23.1,22,16694,385043.2
9/27/23,24,24,23,23.2,42,16885,393911.6
9/26/23,25.2,25.2,23.2,23.6,217,18898,448996.2
9/25/23,25.3,25.3,24.5,24.6,17,1481,36386.2
9/22/23,25.2,25.8,25,25.6,15,2025,51747.7
9/21/23,24.5,25.2,24.5,25.2,5,9,222.4
9/20/23,25.1,25.5,24.5,25.2,17,680,17122
9/19/23,24.9,24.9,24.7,24.8,9,158,3920.5
9/18/23,26.4,26.4,24.9,25,70,20364,511926.8
9/15/23,26.1,26.9,26,26,22,13547,353250.5
9/14/23,26.4,27.4,26,27.3,55,11929,314877.1
9/13/23,28.4,28.4,28.4,28.4,1,100,2840
9/12/23,27.9,28.4,27.9,28.3,5,300,8489.9
9/11/23,27.9,27.9,27.9,28,1,3,83.7
9/8/23,28.2,28.3,28,28,5,500,14059
9/7/23,26,28,26,27.2,10,3250,88427
9/5/23,28,28.5,28,28.1,3,500,14035
9/4/23,26.1,28,26.1,27.9,6,183,4959.6
9/1/23,28,28,28,28,5,3000,84000
8/31/23,27.8,28,27.8,27.8,3,1855,51584.8
8/29/23,28,28,27.8,27.8,5,201,5592.2
8/28/23,27,28,27,27,12,3855,104283
8/23/23,25.6,28,25.6,27.5,9,6207,170965.2
8/22/23,27,27.4,27,27.2,5,200,5435.2
8/21/23,28.4,28.4,25.2,27,19,4703,122548.7
8/18/23,23.5,28.5,23.5,25.5,20,9356,238177.7
8/17/23,24.5,25,24.5,24.9,3,1107,27575
8/16/23,23.5,23.5,23.5,25,3,80,1880
8/15/23,23.6,25,23.6,25,2,110,2736
8/14/23,23.3,24,23.3,23.9,5,189,4520.5
8/11/23,25,25,23,23,4,1452,35899
8/9/23,25,25,25,25,1,1,25
8/8/23,25,25,24,25,2,1001,25024
8/7/23,25.5,25.5,25.5,25.5,2,2000,51000
8/3/23,25.7,25.7,25.5,25.7,4,88,2253.7
8/2/23,25.6,25.8,25.6,25.7,6,2000,51496
7/31/23,26,26,26,25,2,81,2106
7/28/23,25,25.5,25,25,11,3574,89350.5
7/27/23,25,25,25,25,13,6921,173025
7/26/23,25.3,25.3,25,25,11,2234,55865.7
7/25/23,25,26.8,25,26.7,8,3301,82916.8
7/24/23,27,27,26,26.9,7,52,1370.1
7/21/23,24.2,26.8,24.2,26.9,2,37,947.4
7/20/23,26.4,27.2,26.4,26.9,7,353,9486.5
7/19/23,25.1,26.5,23.6,26.4,23,4612,119613.5
7/18/23,23.8,25.1,23.8,24.9,11,1013,25167.6
7/17/23,24.7,24.8,23.5,23.5,10,681,16103.5
