Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,25.9,26.5,25.5,25.9,39,49942,1286229.7
10/12/23,25.9,26,25.7,25.7,55,100972,2615268.1
10/11/23,26.4,26.4,25.5,25.6,159,288615,7448012.7
10/10/23,26.4,26.6,26.2,26.3,98,99138,2612694.3
10/9/23,26.1,26.5,26,26.4,86,1176794,30620443.1
10/6/23,26.7,27,26.3,26.4,82,374972,9934773.6
10/5/23,26.8,27.4,26.8,26.9,45,228464,6163318.3
10/4/23,26.8,27.1,26.6,26.9,126,735725,19731612.4
10/3/23,27.1,27.5,26.8,26.9,175,1029371,27804493.8
10/2/23,28,28,26.9,27.4,78,166601,4516926.2
9/27/23,26.8,28.1,26.8,28,261,2081161,58144642.7
9/26/23,27,27.2,26.7,26.8,91,159540,4278461.1
9/25/23,27,27.2,26.9,27,96,196274,5303590.5
9/22/23,26.9,27.2,26.8,27.1,131,2214045,59615582.4
9/21/23,27.1,27.1,26.7,26.9,59,77641,2089590.4
9/20/23,26.7,27.5,26.7,27.1,132,3566567,96354217.3
9/19/23,27.4,27.4,26.5,26.8,82,461481,12347141.9
9/18/23,27,27,26.6,27,65,97111,2614553.1
9/15/23,27.7,27.8,27,27.2,163,708151,19222801.2
9/14/23,27.2,28.3,27.2,27.8,358,2035372,56494769.6
9/13/23,26.9,27.2,26.6,27,166,2768470,74705378.4
9/12/23,26.9,27.5,26.5,26.6,157,872494,23213239.5
9/11/23,27.3,27.5,26.8,26.9,134,668449,17985185.5
9/8/23,27,27.9,27,27.3,349,1869846,51220191.6
9/7/23,25.6,27,25.5,27,270,5140624,135228535.9
9/6/23,25.5,26,25.5,25.9,184,1609985,41707851.7
9/5/23,26,26,25.4,25.6,182,802826,20717391.8
9/4/23,26,26,25.8,25.9,83,458406,11907752.8
9/1/23,26.2,26.2,25.6,25.9,78,738096,19119990.7
8/31/23,25.8,26,25.4,25.9,101,219336,5656989.1
8/29/23,25.8,25.8,25.5,25.7,114,217151,5574512.5
8/28/23,26.4,26.7,25.5,25.8,114,57652,1492700.3
8/25/23,27,27,26,26.2,149,285798,7589346.5
8/24/23,26,27,25.7,26.8,398,6333709,169405772.7
8/23/23,24.2,26,24.2,25.7,507,10849682,273110759.3
8/22/23,23.6,24.5,23.6,24,172,3410250,81888804.9
8/21/23,24.5,24.6,23.7,23.8,173,2002028,48008162.3
8/18/23,25,25,24,24.3,154,529156,13084995.5
8/17/23,25,25.2,24.8,24.9,312,1218695,30436066.4
8/16/23,25,25.5,24.8,25,232,2837049,71305291.6
8/15/23,25.1,25.2,24.8,24.9,119,414374,10356730.7
8/14/23,25,25.6,24.8,25.1,285,2316344,58419146.8
8/11/23,23.9,25.1,23.9,25,371,4157122,103288269.9
8/10/23,23.8,24.5,23.7,23.9,85,549061,13190183.4
8/9/23,24,24.5,23.6,24.3,92,193783,4663264.4
8/8/23,24.4,24.4,23.7,24,129,352721,8459034.5
8/7/23,24.5,25,24.2,24.3,112,333423,8259088.7
8/4/23,24.2,25.2,24.2,24.5,402,5703782,140809068.8
8/3/23,23.4,24.3,22.7,24,413,4611723,109772291.9
8/2/23,23,23.5,22.8,23,106,1501523,34578089
7/31/23,22.8,23.4,22.7,22.9,71,63068,1449921.2
7/28/23,22.8,23.5,22.7,22.8,153,1062433,24451672.8
7/27/23,22.7,23,22.7,22.8,78,358934,8184685.1
7/26/23,22.3,22.7,22.3,22.5,36,88104,1982349.6
7/25/23,22.8,22.8,22.1,22.5,50,35900,804557.5
7/24/23,23.1,23.1,22.7,22.9,38,44446,1020178.7
7/21/23,22.6,23.2,22.3,23,195,1680256,38497813.9
7/20/23,22.3,22.5,22,22.5,67,3723920,83699984.4
7/19/23,22.7,22.8,22,22.1,152,1136818,25364693.2
7/18/23,22.3,22.9,22.3,22.7,134,1406601,31686063.7
7/17/23,22.3,22.7,22.1,22.2,54,280781,6311552.8
7/14/23,22,22.8,21.8,22.1,138,2495137,56005575.5
7/13/23,22.5,22.5,21.9,22,98,2126565,47564236.6
7/12/23,21.8,22.8,21.8,22.3,122,3707375,82582162.9
7/11/23,22.2,22.2,21.7,22,95,187695,4112563.2
7/10/23,22.9,22.9,22.1,22.3,57,159345,3605677.3
7/7/23,22.4,23,21.1,22.5,245,736172,16349722
7/6/23,23,23,22.1,22.2,131,447341,10011936.2
7/5/23,23.1,23.1,22,22.4,105,206755,4682755.9
7/4/23,22,23.5,20.7,23.1,304,1655878,37758304.6
6/28/23,20.7,21.8,20.7,21.4,94,211556,4487869.8
6/27/23,20.9,21.4,20.6,20.8,162,333410,6981698.7
6/26/23,22.7,23.1,22.4,22.8,220,767645,17592598.1
6/23/23,22.6,23,22.5,22.7,132,201216,4583631.2
6/22/23,22.9,23,22.6,22.8,78,66193,1509933.1
6/21/23,22.4,23,22.3,22.9,363,2394680,54760873.8
6/20/23,22.5,22.7,22.2,22.6,137,269803,6055709.2
6/19/23,22.3,22.7,22.3,22.5,271,761354,17113621.2
6/16/23,22.2,22.2,21.5,22,120,292538,6420485.9
6/15/23,22.5,23.2,22.1,22.2,431,6059184,136917763
6/14/23,20.4,22.3,20.4,22.1,433,3506211,75815721
6/13/23,20.4,21.8,20.4,21.5,314,1750801,36681800.1
6/12/23,19.7,20.5,19.2,20.4,160,1190638,23949433.3
6/9/23,19,19.8,19,19.5,121,510634,9778616.4
6/8/23,18.7,19.1,18.5,18.9,57,225787,4261175.2
6/7/23,18.5,18.7,18.4,18.7,18,150920,2792046.3
6/6/23,18.8,18.8,18.2,18.5,27,32926,608969.7
6/5/23,18,18.8,18,18.5,47,471496,8722328.9
6/2/23,18.9,18.9,18.4,18.6,27,21351,398562.2
6/1/23,18.2,18.9,17.8,18.5,87,599460,11177121.6
5/31/23,18,18,17.6,17.7,11,28079,502392.2
5/30/23,17.9,18,17.7,17.7,25,162472,2876204.7
5/29/23,18,18,17.8,17.8,34,31491,560860.5
5/26/23,18,18.5,17.8,18,24,12739,228359.5
5/25/23,18.2,18.2,17.9,17.9,6,20001,358018.2
5/24/23,17.9,18.2,17.9,18,12,72438,1303630.8
5/23/23,17.3,17.9,17.3,17.7,23,48124,845757.4
5/22/23,17.9,17.9,17.5,17.7,30,25636,449373.9
5/19/23,18,18,17.8,17.8,11,7866,140040.6
