Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,22,22,21.9,22,7,384,8442.9
10/12/23,21.5,21.9,21.5,21.9,14,16110,352408
10/11/23,22.7,22.7,21.5,21.5,4,3938,86080.6
10/10/23,22.6,22.6,22.6,22.6,1,100,2260
10/9/23,22.4,22.4,21.6,21.6,4,600,13335
10/5/23,22.8,22.8,22.8,22.5,2,50,1140
10/4/23,22.2,23.3,22.2,22.5,16,1829,41146.8
10/3/23,23,23.8,22.1,22.3,10,3845,85635.1
10/2/23,23.1,23.8,23.1,23.1,2,3001,69323.8
9/27/23,23,23.7,23,23,2,510,11737
9/26/23,23.9,23.9,23.9,23,1,15,358.5
9/25/23,23.8,23.8,23,23,4,2925,67276.6
9/22/23,23.8,23.8,22.9,23,9,2918,67015.5
9/21/23,23.1,23.1,22.9,23,21,11500,264465
9/20/23,23.9,23.9,23,23,4,2410,55732.2
9/19/23,23.1,23.9,23.1,23.9,3,251,5991.7
9/18/23,23.5,24,23,23.2,31,41279,952379.7
9/15/23,24.3,24.5,23.7,24.4,8,246,5991.9
9/14/23,23.9,24,23.9,24,5,750,17995.5
9/13/23,24,24,23.3,23.9,4,365,8718
9/12/23,23.1,24.5,23.1,23.3,26,6240,145328.8
9/11/23,24.1,24.1,23,23.4,19,4292,100506.1
9/8/23,24,24.8,24,24.5,9,25539,625648.8
9/7/23,24.9,24.9,24.5,24.9,2,541,13470.5
9/6/23,24.9,24.9,24,24.1,10,3436,83076.7
9/4/23,24.9,25,24.9,25,19,20016,500197.3
9/1/23,24.9,24.9,24,24,12,9360,224701
8/31/23,25,25,24,24,16,13202,317603.8
8/29/23,23.5,25,23.5,24.5,22,13859,337209.5
8/28/23,23.5,23.6,23.5,23.5,9,35500,834300
8/25/23,23.6,24,23.5,23.5,7,3205,75418.5
8/24/23,23.7,23.7,23.5,23.5,8,5657,133029.9
8/23/23,23.8,24,23.5,23.6,14,15966,378364
8/22/23,23.5,23.8,23.5,23.5,13,10040,235971.7
8/21/23,23.5,23.9,22,23.5,40,98957,2323520.5
8/18/23,23.5,23.6,23.5,23.5,15,25955,610242.5
8/17/23,23.5,23.7,23.5,23.5,15,16300,383210
8/16/23,23.1,23.6,21,23.5,30,18765,436865
8/15/23,23.5,23.7,23.5,23.5,17,14490,340555
8/14/23,23,23.7,23,23.7,16,13416,314851.5
8/11/23,23.5,23.6,23.5,23.5,34,16873,396568.8
8/10/23,23,23.6,23,23.5,5,1800,42160.1
8/9/23,23.5,24,23.5,23.5,13,9525,223939.3
8/8/23,23.5,23.7,23.5,23.5,30,33490,787028.2
8/7/23,24.4,24.4,23.6,23.6,16,1449,34201.2
8/4/23,23.6,23.6,23.5,23.5,10,6587,155221.7
8/3/23,24.4,24.4,24.4,24.1,1,1,24.4
8/2/23,24.4,24.7,23.5,24.1,33,10645,253296.1
7/31/23,23.2,24.4,23.2,23.6,11,1241,29204.3
7/28/23,23.4,24.5,23.4,23.5,10,4875,114523
7/27/23,23.3,24.9,23.3,24.5,10,262,6264.7
7/26/23,23.9,24.9,23.3,23.3,11,3001,70520.9
7/25/23,24.2,24.9,23,24.2,28,13969,325427
7/24/23,23.5,25.6,23.5,24.2,151,105675,2617011.4
7/21/23,22,23.6,21.5,23.2,49,29781,695245.1
7/20/23,23.6,23.6,20.1,21.4,29,21435,459639.6
7/19/23,23.2,23.5,22.7,23.5,14,10080,236190
7/18/23,23.5,23.5,23,23,20,8485,198306.5
7/17/23,23.5,23.6,23.4,23.5,11,6950,163270.1
