Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,15,15.7,15,15,24,20299,305386.1
10/12/23,14.9,15.6,14.7,15.5,41,10461,159744.4
10/11/23,15.6,16,15,15,55,80881,1224284.4
10/10/23,15.7,16.2,15.6,15.8,40,28496,449004.9
10/9/23,16.3,16.3,15.1,15.7,77,79493,1231719.1
10/6/23,16.4,17.3,16.2,16.3,295,459877,7740669.3
10/5/23,14,16.9,14,16,514,1038647,16377494.5
10/4/23,13.9,14,13.8,13.9,13,7707,107062.9
10/3/23,14,14.1,14,14,9,7608,106513.3
10/2/23,14,14,14,14,4,387,5418
9/27/23,14,14.1,13.9,14,19,9891,138452.3
9/26/23,14,14.2,14,14.2,5,2541,35674
9/22/23,14.4,14.4,13.9,14.1,18,10050,141146.6
9/21/23,14.4,14.4,14.4,14.4,1,400,5760
9/20/23,14.2,14.5,14,14,45,41471,585049.2
9/19/23,14.2,14.7,14.2,14.2,11,3178,45210.9
9/18/23,14.3,14.7,14.2,14.3,7,1751,25014.7
9/15/23,14.4,14.6,14.4,14.5,9,851,12299.2
9/14/23,14.5,14.6,14,14.4,38,8473,119782.6
9/13/23,14.5,14.5,14.5,14.5,12,2664,38628
9/12/23,14.6,14.6,14,14.6,33,27358,389063.8
9/11/23,14.7,14.7,14.6,14.7,9,7122,104372.4
9/8/23,14.6,14.7,14.5,14.7,14,3016,44103
9/7/23,14.8,14.8,14.7,14.7,3,1544,22698.4
9/6/23,14.5,14.8,14.5,14.8,4,401,5892.8
9/5/23,14.5,14.9,14.5,14.7,5,723,10582.3
9/4/23,14.5,14.9,14.5,14.5,14,7619,110806.9
9/1/23,15,15,14.5,14.9,18,34064,510815
8/31/23,15,15,14,14.4,36,45460,665431.5
8/29/23,14.3,15.2,14.3,15,28,26102,383784.6
8/28/23,14.6,14.6,14.1,14.1,31,14011,200443.7
8/25/23,14.7,14.9,14.7,14.7,3,504,7409.6
8/24/23,14.8,14.9,14.5,14.7,10,1803,26659.7
8/23/23,14.5,14.9,14.5,14.8,11,1702,24802.6
8/22/23,14.7,14.8,14.5,14.5,24,44942,652775.2
8/21/23,15,15,14.6,14.6,38,14811,217769.8
8/18/23,15,15,14.5,14.6,41,87213,1274817.8
8/17/23,14.9,15.3,14.8,15,11,6545,97235
8/16/23,15.2,15.3,14.9,14.9,22,19713,294081.7
8/15/23,15,15.2,14.9,15.2,16,3646,54681.4
8/14/23,15,15.2,14.9,15,30,39484,592269.3
8/11/23,15,15.5,15,15.2,22,12886,195890.4
8/10/23,15,15.4,14.9,15.4,12,5089,76666.1
8/9/23,15.1,15.4,15,15.4,14,35827,538345
8/8/23,15.1,15.4,15,15.1,28,8730,131430.4
8/7/23,15.9,15.9,14.9,15.5,78,87958,1337185.3
8/4/23,15.4,16.1,15.4,15.8,119,69302,1081807.4
8/3/23,15.6,15.6,15,15.2,80,63928,962957.5
8/2/23,15.9,15.9,15,15.4,113,137778,2097127.8
7/31/23,16,16,15.8,15.9,12,13309,211534
7/28/23,15.8,16.4,15.7,15.7,35,21518,339808.4
7/27/23,15.6,16.4,15.6,16,37,21808,349706.6
7/26/23,15.8,16.1,15.7,16.1,18,15835,250460
7/25/23,16.3,16.3,15.9,16,21,17207,276202.5
7/24/23,16.4,16.4,16,16.2,16,8229,133799.5
7/21/23,16,16.4,15.9,16.4,28,24841,404611.1
7/20/23,15.8,16,15.8,15.9,30,18869,299519.8
7/19/23,16.3,16.3,15,15.7,122,173526,2672200.5
7/18/23,16.5,16.8,16.1,16.3,36,9564,156615.4
7/17/23,17,17,16.6,16.7,29,11091,185467.9
