Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/30/15,47,49.9,47,48.7,6,1624,78090.3
10/28/15,50,50,47.2,48.2,18,6749,326454
10/26/15,51.9,52.9,47,50,34,11571,587984.7
10/23/15,44.9,52.3,44.9,51,141,114970,5712900.1
10/20/15,44.5,44.5,44.5,44.5,1,100,4450
10/19/15,45,45,45,44.5,1,1,45
10/16/15,45,45,44,44.5,2,200,8900
10/14/15,45,45,45,42.2,1,1,45
10/8/15,45,45,45,42.2,1,1,45
10/1/15,41.5,41.5,41.5,42.2,1,8,332
9/25/15,42,42.2,42,42.2,3,1501,63082.2
9/22/15,41.1,41.1,41.1,41.1,1,500,20550
9/17/15,44.5,44.5,44.5,40.8,1,1,44.5
9/10/15,40.8,40.8,40.8,40.8,3,351,14320.8
9/7/15,40.6,44.9,40.6,40,3,84,3470.6
9/2/15,40,40,40,40,1,300,12000
8/31/15,46,46,46,44.3,1,5,230
8/25/15,44.3,45,44.3,44.3,4,332,14709
8/24/15,45.9,45.9,45.9,46.4,1,15,688.5
8/21/15,46.7,46.7,46.7,46.4,1,5,233.5
8/20/15,46.6,46.6,44.1,46.4,5,355,16515.5
8/19/15,44.6,44.6,44.6,44.6,1,200,8920
8/14/15,44.6,46,44.6,44.6,4,16486,735846.7
8/11/15,44.6,44.6,44.6,44.6,1,3000,133800
8/10/15,44.6,44.6,43.1,44.8,3,26,1145.1
8/7/15,44.8,44.8,44.8,44.8,4,950,42560
8/6/15,45,45,44,44,7,3365,150387.5
8/5/15,43.1,44.8,43.1,44.8,6,3880,173472.4
8/3/15,45,45,45,45,1,2010,90450
7/30/15,42.6,42.6,42.6,42.6,1,250,10650
7/29/15,42.7,42.7,42.6,42.7,4,1730,73798
7/28/15,44.2,44.2,44.2,42.2,1,5,221
7/27/15,45.1,45.1,42.2,42.2,4,1105,46675.5
7/24/15,44.5,44.5,44.5,43.5,1,1,44.5
7/22/15,43.5,43.5,43.5,43.5,1,5,217.5
7/20/15,43.4,43.4,43.4,43.5,2,2,86.8
7/17/15,43.5,43.5,43.5,43.5,1,114,4959
7/16/15,42,42,42,42,4,1004,42168
7/13/15,44,44,44,44,4,1501,66044
7/10/15,40.2,40.2,40.2,40.2,1,2010,80802
7/9/15,43.9,43.9,43.9,43.1,1,10,439
7/7/15,41.1,43.5,41.1,43.1,12,16663,718188.3
7/3/15,41.4,41.4,41.1,41.2,3,501,20622.3
7/2/15,44.8,44.8,44.8,41.7,1,1,44.8
6/30/15,44.9,44.9,44.9,41.7,1,5,224.5
6/25/15,42,42,41.3,41.7,3,2100,88165
6/24/15,43.8,43.8,43.8,43.8,1,400,17520
6/23/15,40.1,44.5,40.1,44.9,2,46,2042.6
6/19/15,44.9,44.9,44.9,44.9,3,1002,44989.8
6/18/15,44,44,44,44,1,100,4400
6/17/15,42.1,44.9,42,42,5,6945,291722.1
6/16/15,45,45,45,45,1,2,90
6/15/15,45,45,42.1,42.1,2,22,932
6/10/15,45,45,45,45,1,2,90
6/9/15,43,45,43,43.5,4,33,1435
6/8/15,45,47,45,47,2,2010,94430
6/5/15,44.9,44.9,44.8,44.9,3,13,583.4
6/3/15,43,45,43,45,5,5,219
6/1/15,45,45,44.9,44.9,9,7005,315197.6
5/29/15,43,43,41.3,42.7,2,2537,108348.1
5/28/15,42.9,42.9,42.9,42.9,2,35,1501.5
5/26/15,44,44,43,43,2,101,4344
5/25/15,42,42,42,42,1,100,4200
5/22/15,44,44,44,44,4,32,1408
5/21/15,41,45,41,41.1,4,1348,55294.5
5/20/15,45,45,45,45,1,2,90
5/18/15,45,45,45,45,1,10,450
5/15/15,45.5,45.5,45.4,45.4,2,50,2274.5
5/13/15,45.5,45.5,45.5,45.5,1,10,455
5/12/15,45.9,45.9,45.8,45.9,2,200,9170
5/11/15,46,46,46,46,2,10,460
5/8/15,46,46,45,45.9,4,502,22871.8
5/7/15,45.9,45.9,43,45.8,8,2468,107481
5/6/15,43.6,43.6,42.5,42.7,6,8800,374570
4/30/15,43.5,45.8,43.4,43.4,5,5301,230075.8
4/29/15,45.9,45.9,45.8,45.8,5,315,14428.3
4/28/15,42.2,46,42.2,43.2,32,47994,2157475.2
4/24/15,42.1,42.1,42.1,42.1,3,2593,109165.3
4/21/15,44.4,45.3,42,43.5,14,23032,1034281.2
4/20/15,44,44,44,44,1,850,37400
4/17/15,44,44,41.1,43.9,4,700,30501.5
4/16/15,44.6,44.6,44.6,44.6,1,1,44.6
4/15/15,43,43,43,43,1,25,1075
4/10/15,43,43,42.9,42.9,10,300,12880
4/9/15,41.6,41.6,40,40.8,9,42660,1725073.2
4/8/15,44,44,41.6,41.8,2,110,4600
4/7/15,43,43,41.5,41.7,2,180,7500
4/1/15,44.4,44.4,41.5,41.6,6,501,20854.4
3/30/15,42,42,42,42,1,10,420
3/27/15,45.9,45.9,45.9,45.9,1,10,459
3/26/15,45.2,47,45.2,45.9,14,22234,1042200.7
3/25/15,45,45,45,45,1,1,45
3/24/15,41.4,41.5,41.4,41.4,6,883,36557.2
3/23/15,45.1,45.1,45.1,45.1,1,10,451
3/20/15,45.5,45.5,45.5,45.5,1,2,91
3/19/15,45.6,45.6,41.1,41.2,4,402,16579.2
3/18/15,46,46,41.5,41.5,5,6500,296770
3/17/15,46,47.4,46,46.7,12,2346,110346.8
3/16/15,46,46,46,46,1,2,92
3/12/15,40.5,40.5,38.5,38.9,6,1600,62240.5
3/11/15,40,40.2,40,40.2,3,6099,245080
3/10/15,44,44.5,44,44,2,501,22044.5
3/9/15,45,45,45,45,3,160,7200
3/4/15,45,45,45,45,1,5,225
2/27/15,45.5,47.4,45.5,45.5,4,2119,96509.5
2/24/15,45,45,45,45,1,300,13500
2/23/15,47.8,47.8,47.4,47.4,2,51,2437.4
2/18/15,40,40,40,40,1,1,40
2/13/15,47.9,47.9,47.9,47.9,1,10,479
2/11/15,45,45.1,45,45.1,4,3500,157650
2/10/15,45,45,45,45,2,901,40545
2/9/15,45,45,44,44,3,332,14650
2/6/15,45,45,45,45,2,100,4500
2/5/15,44,44,42.1,42.4,6,805,34355
2/2/15,44.1,44.1,44,44,7,1010,44480
1/29/15,49.7,50,49.7,50,5,910,45327.5
1/26/15,49.4,49.5,49.4,49.4,2,450,22235
1/23/15,49.5,51,49,49,5,1356,67882
1/22/15,49.5,49.5,49.5,49.5,1,10,495
1/13/15,48,50,48,49.7,10,5500,273615
1/12/15,49.4,49.4,49.4,49.4,1,1400,69160
1/9/15,47,51,47,48.2,6,945,45525
1/7/15,45.2,47,45,47,11,6366,290856
1/2/15,47.8,48.7,47.8,48.7,4,490,23547
12/31/14,44.5,44.5,44.5,44.5,9,600,26700
12/29/14,44,44,44,44,1,2000,88000
12/26/14,47.5,48.9,47.5,47.5,3,2535,120461.5
12/24/14,45,45,45,45,1,800,36000
12/22/14,47,47.3,47,47.1,2,700,32960.6
12/19/14,46.7,46.9,46.7,46.9,5,6665,312568.5
12/18/14,47.2,47.2,47.2,47.2,2,5600,264320
12/15/14,47.3,47.3,47.3,47.3,1,2,94.6
12/8/14,45.5,47,45.5,47,4,8200,385100
12/5/14,44.2,46.8,43,45.5,9,5900,260610
12/4/14,47.8,47.8,47.8,47.8,1,2,95.6
12/3/14,46,47.8,45.9,46.2,6,266,12267
12/2/14,46,46,43.5,43.5,3,584,25414
12/1/14,43.8,45,42.4,42.7,11,23530,1005293.5
11/28/14,40.1,44,40.1,42.1,4,52,2190.3
11/27/14,44,44,42,42.2,8,2000,84968
11/25/14,43,48,43,46.7,7,1963,88659
11/20/14,47.3,47.3,46.9,47.1,10,2305,108260.5
11/19/14,49.9,49.9,48,48,3,259,12449.1
11/18/14,48.4,48.4,47.1,47.4,21,5153,244082.9
11/17/14,49.1,49.1,48.2,48.2,4,601,29458.2
11/14/14,49.4,52,48,51.7,13,7300,356216
11/13/14,52,52.1,52,52,15,2640,137290
11/12/14,53,54.9,52,52,17,5475,290314.1
11/11/14,51.8,52,49.4,52,6,925,46765
11/7/14,51.4,52.1,51.4,52.1,5,164,8442.1
11/5/14,47.2,52.7,47.2,49.4,11,1449,71783.4
11/4/14,49.2,49.2,49.2,49.2,3,1140,56088
11/3/14,50.2,50.2,50.1,50.1,2,500,25070
10/31/14,51.2,53,50.2,52.1,7,825,43005
10/30/14,53.5,53.5,53.3,53.5,5,1251,66878.5
10/29/14,53,56.9,52,52.7,123,85046,4590180.4
10/28/14,51.9,53,51,53,46,28022,1476798.5
10/27/14,49.5,51.5,49.5,50.9,32,16119,813505
10/24/14,47.5,48,47.5,47.7,5,35758,1705634
10/23/14,46.1,46.1,46.1,46.1,1,2190,100959
10/21/14,46,46.1,46,46,10,11230,516583
10/20/14,47.5,47.5,47.5,47.5,2,1500,71250
10/17/14,46,46,46,46,1,4700,216200
10/16/14,47.5,48,47.5,47.5,4,600,28550
10/15/14,45.5,47.9,45.5,47.9,3,400,18920
10/14/14,45.3,45.5,45.3,45.4,13,8201,372625.3
10/13/14,46.8,46.8,46,46,14,16503,761338
10/10/14,47,48.4,46.9,47.1,6,7230,340473
10/7/14,48.5,48.5,48.5,48.5,7,6100,295850
10/3/14,46.8,46.8,46.8,46.8,2,300,14040
10/2/14,47,48.4,46.2,47.6,25,30875,1468085
9/30/14,48.5,48.5,47,47,4,2500,119200
9/29/14,48,49,47,48.1,24,17135,820645
9/26/14,45.9,46.6,45.9,46.4,30,16620,769472
9/25/14,46.5,46.5,43.5,45.8,5,2751,126118.5
9/24/14,45.1,46.5,45,45,5,6715,302475
9/23/14,46.4,46.4,46.4,46.4,1,1000,46400
9/22/14,47,47,46,46.5,7,11350,522475
9/19/14,46.6,47.5,46.6,47.5,3,310,14635
9/18/14,47.4,47.5,46,46.6,26,9361,436261
9/17/14,46.3,46.5,45.6,46.5,10,4050,185405
9/15/14,47.5,48,46.3,46.6,12,1847,85991.1
9/12/14,49,50,48.1,48.1,23,34700,1696440
9/11/14,49,49,48.5,49,30,22700,1111580
9/9/14,48,49.4,48,48.4,6,1200,57930
9/4/14,49.5,49.5,48.1,48.4,11,8414,415576.6
9/3/14,50.4,50.5,47.7,50,10,6185,311565
9/2/14,51.5,51.5,50,50,6,4850,244725
9/1/14,52,52,52,52,11,2535,131820
8/29/14,44,52.8,44,50.1,44,18903,947195
8/28/14,41,49,41,45.8,56,37259,1630871.9
8/27/14,39.6,43.8,39.6,42,22,17870,747540
8/26/14,40,40,39.6,39.6,2,2300,91960
8/22/14,42,42,42,42,2,2500,105000
8/21/14,40.7,42,40.7,42,20,4200,174758.5
8/20/14,38,39,38,39,14,35625,1378808.6
8/15/14,39.9,40,38,38,9,3573,137584.1
8/14/14,38.8,38.8,37.9,37.9,20,18100,688574
8/13/14,40,40,40,40,2,7515,300600
8/11/14,40.2,40.2,40,40.2,3,500,20080
8/8/14,40,41.8,39.9,40,7,5676,226981.3
8/7/14,40.1,41.9,40,40.1,6,1007,40351.9
