Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
1/4/16,25,25,25,24,1,1,25
12/31/15,25,25,24,24,18,11513,276313
12/30/15,24.3,25.2,23.8,24,17,10969,265038.9
12/29/15,25,25,25,25,3,2575,64375
12/23/15,24.3,25.1,24.3,25.1,14,3809,95255.3
12/22/15,24.5,24.7,24.5,24.7,9,2686,66007
12/21/15,25,25.2,24.7,24.7,5,2015,49964.5
12/18/15,24.3,25.2,24.3,24.6,8,1622,39909.8
12/17/15,24.1,25.3,24,24.2,20,1790,44385.7
12/16/15,24.1,25,24.1,24.6,16,4818,118520.3
12/15/15,24.8,25,23.5,24,13,1653,39695.9
12/14/15,25,25,24,24.7,16,2461,59549.4
12/11/15,24.5,24.6,24.5,24.6,3,610,14956
12/10/15,24.5,25.5,24.4,25.4,9,3475,87530
12/9/15,25,25,24.9,25,6,1755,43874
12/8/15,25.4,25.5,25,25.3,18,4524,114392.1
12/7/15,26.4,26.4,26.4,26.4,2,200,5280
12/4/15,26.2,26.2,26,26,9,1049,27359
12/3/15,27.5,27.9,25,25.1,23,20828,522694.9
12/2/15,26.6,26.6,26.6,26.6,3,1500,39900
12/1/15,25.9,27.8,25.9,26.9,4,326,8782.8
11/30/15,26.6,26.6,26.5,26.5,5,2700,71553.9
11/27/15,26.7,28,26.6,28,11,6103,170093.7
11/26/15,27.5,28,27.2,27.7,18,7770,215524
11/23/15,28.8,29.9,28.2,28.2,42,32861,967127.4
11/20/15,28.5,28.5,28.5,28.5,5,3100,88350
11/19/15,27.5,29,27.5,28.9,31,13466,373915
11/18/15,29,29,29,28.1,1,10,290
11/17/15,28,28,28,28.1,1,1,28
11/16/15,29,29,28.1,28.1,9,7834,220160.6
11/13/15,29.1,29.5,29,29,5,2298,66852.2
11/12/15,29.1,29.1,29,29,4,5000,145050
11/11/15,29.1,29.1,29,29.1,6,1652,47955
11/9/15,30,30,30,30,2,225,6750
11/6/15,29.3,29.3,29,29,4,2500,72556
11/5/15,30,30,30,30,1,550,16500
11/4/15,28.9,30,28.8,29.3,4,16790,492555.5
11/3/15,30.4,30.4,28.8,29.1,19,6901,201192
11/2/15,29.2,30.4,29.1,29.3,4,600,17600
10/30/15,29,29,29,29,11,8262,239598
10/29/15,30.8,30.8,29.2,29.4,29,25477,765462.3
10/28/15,30,30.8,29.8,30,12,1605,47970.8
10/26/15,31,31,29.7,29.8,19,6100,183882
10/23/15,29.5,31,29.5,30.3,78,48110,1445658
10/22/15,29.5,29.5,29,29.5,5,2316,67816
10/21/15,30,30,28.6,29.9,14,27940,818523.1
10/20/15,30,30,28,28.8,18,21370,616105
10/19/15,30,30,29.7,29.7,15,5711,170970
10/16/15,30.9,30.9,29.7,29.7,11,5322,159596.7
10/15/15,30.9,30.9,29.9,30.1,8,9734,292620.8
10/14/15,30.9,30.9,29.8,29.8,17,10270,307181.9
10/13/15,31.1,31.1,30,30.2,22,18325,555070.4
10/12/15,31.5,31.5,30,30.1,40,25504,767704.3
10/9/15,31.7,31.7,30.3,30.9,33,15613,481112.7
10/8/15,31.8,31.8,30,30.1,30,29033,871962.2
10/7/15,31.6,31.6,30,30.1,84,62042,1880486.6
10/6/15,32.4,32.4,31.2,31.6,5,20,646.8
10/5/15,33.6,34.5,31,31.6,82,24033,777477
10/2/15,30.9,34.8,30.9,33,93,33661,1102371.2
10/1/15,30.5,30.5,30.5,30.5,3,131,3995.5
9/30/15,31,31.5,29.9,30,40,36955,1117254.9
9/29/15,31.7,31.7,30,30.9,50,41865,1268603.3
9/28/15,34,34,32,32,14,4113,131918.3
9/25/15,33.5,36.5,33,33,22,15852,527143.5
9/23/15,33.6,33.6,33.5,33.5,13,14557,487665
9/22/15,34,34,33.9,33.9,6,1232,41864.9
9/21/15,34,34,34,34,7,3324,113016
9/18/15,37,37,34,34.2,12,1252,42744.3
9/17/15,37.7,37.7,34.1,34.2,9,2503,85589.4
9/16/15,34.1,34.3,34.1,34.2,4,2230,76148
9/15/15,35.8,35.8,34.2,35,13,1625,56867.2
9/14/15,35,35.8,35,35.7,7,616,22041
9/11/15,35,35.6,35,35.2,22,18203,637346.2
