Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,130,131,126,130,192,119939,15549262.5
10/12/23,125,130,123,129.25,207,68319,8662514.5
10/11/23,124,126,124,124.25,222,469830,58641359.5
10/10/23,124.5,129,124.5,124.75,251,78924,9973942.75
10/9/23,130,130,122.5,125,637,344685,43104687.25
10/6/23,130,130.75,129.5,130,173,87607,11389762.25
10/5/23,132,132.75,129.25,130,367,127345,16598617.5
10/4/23,130,135,130,132,130,23622,3118585.5
10/3/23,135,135,130,131.5,355,172562,22877418
10/2/23,135.5,136.75,134.25,134.75,222,54536,7362823
9/27/23,135,137,135,136,121,35886,4885543.75
9/26/23,135.25,138,135,135.25,277,177391,24122738.25
9/25/23,140,140,136,136.5,165,36407,5001395.5
9/22/23,138.5,140,138,139.5,116,87157,12143169.75
9/21/23,138.25,140,137,137.5,130,56683,7817870.75
9/20/23,139.5,142.25,138,138.25,228,163526,22875624
9/19/23,141,141.75,139.25,139.75,138,126945,17866270.75
9/18/23,141.75,141.75,139.5,140.25,139,290730,40902310.5
9/15/23,141.5,144.5,140.25,141.75,199,310637,44071378.75
9/14/23,139.25,142,139,141.5,150,202551,28419504.75
9/13/23,138.5,140.25,138.5,139,97,134375,18748483.75
9/12/23,139,140.25,138,140,157,134499,18690776.25
9/11/23,142.5,142.5,138.5,139.75,156,107112,14981867
9/8/23,138,142.75,138,141.75,191,125581,17681230
9/7/23,140,140,138,138.25,124,58365,8096800
9/6/23,140,140,138,138.75,167,153968,21363568.75
9/5/23,141,141,139,139.5,168,130647,18263764
9/4/23,139,142,136.5,140.25,322,257445,35833382.5
9/1/23,137.75,139.25,137.5,138,131,24868,3437306.25
8/31/23,137,139.75,136.25,138,200,82428,11325403.5
8/29/23,136.5,137.5,135.75,136.25,211,95674,13031421
8/28/23,138.75,139,136,136.25,388,133719,18282831.75
8/25/23,138.75,140,138,138.25,333,152593,21167437.75
8/24/23,141,143.75,138.75,139.25,276,147278,20616357
8/23/23,139,142.5,139,140.25,236,131530,18489182.25
8/22/23,141.75,142,139,140,434,323189,45249182
8/21/23,146,146.5,140.75,142.5,387,211938,30527351
8/18/23,147.5,149.75,146,146.75,246,346553,50814194.25
8/17/23,146,150.5,146,148.75,386,385107,57245258.5
8/16/23,144.5,147,144.5,145.75,266,1287181,187464229.3
8/15/23,145.5,146.5,144,145,231,1166579,169378384
8/14/23,146.75,147,144.5,145.5,272,515483,75086974.5
8/11/23,146.5,148,145,146.75,184,261254,38361585
8/10/23,146.25,148.5,145,146,266,190626,28030803
8/9/23,147,147.5,144.25,146,253,213736,31128630.25
8/8/23,146.5,148.75,145,147.5,336,215581,31792211.25
8/7/23,151.75,152,146.75,147.25,444,506387,75912195.25
8/4/23,152.25,153,150.5,151.75,444,820716,124553948.8
8/3/23,148,152.25,146.25,150.75,882,1953077,293168233.3
8/2/23,152,154.75,147.75,148.25,1237,890131,134824554.5
7/31/23,136,151.25,134.25,149.5,2343,2648224,382953504
7/28/23,142.25,145,137,139.75,995,1577165,222774587.3
7/27/23,143,145,141.75,143.25,386,784123,112029235.8
7/26/23,146,146,142,142.75,323,131558,18816130.75
7/25/23,145,146.5,140,145,456,209060,30097121.25
7/24/23,147,147,143,144.75,349,144497,20989059
7/21/23,147,148.5,146,147,433,270425,39790942.75
7/20/23,143,147.25,143,146.25,910,937300,136523643.8
7/19/23,141.25,142,137,138.25,1014,429530,59757266.5
7/18/23,145.5,145.5,141,141.75,430,146646,20921904.25
7/17/23,144.75,146.5,143,145,449,322675,46784361.5
7/14/23,142,146,141,144.75,605,467479,67335696
7/13/23,142,142,140,140.75,562,641856,90355181
7/12/23,141.75,144,140.5,140.75,627,432623,61150310.25
7/11/23,142,143.5,140.25,141.25,426,239335,33758838.5
7/10/23,143.5,145.75,140.5,141.25,541,271455,38498184.25
7/7/23,145,146,141,143.25,607,279828,39865625.75
7/6/23,146.75,149.75,144.5,145.25,590,309657,45259557
7/5/23,143.5,150.75,143.5,146.75,1337,3303070,474058563.8
7/4/23,135.5,144,133.5,142.75,1097,763126,105088050.8
6/28/23,133.75,133.75,131,132,272,122450,16178704
6/27/23,133,134,131.75,132,315,321680,42502962.25
6/26/23,135,135,131.25,133,347,113489,15068196.25
6/23/23,135.5,136.75,134.75,135,329,207943,28209350
6/22/23,131,136.5,131,135.25,531,6387025,848405741.5
6/21/23,134.5,134.5,130.75,131,401,146882,19281536.25
6/20/23,133,133.5,131,132,251,261118,34538731.5
6/19/23,135.25,136.5,130.25,132,239,89304,11842656.75
6/16/23,136,138,135,135.25,231,92595,12539047.75
6/15/23,139,139,136.5,136.75,240,103430,14277796.75
6/14/23,137,140.25,135,138,487,258924,35990293.75
6/13/23,132.75,138.25,132.25,136.5,603,249279,33984506.5
6/12/23,129.25,132,127.75,131.25,610,224947,29214062.75
6/9/23,130.5,131,129.25,129.75,341,173091,22475349.5
6/8/23,130.5,131.5,128.75,130.25,333,112038,14582262.25
6/7/23,131.25,133,130,130.5,459,380368,49795175.5
