Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,151.25,160,151.25,159,58,16353,2581998.75
10/12/23,150,154,150,153.75,89,148956,22591906
10/11/23,154,154,150,150,67,53474,8048135.25
10/10/23,153.75,157,153,154,44,16868,2602106.5
10/9/23,161,161,153,155,96,57949,9023763.5
10/6/23,160.5,160.5,159,159.75,23,23229,3715230
10/5/23,161,165,160,161,30,16252,2649037
10/4/23,160,164,155,163.75,56,30646,4881533.25
10/3/23,165,165,158,160.5,63,23838,3861480.75
10/2/23,166.5,166.5,160,162.75,73,41563,6746213.5
9/27/23,167,167.5,165,165.5,43,142852,23762072.25
9/26/23,163.25,167,162.75,167,56,34706,5725713.5
9/25/23,165.75,166,163.5,163.75,53,39796,6531323.25
9/22/23,162,166,162,164.75,69,40509,6672499.5
9/21/23,163.5,164.5,162,162.5,58,25794,4198625.25
9/20/23,163.5,166.25,163.5,165.25,83,57111,9412210.75
9/19/23,165.75,166.5,162.5,163,76,25679,4216292.25
9/18/23,169.5,169.5,165.75,166.75,95,35007,5892421
9/15/23,171.5,172.75,170,170,54,40474,6904711.25
9/14/23,172,175,170,171.5,105,113876,19666073.5
9/13/23,174,174.25,172,172.75,59,32701,5673536.5
9/12/23,173,175,173,174,173,196534,34278595.25
9/11/23,176,176,173,173.75,216,188740,32837446.5
9/8/23,177,177,172.5,176,170,129113,22681353.5
9/7/23,169.75,177,168.5,175,509,558943,96821262.25
9/6/23,171.25,171.5,167,169.5,249,366488,61813814.5
9/5/23,164,171.75,164,171.25,343,202136,34367399
9/4/23,166,166,157.5,163.5,220,146710,23978065.25
9/1/23,170,170,164,166.75,284,136728,22658901.25
8/31/23,170.25,172,168,170.25,241,96705,16440795
8/29/23,166,174.5,166,170.5,717,1110070,189709707.3
8/28/23,172,173,165,165.5,684,515879,86695873.5
8/25/23,154,172,154,169.75,1320,1349441,219902124.5
8/24/23,145.5,154.75,144,153.25,641,487619,74299220.75
8/23/23,130.5,147,130.5,144,438,670323,95329819.75
8/22/23,135.25,136,132,134.75,147,78618,10529407.75
8/21/23,138,140,134.5,136.75,235,335350,46499568.25
8/18/23,135,140,131.5,139.25,390,368439,50386387
8/17/23,132.5,135.5,129,134.75,258,359958,47493233.25
8/16/23,129.75,133,128,132.5,265,234751,30751605.75
8/15/23,127.25,132,127.25,129.25,187,139880,18124755
8/14/23,125.5,132,125.5,129,382,186973,24109076.75
8/11/23,120,126.75,119,125,840,618299,75616191
8/10/23,104.75,108,104,107,62,16537,1752431.75
8/9/23,104.25,105,102.5,104,14,2915,300914.25
8/8/23,102.5,105.25,102.25,105,34,11109,1149874
8/7/23,102.5,104.75,101,104,41,24370,2489667
8/4/23,107,107,104.5,105,19,7563,795726.75
8/3/23,105,107.5,105,106,49,109761,11640787.25
8/2/23,107.75,107.75,105,105,22,8307,872341.5
7/31/23,105,107,105,107,32,19132,2043336.5
7/28/23,110,110,106,106.5,44,11125,1209809.5
7/27/23,101.5,110,101.5,105.5,93,47675,4981825.5
7/26/23,101.5,104,101.5,101.5,11,53151,5394831.5
7/25/23,101.25,104,100,101.5,51,20787,2106902.75
7/24/23,103,103,101,101,27,10938,1106153.25
7/21/23,100.25,102,100,101.5,36,55052,5559829.25
7/20/23,102.5,102.5,100,101.25,52,141705,14193100
7/19/23,101,102,100.5,101,17,2460,248034.25
7/18/23,103.25,103.25,100.5,101.5,44,41930,4289269.75
7/17/23,104.75,104.75,102.25,102.5,42,13499,1403235.25
7/14/23,100,103.25,100,102.75,43,27187,2794174.5
7/13/23,102.5,104.5,100,100,45,22457,2270421.5
7/12/23,98,104.5,97.8,104,110,52326,5363428.05
7/11/23,101.75,101.75,98.1,98.7,38,10351,1037185.95
7/10/23,101.5,102,100.5,101.75,19,2066,209517
7/7/23,100,103.25,98.1,100.25,128,797069,79808207.95
7/6/23,94,98,94,97,73,27982,2663183.5
7/5/23,91.6,94.5,91.6,93.9,32,7877,738618.1
7/4/23,91.2,93.6,91.1,92,33,34720,3186141.3
6/28/23,92,92,91,91.2,14,6912,631953.7
6/27/23,91.1,91.5,89.6,91,19,18347,1668779.9
6/26/23,91.2,91.5,89.5,91,23,24998,2275253.6
6/23/23,90.4,91.4,90.4,91.4,14,17825,1622115
6/22/23,89.5,89.5,89.5,89.5,2,200,17900
6/21/23,91.5,92,88.7,90.5,10,4460,407439.5
6/20/23,91.5,91.5,91.1,91.1,22,17706,1613044
6/19/23,91.1,91.6,91.1,91.1,18,13991,1274748.1
6/16/23,91.1,93,91.1,91.1,9,6187,563692.8
6/15/23,91.5,93.1,91,93,57,62326,5785865.2
6/14/23,91.1,92,91,91.9,10,2380,217113.8
6/13/23,93,93,90,91.4,35,21811,1985642.6
6/12/23,89.9,91.9,89,90.7,52,41298,3734637.9
6/9/23,88.1,88.9,88.1,88.6,14,8745,773997.5
6/8/23,88,88,88,88,2,440,38720
6/7/23,88,88,88,88,4,794,69872
6/6/23,88,88.9,87.2,88,6,1883,165512.2
6/5/23,88.9,88.9,87,87,33,30412,2656728.2
6/2/23,88.2,89.9,88,88.1,36,13646,1202045.7
6/1/23,89,89.5,88.2,88.2,17,2190,194174.6
5/31/23,89,89,88.8,88.9,4,1115,99222
5/30/23,88.5,88.5,87.6,88.4,37,77655,6844344.4
5/29/23,88.7,88.9,87.6,88.2,56,72664,6404207.5
5/26/23,89,89.9,88.7,89.1,19,2075,184881.6
5/25/23,88.7,89,88,88.9,39,24446,2169184.8
5/24/23,86.9,89,85.9,88.1,79,120769,10620753.2
5/23/23,85.8,86,85.8,85.9,16,13529,1161145.8
5/22/23,85.3,87.4,85.3,85.4,37,25657,2191585.5
5/19/23,86.1,87.6,85.2,85.5,31,51897,4428347.9
5/18/23,85.8,88.8,85.2,87.9,32,30832,2653715.8
5/17/23,85.3,85.3,85.1,85.1,30,39240,3340462.6
5/16/23,85.3,86.8,85.1,85.7,45,34488,2939061
5/15/23,85,86,85,85.1,29,21035,1788560.8
5/12/23,84.7,86,84.7,85.9,12,1760,149747.5
5/11/23,84.2,86.4,84.2,84.7,11,4793,405327.3
5/10/23,84.6,86.5,84.4,84.5,36,21472,1815814
5/9/23,89.2,89.3,84.1,85.1,158,149662,12730539.1
5/8/23,89.1,89.2,88,88.6,30,10371,922256.5
5/4/23,89,89.1,88.9,89,8,4080,363072
5/3/23,87.7,88,87,88,39,24573,2146636.3
5/2/23,88,88.5,87.5,87.9,37,3982,350823.4
4/28/23,90,90,88,89.8,29,6699,595106.4
4/27/23,88.6,90.5,85,90,108,136175,11978318
4/26/23,90,90,89,89,66,33603,3000892.5
4/25/23,89.9,89.9,89.3,89.3,24,9548,852857.4
4/24/23,90.4,91,89.4,90,43,5618,504586.6
4/21/23,89.5,91,89.5,90.8,28,13500,1222078
4/20/23,89.3,91,89.3,91,41,13072,1187154.7
4/19/23,90.9,91,88.5,90.8,75,28214,2559513.9
4/18/23,90,90.9,88,90.2,34,19231,1725661.5
4/17/23,91,91,89,90,26,6235,559568.9
4/12/23,86.9,92,86.5,90,103,153409,13534582.9
4/11/23,85.7,86.9,85.7,86.3,19,8901,766137.5
4/10/23,84.1,86.4,84,85.9,38,25579,2178109.9
4/6/23,84,85,83.9,84.1,32,15406,1299987.5
4/4/23,85.5,85.5,84,85,15,49954,4242716.5
4/3/23,86,86.4,85.5,86,6,360,30971
3/31/23,84.8,87.6,83.7,83.9,68,10205,859179.3
3/30/23,86.1,86.1,84.8,84.8,14,4139,351089.7
3/29/23,86,87.8,84.8,85,15,2088,177743.3
3/28/23,85,87.9,83.7,86,22,4621,393919.8
3/27/23,85.1,87.9,84.6,87.9,27,6928,594664.3
3/24/23,85.9,88.8,85,85,35,10982,933873.6
3/23/23,86.9,86.9,86,86.2,37,16203,1396118.7
3/22/23,88.9,88.9,87,88,52,6841,602185.8
3/21/23,88,88.9,88,88,31,12878,1133626.1
3/20/23,87.9,88.2,86.5,88,70,101319,8915472.2
3/17/23,86.5,87.3,86,86.6,23,13072,1125441.7
3/16/23,88,88,86,87.1,13,8525,749610.8
3/15/23,88.8,89,86,88.1,34,28089,2461597.2
3/14/23,88.6,89,86.6,87.8,40,29565,2611793.4
3/13/23,87.6,88,85.6,87.8,22,5024,440213.2
3/10/23,87.7,89,87.7,88.7,32,23859,2110894.9
3/9/23,87.7,88,85,87.3,50,28570,2443422
3/8/23,89,90.5,87.5,87.7,105,117805,10520094.9
