Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/13/11,48.9,55,43,43.9,424,274800,13331910
5/12/11,39.5,48,39,44.3,343,201400,8502710
5/11/11,41,41,36.5,38.5,153,100000,3757650
5/10/11,42.5,42.7,39,40.4,86,30900,1251370
5/9/11,42,43.9,40.2,40.8,127,37700,1558940
5/6/11,44.1,44.1,41,41.2,99,71800,3006100
5/5/11,43.4,45,41.2,43.9,211,169700,7384850
5/4/11,48,48,40,41.9,150,117700,4985890
5/3/11,57,58.4,45.5,47.4,193,263000,13149200
4/29/11,65.5,65.5,56,56.8,159,101900,6052110
4/28/11,67.4,67.4,60.9,62.1,5,5200,323980
4/27/11,67,68,66,66.1,15,7900,527830
4/26/11,67,67.5,67,67.4,17,11900,802420
4/25/11,67.5,67.5,66,66,5,600,40060
4/21/11,68,68.5,67.7,67.9,8,7400,503860
4/20/11,69,69,66,66.2,36,29600,1960920
4/19/11,68,68,67,68,8,3500,237200
4/18/11,71.5,71.5,69.1,69.3,19,19700,1369310
4/12/11,71.5,72,69,71.8,18,5200,370970
4/11/11,72,72,70,71,25,19100,1358890
4/8/11,72,72,72,72,5,3000,216000
4/7/11,71,72.5,70,72.1,11,4000,287070
4/6/11,70,70.2,70,70.1,9,4400,308440
4/5/11,70,70,70,70,2,1100,77000
4/4/11,69.1,72.9,69,69.1,19,15900,1110420
4/1/11,70,73.9,70,71.1,34,11600,819570
3/31/11,70,70,69.9,69.9,6,3100,216800
3/30/11,75,75,66.5,66.9,50,10700,755470
3/29/11,69.8,70,69.8,69.9,33,4400,307320
3/28/11,68,68,68,68,1,200,13600
3/25/11,68,70,66.5,66.5,16,6800,468410
3/24/11,68.5,68.5,67,67.3,10,4200,286130
3/23/11,68.7,68.7,68,68,5,5300,360530
3/22/11,65.7,68.3,65,67.2,7,3700,244450
3/21/11,65,65.5,65,65.1,6,5400,351500
3/18/11,70,70,67.5,67.5,7,16500,1123250
3/17/11,70.5,70.5,70,70.4,2,800,56350
3/16/11,70.5,70.5,70,70,8,4000,281380
3/15/11,71.1,74.4,70,70.2,9,2500,175710
3/14/11,70,70,69,70,8,3300,229600
3/11/11,71.1,71.1,70,70.5,5,4800,338500
3/10/11,77,77,71.5,72.2,3,800,57750
3/9/11,72,78,70.2,71,10,6200,441100
3/8/11,73.5,74,70.3,70.5,15,16100,1170600
3/7/11,74,74,72,72.9,7,3600,263500
3/4/11,74,76.5,74,75.3,6,1600,120490
3/3/11,73.6,78,73.5,73.7,17,11600,860950
3/1/11,80,87,76.5,76.7,27,34800,2927290
2/28/11,81,81,75.1,75.6,7,16100,1229680
2/25/11,82,88,78,79.4,61,52100,4257020
2/24/11,72,80,72,77.1,43,20900,1568480
2/23/11,70,70,70,70,2,1000,70000
2/22/11,70,70,69.1,69.3,5,13400,929000
2/21/11,74.9,76,69,70.6,19,18600,1333450
2/18/11,70,70,70,70,7,2900,203000
2/15/11,72,72,68,68.9,17,13500,933400
2/14/11,70.1,73,70.1,72.1,6,11100,797550
2/11/11,73,73,70,72,32,45700,3248320
2/10/11,80,81,72,72.3,31,42300,3182420
2/9/11,72.2,72.5,72.2,72.3,4,2100,151920
2/8/11,77,83,75,75,9,2100,158700
2/7/11,84.5,84.5,78.5,78.6,10,3900,320010
2/3/11,81,81,78.5,79.4,3,2500,198500
2/2/11,74,83,74,80,12,21000,1688500
2/1/11,78,78,78,78,1,100,7800
1/31/11,85,85,80,81.8,10,10600,872050
1/28/11,83,88.5,82.5,82.7,28,24600,2094880
1/27/11,83,85,75.2,76.6,24,16800,1374830
1/26/11,88.1,88.9,83,84,48,30200,2608630
1/25/11,90,100,88.5,88.9,71,38000,3497520
1/21/11,105,107,91.1,98.4,76,104800,10403300
1/20/11,95,104,95,103.2,167,182700,18361900
1/18/11,90,97.9,86.5,91,23,16100,1493720
1/17/11,94.9,95,85,85.6,14,22100,2058580
1/14/11,98,99.9,90,92.2,39,46900,4503440
1/13/11,90,97.9,86.4,96.9,95,75000,7002490
1/12/11,90,90,85,86.4,45,36600,3227810
1/11/11,80,83,80,82,13,9000,729900
1/10/11,90,90,84.9,85.7,40,34300,3052740
1/7/11,72.8,85.5,70.1,84.6,125,159900,12976470
1/6/11,70.9,71.9,70.9,71.1,14,10400,738650
1/5/11,70.1,72,70,70,9,7100,501110
1/4/11,70.1,73.9,68,70.1,20,13900,969980
12/31/10,72,73.9,70.3,72.4,40,71700,5207760
12/30/10,75,75,70.1,71,8,26400,1900020
12/29/10,75,75,72,72,9,9100,675400
12/28/10,73,75.5,73,73.7,50,45300,3376410
12/27/10,70,72.9,70,72.3,30,39700,2819590
12/24/10,71,71,69,69.8,7,4300,302810
12/23/10,69.9,71,69,70.2,13,15200,1064100
12/22/10,69.1,69.1,66.1,67,9,5200,356910
12/21/10,69,69,69,69,2,500,34500
12/17/10,68,68,66.5,66.9,5,3400,228650
12/16/10,65.2,65.4,65,65.1,11,12000,781020
12/13/10,70,70,70,70,2,3600,252000
12/10/10,72,72,69,69.1,5,2800,194400
12/9/10,65,71.9,65,70.3,20,15500,1085910
12/7/10,66,66,65,65.1,8,2900,189260
12/6/10,65,70,64,65,7,9900,648600
12/3/10,70,70,69,70,7,4600,320000
12/2/10,70,72,66.1,71.9,13,6900,493330
12/1/10,74.9,75,71.1,71.1,19,13900,1011930
11/30/10,67.5,73,67.5,70.1,32,31200,2240490
11/29/10,69.8,72,66,66,44,60900,4277520
11/26/10,67,67,62.7,65.8,24,19700,1296080
11/25/10,65,65,61,61.2,11,18700,1163020
11/24/10,67.5,67.5,67.5,67.5,1,100,6750
11/23/10,60.7,60.7,60.6,60.6,2,2000,121210
11/22/10,70,70,66.1,66.1,56,58000,4055800
11/18/10,67,69.8,65.5,65.5,5,2600,176700
11/16/10,60,60,59.3,59.3,2,1100,65930
11/15/10,63.6,65,63.6,65,2,1300,83100
11/12/10,70,70,64.1,66.3,3,3200,223040
11/11/10,69,69.4,69,69.1,2,2500,172700
11/10/10,68,69,68,68.9,9,8700,597800
11/9/10,68,70,68,69.4,9,7900,546800
11/8/10,70,70.9,70,70.6,17,12000,840230
11/4/10,69.1,71,69,70,17,22600,1578030
11/3/10,70,73,70,72.2,16,9300,668000
11/2/10,73,73,70,72.1,28,39600,2818440
11/1/10,75,78.2,72.5,73,67,71600,5411310
10/29/10,67.7,71.9,67.7,70.2,75,99400,6977830
10/28/10,62,66,55.1,64,34,24700,1578070
10/27/10,55.3,62,54,62,6,7300,406040
10/26/10,61,61,55.5,55.5,3,3200,194100
10/21/10,65,65,61.1,61.2,3,7200,448100
10/20/10,67.9,67.9,64.5,64.8,29,30000,1954800
10/19/10,67.7,67.8,64,65.9,23,12300,808500
10/18/10,65,68.5,65,67.1,12,7000,471720
10/15/10,61,65.9,60.1,64.5,33,26900,1699000
10/14/10,65,65,58.1,59.4,5,1500,92050
10/13/10,60,62,51,62,24,26500,1578060
10/12/10,65,65,60.1,61.3,16,8300,515580
10/11/10,70,70,65,65.9,4,6400,421500
10/8/10,62,70,60,67.9,27,29200,1910500
10/7/10,62.5,68,62,62,8,5200,336400
10/6/10,60.6,68,60.5,67.2,15,7300,468780
10/5/10,65,70,65,65,13,4300,289540
10/4/10,65,71.9,63,64.3,36,28800,1959810
10/1/10,69,69.6,64,65.3,38,33800,2276410
9/30/10,71,72,69,70,77,71000,5001550
9/29/10,71.5,71.5,71,71.1,9,6800,483250
