Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/6/22,19.5,19.8,19.5,19.7,3,7679,151596.6
5/5/22,19.5,19.8,19.5,19.8,14,48585,957373
5/4/22,19,19.5,19,19.1,14,5695,108990
4/29/22,18.9,18.9,18.9,18.9,1,100,1890
4/28/22,19,19,18.8,19,4,5146,97558.4
4/27/22,18.5,18.9,18.5,18.7,3,250,4685
4/26/22,19,19,19,19,1,100,1900
4/25/22,19.5,19.5,19.5,19.5,1,150,2925
4/8/22,19.5,19.5,19.5,19.5,3,10600,206700
4/7/22,19.5,19.8,19.5,19.8,5,13283,260668.2
4/6/22,19.5,19.8,19.5,19.8,8,22106,437398.8
4/5/22,19.2,19.5,19.2,19.5,3,5355,102852
4/4/22,19.3,19.3,19.3,19.3,3,9127,176151.1
3/31/22,19.8,19.8,19.8,19.8,9,650000,12870000
3/30/22,19.2,19.8,19.2,19.7,8,20664,407524.8
3/29/22,19,19.3,19,19.3,8,68658,1310063.4
3/25/22,19,19,18.9,18.9,3,220,4160
3/23/22,18.8,18.8,18.8,18.8,1,500,9400
3/21/22,18.6,18.6,18.6,18.6,5,7822,145489.2
3/16/22,18.3,18.3,18.3,18.3,4,1500,27450
3/11/22,19.6,19.6,19.6,19.6,6,62343,1221922.8
3/10/22,19.8,19.8,19.8,19.6,1,10,198
3/9/22,18.7,19.8,18.7,19.6,5,18601,363958.7
3/8/22,18.5,19.9,18.5,19.9,17,225172,4477553.5
3/7/22,18.5,18.5,18.5,18.5,4,4803,88855.5
3/4/22,18.5,18.5,18.5,18.5,1,9,166.5
3/3/22,18.5,18.5,18.5,18.5,3,203,3755.5
3/2/22,19.5,19.6,19.5,19.6,9,1010,19785
2/25/22,18.2,18.2,18.2,18.2,1,150,2730
2/24/22,18,18.4,18,18.3,41,207043,3788754.5
2/23/22,19.5,19.7,17.5,18.9,29,193523,3703861.4
2/22/22,19.7,19.7,19.6,19.6,3,1080,21170
2/21/22,19.6,19.6,19.6,19.6,5,8083,158426.8
2/18/22,19.5,19.5,19.5,19.5,6,17903,349108.5
2/17/22,19.5,19.6,19.5,19.6,6,5266,102697
2/15/22,19.5,19.9,19.5,19.5,5,7421,144713.5
2/14/22,19.5,20,19.5,19.5,8,9137,178487
2/11/22,19.2,19.8,19.2,19.4,27,50343,981452.3
2/10/22,19.2,19.2,19,19.2,9,16806,320474.9
2/9/22,19,19,19,19,3,10000,190000
2/8/22,19.1,19.2,19.1,19.1,5,10600,202480
2/7/22,19.5,19.6,19,19.1,15,34810,664967
2/3/22,19,19,19,19,3,2000,38000
2/2/22,19.4,19.5,19,19.1,15,25627,491773.5
2/1/22,19.5,19.5,19.5,19.5,2,270,5265
1/31/22,19.1,19.4,19.1,19.1,3,31,592.4
1/28/22,19,19.3,19,19.1,12,22222,423447.3
1/27/22,19.2,19.4,19.2,19.2,12,22111,424653.2
1/26/22,19.2,19.2,19.2,19.2,8,4221,81043.2
1/25/22,19.5,19.5,19.1,19.1,14,40227,768336.1
1/24/22,19.5,19.5,19,19.1,13,56503,1077115.8
1/21/22,19.1,19.6,19.1,19.1,19,23976,458142.1
1/20/22,19.1,19.4,19,19.3,12,55120,1062597
1/19/22,19.4,19.4,19.4,19,2,11,213.4
1/18/22,19.3,19.4,18.9,19,20,49484,942998.8
1/13/22,19,19.1,19,19,5,417,7925.7
1/12/22,19,19.1,19,19,8,17767,337585.2
1/11/22,18.9,19,18.9,19,9,6200,117790
1/10/22,18.9,18.9,18.9,18.9,13,40938,773728.2
1/7/22,19,19,18.9,19,18,73641,1399019
1/6/22,18.9,19,18.9,19,17,84294,1600959.3
1/5/22,19,19,18.9,18.9,33,95256,1808482.9
1/4/22,18.9,19,18.9,18.9,20,47550,899950
1/3/22,18.8,19,18.8,19,17,10149,192773.1
12/31/21,19,19,18.7,18.8,12,13176,246909.8
12/30/21,18.8,19.1,18.8,18.9,7,170,3209.9
12/29/21,19,19.2,18.6,18.9,27,82784,1558655.9
12/28/21,19,19.3,18.9,19,60,116491,2214202.9
12/27/21,19.1,19.5,18.8,18.9,26,32772,622016.2
12/24/21,18.9,18.9,18.5,18.6,12,14700,273290
12/23/21,19,19.4,18.4,19.2,41,50729,940102.7
12/22/21,19.1,19.3,18.6,18.6,59,112052,2095086.1
12/21/21,19.4,19.4,18.1,18.6,130,224413,4165726.1
12/20/21,17.2,19.9,17.2,19.3,451,106844643,2145635386
12/17/21,17,17.1,16.9,17,11,17500,297499.6
12/16/21,16.8,17,16.8,17,8,63644,1081919.6
12/15/21,17,17,16.9,17,7,80160,1362605
12/14/21,17,17,16.9,17,8,18000,305600
12/13/21,17,17,17,17,1,2100,35700
12/10/21,17,17.3,16.6,17.1,10,21114,360109.4
12/9/21,17,17.2,17,17.1,22,19997,341059.2
12/8/21,17.5,17.7,15,17.5,41,28671,491192.9
12/7/21,17.3,17.8,17.1,17.7,19,15225,268653.7
12/6/21,17.1,17.1,17.1,17,1,41,701.1
12/3/21,17.1,17.1,16.9,17,3,7,119.5
12/2/21,16.8,17.3,16.8,17,15,6153,104618.5
12/1/21,17.1,17.1,16.1,16.1,6,8214,136616
11/30/21,17,17.3,16.8,16.8,15,16838,283628.9
11/29/21,17,17,17,17,1,1000,17000
11/26/21,17.7,17.7,17,17.4,3,8003,139053.1
11/25/21,16.2,17.8,16.2,17.7,15,31947,562089
11/24/21,17.2,17.7,16.9,16.9,9,5225,89986.6
11/23/21,16.2,17.2,16.2,17.2,12,6170,102244
11/22/21,17.3,17.3,17.3,17.3,5,2136,36952.8
11/19/21,17.4,17.4,17.3,17.3,6,3124,54047.2
11/17/21,17.3,17.4,17.3,17.3,10,3347,57953.1
11/16/21,16.5,17.9,15,17.1,28,6697,113971.3
11/15/21,16,17.9,15,17,17,766,12987.4
11/12/21,17.7,17.8,16.4,17.1,15,38544,659485.7
11/11/21,17.9,18,17.3,17.3,5,6210,107689.6
11/10/21,17.5,18.3,17.2,17.8,23,35317,637760.6
11/9/21,17.7,18.4,17.1,17.4,33,38719,677333.2
11/8/21,16.4,18,15.6,17.1,54,44258,731394.4
11/5/21,16.3,16.4,16.3,16.4,23,7701,126196.4
11/3/21,16.3,16.4,16.3,16.4,9,305,5001
11/2/21,16,16.3,16,16.3,13,6718,109053.1
11/1/21,15.1,16.4,15.1,15.9,40,73683,1174948.2
10/29/21,15.5,15.9,14.9,15.8,30,23235,357762
10/28/21,15.8,15.8,15.2,15.7,14,40101,627595.8
10/27/21,15.6,15.9,15.4,15.8,19,12261,193373.4
10/26/21,15.5,15.8,15,15.5,39,48254,750173.5
10/25/21,15.3,15.5,15.3,15.4,15,22834,351376.6
10/22/21,15.1,15.3,14.6,15.3,25,12255,186615.8
10/21/21,14.2,15.4,14.2,14.9,14,28383,423879.2
10/15/21,14.6,14.7,14.6,14.7,10,12375,181392.5
10/14/21,14.5,14.8,14.5,14.5,6,15795,229029
10/13/21,14.6,14.8,14.5,14.5,16,6509,94720
10/12/21,14.6,14.6,14.5,14.6,4,3994,58312.3
10/11/21,14.6,14.6,14.5,14.6,7,1011,14760.3
10/8/21,14,14,14,14,2,2,28
10/7/21,14.3,14.7,14,14,15,30520,434306.5
10/6/21,14.5,14.6,14.3,14.6,14,56540,822830
10/5/21,14.3,14.6,14.3,14.4,19,42300,609764.9
10/4/21,14.1,14.5,14,14.1,3,3624,50922.4
10/1/21,14.3,14.5,13.7,14,11,15797,220339.7
9/30/21,13.8,14.3,13.8,14.3,12,39241,554952.3
9/29/21,14.3,14.6,13.5,14.2,19,27999,396473.5
9/28/21,14.3,14.6,14,14.1,31,15940,225810.6
9/27/21,13.8,14.6,13.8,14.6,13,5825,83899.9
9/24/21,14.5,14.5,14,14.4,16,9383,131916.5
9/23/21,14.5,14.9,14.2,14.2,18,13189,190240.5
9/22/21,14.5,14.5,13.8,14.2,21,6377,89373
9/21/21,13.8,15.5,13.8,14.2,136,228632,3332444
9/17/21,13.5,13.9,13.5,13.8,3,5484,74315.5
9/16/21,13.5,13.5,13.1,13.5,11,2589,34110.1
9/15/21,13.5,13.9,13.5,13.8,5,5293,71565.5
9/14/21,13.7,13.8,13.2,13.4,18,12412,167574.4
9/13/21,13.7,13.7,13.1,13.1,6,4760,62527
9/10/21,13.2,13.7,13.2,13.6,4,3314,44951.8
9/9/21,13.7,13.7,13.1,13.3,10,9570,129309
9/8/21,13.6,13.6,13.1,13.1,8,1410,18561
9/7/21,13.1,13.5,13.1,13.4,6,410,5492
9/6/21,13.9,13.9,12.8,13.2,15,12495,165052.5
9/3/21,13.7,13.7,13.1,13.7,56,62975,835019
9/2/21,16,16,12.8,13.5,42,32345,467281.9
9/1/21,13.6,16.5,13.6,16.1,180,210020,3164814.6
8/31/21,13.2,13.9,13.2,13.6,87,84625,1151045.1
8/30/21,12.6,13.4,12.5,12.6,25,25502,334494.7
8/27/21,12.7,12.7,12.6,12.6,5,2543,32044.1
8/26/21,12.8,12.8,11,11.9,28,26098,310650
8/25/21,12.5,12.8,12.5,13,2,11,140.5
8/24/21,13.1,13.1,13,13,4,324,4214.3
8/23/21,12.8,13.5,12.7,12.7,16,12020,154509.5
8/20/21,12,12.9,12,12.6,25,109160,1312864.1
8/19/21,12,12.6,12,12.4,6,236,2898.6
8/18/21,12.8,12.8,11.4,11.9,25,3695,43703.9
8/17/21,12.9,12.9,12.9,12.3,2,3,38.7
8/16/21,11.9,11.9,11.9,12.3,1,6,71.4
8/13/21,12.6,12.6,12.1,12.3,3,357,4377.2
8/12/21,12.5,12.6,12,12.6,4,2077,25092
8/11/21,12.5,12.5,12.5,12,1,4,50
8/10/21,12.4,12.4,12,12,9,4037,48853.5
8/9/21,12,12.4,12,12.1,3,115,1386
8/6/21,12.1,12.1,12.1,12.2,1,20,242
8/5/21,12.3,12.4,12.2,12.2,3,105,1281.9
8/4/21,12.4,12.4,12.2,12.2,7,726,8870.9
8/3/21,12.4,12.4,12.4,12.4,4,226,2802.4
8/2/21,12.5,12.5,12.4,12.4,6,2301,28562.4
7/30/21,13.1,13.1,13.1,13.1,1,113,1480.3
7/29/21,12.8,13.2,12.6,13,21,31612,408814.7
7/28/21,12.5,12.7,12,12.7,10,6735,82650.8
7/27/21,12.3,12.6,12.2,12.2,5,1104,13472.4
7/26/21,12,12.6,12,12.2,9,187,2288.5
7/22/21,12.5,12.7,11.9,12.1,29,19860,242744.7
7/20/21,13,13,12.8,12.7,3,22,285
7/19/21,12.7,13,12.7,12.7,7,3865,49113.5
7/16/21,12.6,13,12.4,12.7,13,4812,60782.6
7/15/21,12.6,12.6,12.6,12.6,3,226,2847.6
7/14/21,12.4,12.6,12.3,12.3,11,2890,36171.5
7/13/21,12.7,12.7,12.7,12.7,2,11,139.7
7/12/21,12.7,12.7,12.7,12.7,3,13,165.1
7/9/21,12.7,12.7,12.7,12.7,12,153,1943.1
7/8/21,12.8,12.8,12.8,12.7,1,4,51.2
7/7/21,12.7,12.7,12.7,12.7,5,1383,17564.1
7/6/21,12.3,12.3,12.1,12.1,2,1000,12100.2
7/5/21,12,12.8,12,12.2,8,3863,47093.8
7/2/21,10,12.9,10,12.7,9,2110,26628.2
7/1/21,12.5,12.5,12.5,12.5,2,36,450
6/30/21,12.5,12.6,12.5,12.5,6,1984,24801.9
6/29/21,12.6,12.6,12.6,12.6,1,23,289.8
6/25/21,12.6,13,12.6,12.6,3,106,1336
6/23/21,12.5,13,12.5,12.7,3,63,790.5
6/22/21,12.7,13.2,12.7,12.7,7,2108,26775.3
6/21/21,12.7,12.7,12.7,12.2,1,5,63.5
6/18/21,12.4,12.4,12.2,12.2,7,206,2514.4
6/17/21,12.6,12.6,12.6,12.1,1,1,12.6
6/16/21,12.6,12.6,12.1,12.1,16,2098,25406.2
6/15/21,12.2,12.6,12.2,12.6,3,486,6083.6
6/14/21,12.6,12.6,12.6,12.2,1,11,138.6
6/11/21,12.5,12.5,12,12.2,7,3150,38421.6
6/10/21,12.7,12.7,12.3,12.6,7,550,6927
6/9/21,12.7,12.7,12.5,12.5,11,4086,51137.5
6/8/21,13,13.3,12.7,13.1,22,10367,135020.5
6/7/21,12.5,12.7,12.2,12.6,14,4685,58788.3
6/4/21,12.5,12.6,12,12,10,6521,78345.1
