Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,12.5,12.5,12,12.2,23,24099,291565.1
10/12/23,12.2,12.3,12,12.1,40,42499,510992.3
10/11/23,12.5,12.5,12.1,12.1,44,38869,473715.4
10/10/23,12.3,12.5,12.2,12.3,19,12425,152408.1
10/9/23,12.3,12.3,12.2,12.2,43,70285,857477.8
10/6/23,12.3,12.4,12.3,12.3,3,502,6174.8
10/5/23,12.4,12.4,12.2,12.4,15,27021,330060.4
10/4/23,12.4,12.4,12.1,12.3,35,103315,1260472.8
10/3/23,12.6,12.6,12.2,12.2,33,28676,351197.6
10/2/23,12.3,12.7,12.2,12.5,35,63177,773134.4
9/27/23,12.7,12.7,12.3,12.3,28,30734,380104.6
9/26/23,12.7,12.7,12.3,12.4,12,3840,47741.2
9/25/23,12.4,12.8,12.1,12.5,36,50985,622234.1
9/22/23,12.6,13,12.2,12.3,43,196534,2409808.3
9/21/23,12.3,12.7,12.3,12.6,19,10053,127362.9
9/20/23,12.3,12.6,12.3,12.5,15,13683,170515.3
9/19/23,12.5,12.5,12.3,12.4,22,5271,65303.2
9/18/23,12.6,12.7,12.5,12.5,21,12259,153963.1
9/15/23,12.7,12.7,12.3,12.5,26,51873,640519.6
9/14/23,12.4,12.6,12.3,12.5,28,3273,40810.6
9/13/23,12.7,12.7,12.3,12.7,19,25290,319372.7
9/12/23,12.2,12.7,12.2,12.6,35,22678,285925.9
9/11/23,12.4,12.6,12.1,12.4,42,44661,547267.9
9/8/23,12.3,12.4,12,12.1,72,90244,1091052.1
9/7/23,12.4,12.4,12.2,12.4,23,7263,88807.7
9/6/23,12.3,12.4,12.2,12.2,40,65370,806358.8
9/5/23,12.8,12.8,12.3,12.3,38,31730,390517.8
9/4/23,12.8,12.8,12.4,12.4,40,11018,137724.3
9/1/23,12.6,13,12.5,12.7,72,63044,797524.8
8/31/23,12.2,12.6,12,12.2,58,237667,2894874
8/29/23,12.2,12.2,12.1,12.1,33,45919,558880.5
8/28/23,12.2,12.2,12.1,12.2,40,126211,1528181.4
8/25/23,12.1,12.2,12,12.1,43,86285,1040083
8/24/23,12.2,12.3,12,12,61,277849,3335107.1
8/23/23,12.3,12.4,12,12.2,84,255352,3112635
8/22/23,12.1,12.2,11.9,12.1,105,764621,9241667.8
8/21/23,12.2,12.3,12,12,134,227104,2745296.5
8/18/23,12.3,12.4,12,12.1,237,516250,6269681.5
8/17/23,12.7,12.7,12.3,12.5,61,67780,847040.3
8/16/23,12.7,12.8,12.4,12.5,88,9158100,118985432.6
8/15/23,13,13,12.2,12.3,154,267030,3299361.6
8/14/23,13.2,13.2,12.3,12.4,622,1569800,19673208.4
8/11/23,13.4,13.8,13,13.6,99,149712,2009508.6
8/10/23,13.1,13.4,13,13.1,99,103709,1362321.8
8/9/23,13.4,13.5,13.1,13.2,75,85047,1124661.5
8/8/23,13.5,13.5,13.3,13.4,52,56140,754395.9
8/7/23,13.5,13.7,13.3,13.3,87,148041,1982584
8/4/23,13.5,13.6,13.4,13.5,47,62373,841094
