Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,30,30,30,30,2,500,15000
10/12/23,32.4,32.6,32.4,32.6,4,302,9842.8
10/11/23,32.6,32.6,32.6,32.5,1,1,32.6
10/10/23,32,32,32,32.5,1,13,416
10/9/23,32.5,32.5,32.5,32.5,4,1006,32695
10/6/23,32.7,32.7,32.6,32.6,9,1002,32665.4
10/5/23,32,32.4,28.9,30.7,36,2922,89982.1
10/4/23,33.7,33.7,32.1,32.2,4,5041,162359.7
10/3/23,32.1,32.1,32.1,32.1,2,325,10432.5
10/2/23,32.5,32.5,32.5,34.2,2,90,2925
9/27/23,33.9,33.9,32.3,34.2,4,91,3083.3
9/26/23,32.4,34.5,32.4,34.2,16,1096,37145.6
9/25/23,32.8,32.8,32.1,32.4,3,100,3236.7
9/21/23,34.3,34.3,34,34,3,701,23864.3
9/20/23,34.3,34.3,34.3,34.3,2,110,3773
9/19/23,33.3,34.1,33.3,33.3,3,52,1737.4
9/18/23,33.3,33.3,33.1,33.3,20,6819,226947
9/15/23,34.4,34.4,33.3,33.3,4,726,24204.4
9/14/23,34.4,34.4,33.8,33.8,9,584,19784.6
9/12/23,33.3,33.3,33.3,33.2,1,1,33.3
9/11/23,35.9,35.9,33,33.2,27,2091,70445.4
9/8/23,34.8,34.8,34.8,34.8,6,568,19766.4
9/7/23,35.2,35.2,34.1,35.2,10,1113,39066.9
9/6/23,36,36,33.6,34.2,30,46679,1583102.9
9/5/23,35.9,38.9,35.9,36,22,11352,413263.3
9/4/23,35,36,34.1,34.4,21,2580,91405
9/1/23,35,35,35,34.1,1,1,35
8/31/23,34.1,34.1,34.1,34.1,8,701,23904.1
8/29/23,36,36,35,35,8,5502,192572
8/28/23,35.8,36,35,35,16,4662,163684.2
8/25/23,35,35.8,34,35.5,30,48044,1696105.9
8/24/23,35,35,35,35,5,7084,247940
8/23/23,35.8,35.9,35.8,35.9,2,110,3948
8/22/23,34,36,34,34.3,18,14001,480138.3
8/21/23,35,36,34,35.9,20,14795,527306.2
8/18/23,34,36.5,34,34,25,9826,335139.9
8/17/23,34.2,36.5,34,34.1,30,11661,397551.6
8/16/23,34.9,35,34.9,35,10,3653,127826.8
8/15/23,35.9,35.9,34,35.4,17,1110,39459.4
8/14/23,35,35,34.5,35,24,42949,1502380.8
8/11/23,34.7,37.5,34.7,37,50,25278,933163.4
8/10/23,35.5,36.7,35,35.3,13,3965,140226.5
8/9/23,35.3,35.9,33.1,34.7,34,6284,213786.3
8/8/23,35.5,36.9,35.1,35.2,7,1701,59926.9
8/7/23,37,37.1,36.3,36.8,10,6966,257780.4
8/4/23,36,37.5,35.4,36.3,40,142924,5166877
8/3/23,34,37,34,36,64,35941,1293238.4
8/2/23,34.1,34.1,33,33,9,1170,38615.5
7/31/23,34.1,35,34.1,34.1,8,456,15740.5
7/28/23,35.4,35.5,34.1,34.7,18,13348,470301.5
7/27/23,33.1,35.6,33.1,35.4,30,16598,559048.8
7/26/23,35.2,36,34.2,34.3,14,3900,135244
7/25/23,35,36.6,34,35.3,23,4469,158172
7/24/23,37,37,36,36,18,11755,431046.6
7/21/23,37.8,37.8,35,36.3,33,9374,344794.7
7/20/23,37.3,39,36,37.4,87,55020,2091634.1
7/19/23,35.7,37.5,34.7,37.3,76,64938,2400244
7/18/23,31.5,35.4,31.5,35,110,156241,5424108.2
7/17/23,30.7,32,30.7,31.7,7,125,3967
