Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,165.75,167,163,163.75,22,3760,616285
10/12/23,160.25,165,160.25,164,28,19811,3254532.5
10/11/23,165,165,160,160.25,58,21213,3406741.75
10/10/23,159.5,163.75,159.5,163.75,34,106549,17364777.5
10/9/23,163.25,163.25,158,163,117,71779,11455530.5
10/6/23,165,165,163,163.25,78,209737,34398435.5
10/5/23,167.75,167.75,165,165,30,6188,1031477.75
10/4/23,164,168,164,166.25,28,5079,844768.25
10/3/23,168,169.75,164,165.75,78,53623,8893299.75
10/2/23,173.75,173.75,166.5,168.5,46,213014,35929518.75
9/27/23,170.75,173,168.5,172,39,21434,3685400.75
9/26/23,167.5,170,167.5,169,25,19275,3267299
9/25/23,170,171,169,169,40,49398,8395761
9/22/23,167,170,166,169,106,143686,24100062.25
9/21/23,169.25,170,168,168.5,48,210622,35632105.75
9/20/23,165,171,165,169.5,113,418921,71205131.25
9/19/23,175,175,169,170,92,189016,32367541.75
9/18/23,174.75,177,173,173.5,48,65903,11466231
9/15/23,178,178,174.75,175,36,22542,3946843
9/14/23,176,178.25,173,178,47,47586,8460766.75
9/13/23,174,178,173,177,38,630872,112256948.8
9/12/23,174,175,171,174.5,84,54369,9460357.25
9/11/23,178.75,178.75,174.5,175,67,12526,2218333.5
9/8/23,177.25,179,175.25,177.5,57,62136,11057140.25
9/7/23,177,180,176,176.25,52,189975,34179241.75
9/6/23,181,181,176.25,177,122,1106009,198925829
9/5/23,173.75,181,173.75,180,120,305721,55001957.75
9/4/23,170,173.5,170,172,91,30691,5267375
9/1/23,169.75,170,166,168,171,1351443,227038733
8/31/23,171.25,173.5,169,169.5,75,29431,4996351.75
8/29/23,173.75,173.75,171.25,172.5,80,47729,8239286.75
8/28/23,175.25,176,173.25,173.5,107,885053,155658772.3
8/25/23,174.75,176,174,174.5,165,614479,107482935.3
8/24/23,181.75,182,175,175.5,171,371137,66518232.5
8/23/23,175.5,182,175.5,181.75,103,145173,26201126.5
8/22/23,178.25,179,175.5,176,214,2119611,373116792.8
8/21/23,182.25,185,175.5,179.75,86,120888,21955198
8/18/23,183,183,180,181.75,113,318340,58172645.25
8/17/23,183.5,185,182.75,183,202,799494,146888288
8/16/23,181.25,184,179.25,183.25,222,1176500,215240274.5
8/15/23,188.75,189.5,182,182.25,123,23295,4345699.75
8/14/23,198,198,187.75,189.5,265,554906,106354076.3
8/11/23,199.5,199.5,197.25,199,72,147078,29246055
8/10/23,199,200,198.5,198.75,98,175431,34905298.5
8/9/23,200.75,200.75,196.75,197.25,72,13340,2636205.75
8/8/23,200.25,200.5,195,200,166,202093,40323266.75
8/7/23,200,201.75,198.75,199.75,106,95308,19137303
8/4/23,199.5,201.75,199,201,140,164399,32978385
8/3/23,195,203.5,194,200,351,1959905,392253881.3
