Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,5.1,5.1,5,5.1,7,3659,18515.2
10/12/23,5.1,5.1,4.9,5,23,58221,291527.1
10/11/23,5,5.1,4.8,5,33,82255,409404.9
10/10/23,5,5.2,5,5.1,21,17776,90666.6
10/9/23,5.1,5.1,5,5.1,25,47899,242347.4
10/6/23,5.6,5.6,5.1,5.1,137,315128,1614300.2
10/5/23,5.5,5.5,5.1,5.2,27,96992,509430.5
10/4/23,5.4,5.5,5.3,5.3,20,51072,270798.8
10/3/23,5.2,5.4,5.2,5.2,27,32564,171476.2
10/2/23,5.3,5.5,5.2,5.2,5,1271,6665.8
9/27/23,5.5,5.5,5.3,5.4,17,20348,111114
9/26/23,5.4,5.5,5.4,5.5,24,8007,43618.1
9/25/23,5.5,5.6,5.3,5.3,11,10403,55325.9
9/22/23,5.5,5.5,5.4,5.5,21,19871,107528
9/21/23,5.7,5.7,5,5.1,47,174302,897877.7
9/20/23,5.7,5.7,5.5,5.5,17,28286,157378
9/19/23,5.7,5.7,5.5,5.5,23,13736,75770.9
9/18/23,5.7,5.7,5.6,5.6,17,61819,346406.9
9/15/23,5.8,5.8,5.7,5.8,3,201,1155.8
9/14/23,5.8,5.8,5.6,5.8,4,109,630.6
9/13/23,5.5,5.8,5.5,5.8,20,20775,116345.1
9/12/23,5.6,5.8,5.5,5.6,19,12895,71829.5
9/11/23,5.9,5.9,5.6,5.7,20,54332,308955.6
9/8/23,5.9,5.9,5.7,5.7,15,21795,125241.5
9/7/23,5.7,5.9,5.6,5.8,46,162565,911058.9
9/6/23,5.9,5.9,5.8,5.9,12,31104,180773.8
9/5/23,5.9,5.9,5.7,5.7,14,5847,33580.8
9/4/23,5.8,5.8,5.6,5.6,14,41906,238774.2
9/1/23,5.7,5.9,5.6,5.7,41,188335,1076437.1
8/31/23,5.7,5.8,5.7,5.8,6,13900,79340
8/29/23,5.8,6,5.7,5.8,8,881,5079.6
8/28/23,5.7,5.8,5.7,5.8,14,93508,538145.9
8/25/23,5.9,5.9,5.7,5.7,9,16003,91217.6
8/24/23,5.8,5.8,5.7,5.8,13,43486,252188
8/23/23,5.7,6,5.7,5.8,8,13305,77208.7
8/22/23,6,6,5.7,5.8,29,100254,584356.3
8/21/23,6,6.1,5.8,5.8,37,128392,753497.1
8/18/23,6,6.1,5.9,5.9,18,33905,202615.5
8/17/23,5.9,6.1,5.8,5.9,55,364304,2174513.6
8/16/23,5.8,5.9,5.7,5.8,27,152048,879404.9
8/15/23,5.8,6,5.8,5.8,17,16169,93932.2
8/14/23,6,6,5.7,5.9,42,88944,519195
8/11/23,5.9,6,5.8,5.8,33,66456,389185.6
8/10/23,5.9,6,5.8,5.9,20,21191,124893
8/9/23,5.9,5.9,5.8,5.8,22,36581,214431.6
8/8/23,5.9,6,5.9,5.9,8,15103,89117.7
8/7/23,6,6.2,6,6,15,23790,145770.2
8/4/23,6.1,6.2,5.8,6,54,122701,732618.8
8/3/23,6,6.2,6,6.1,87,208679,1274531.8
8/2/23,6.1,6.1,6,6,20,67233,405242.6
7/31/23,6.1,6.1,6,6.1,31,120205,728299.4
7/28/23,6.1,6.2,6,6.1,61,174392,1057119.8
7/27/23,5.9,6.1,5.8,6.1,69,166693,1012152.8
7/26/23,6,6.3,5.8,5.9,108,352145,2107729.4
7/25/23,6,6,5.7,5.8,53,91362,530065.7
7/24/23,5.9,6.1,5.7,6,73,597422,3568762.2
7/21/23,5.9,5.9,5.8,5.9,37,43998,258134.2
7/20/23,6,6.1,5.9,5.9,86,323768,1936307
7/19/23,6,6,5.7,5.9,80,233699,1380345.6
7/18/23,6,6,5.7,5.9,38,145114,844243.4
7/17/23,6,6.1,5.8,5.8,196,5799288,34763917.1
