Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,42.9,42.9,42,42.4,4,163,6911.7
10/12/23,41.7,42.1,41.7,42,4,101,4245.1
10/11/23,42.5,42.5,41.6,42,14,6216,261398.1
10/10/23,42.3,42.9,42.2,42.2,19,6174,260575.3
10/9/23,43.1,43.1,42.5,42.5,23,3334,142738.2
10/6/23,44.1,44.1,43.4,43.4,4,167,7248.5
10/5/23,44.1,44.1,42.7,43.5,13,24524,1074457.6
10/4/23,44,44,43.9,43.9,10,3730,163747.1
10/3/23,43.1,43.1,42.5,42.5,34,26893,1146725.5
10/2/23,44,44,43,43.1,11,6425,277404.4
9/27/23,44.8,44.8,43.4,44.4,13,948,42252.7
9/26/23,43.5,45,43,44.9,9,3253,141837.3
9/25/23,43.5,43.5,43.5,43.5,1,500,21750
9/22/23,44,44,43.2,43.3,17,6550,283424.5
9/21/23,44,44,44,44,2,945,41580
9/19/23,43.8,44.9,43,44.9,28,25287,1093435.4
9/18/23,44,44.7,43.8,43.8,15,4257,186641.5
9/15/23,45,45,44,43.8,5,33,1477
9/14/23,44.2,45,43.8,43.8,17,9825,430580.1
9/13/23,43.6,45.1,43.2,45.1,15,11248,486472.5
9/12/23,44.3,44.3,44.1,44.1,11,10024,442065.2
9/11/23,45.4,45.6,45.1,45.1,25,11286,513230.3
9/8/23,45.2,45.4,44,43.2,8,62,2777.2
9/7/23,45.3,45.3,43.5,43.2,4,36,1587.3
9/6/23,45.9,45.9,43.1,43.2,19,7570,326746.2
9/5/23,46.1,46.1,43,43.5,83,72057,3121331
9/4/23,46.7,47.4,44.6,45.6,18,11889,545011.4
9/1/23,46.3,46.5,46.2,46.2,23,7166,332908.8
8/31/23,43.1,46.3,43.1,43.2,3,17,745.5
8/29/23,43,44.4,43,43.2,8,353,15253.2
8/28/23,43.4,44.4,42.6,42.8,29,23333,999709.5
8/25/23,43.1,43.1,42.6,43,20,5110,218072.5
8/24/23,44.1,44.1,43.2,43.2,10,27020,1175682
8/23/23,43.2,44,43.2,43.2,15,2429,104987.7
8/22/23,43.5,44.7,43.1,43.2,11,702,30321.6
8/21/23,45,45,43.2,43.5,30,23052,1013528
8/18/23,45,46,44,44,29,14884,658690.2
8/17/23,46.2,46.2,45,45.1,21,15400,695451.5
8/16/23,46.6,46.6,46.5,46.5,16,1980,92070.5
8/15/23,47,47,46.6,46.6,15,1269,59363.8
8/14/23,47.1,47.1,47.1,47.1,4,505,23785.5
8/11/23,45,47.5,45,47.5,24,11823,544324.5
8/10/23,47.5,47.8,45,45,65,36212,1631819.2
8/9/23,46.1,47.5,46,46,14,5881,270542.5
8/8/23,46.3,47,46,46.1,15,2022,93216.5
8/7/23,47.5,47.5,46.1,46.3,18,6001,278941.3
8/4/23,47.8,50,45,46,82,47873,2215511.5
8/3/23,48.6,48.6,48.2,48.2,26,5673,274129.5
8/2/23,50.5,50.5,49,49,6,580,28435
7/31/23,49.9,50.8,48.4,50.6,28,16035,793987
7/28/23,51.8,51.8,50,50,17,4802,243342.5
7/27/23,51.5,51.5,50,50.6,31,81902,4166862.2
7/26/23,51,51.5,50.7,50.7,27,20731,1062202.4
7/25/23,51.1,51.9,50.2,51.9,23,15278,792316.1
7/24/23,51.9,51.9,51.6,51.9,8,646,33490.6
7/21/23,51.4,52,51.3,52,24,116472,6045596.5
7/20/23,51.4,51.4,50.2,50.3,12,15125,777288.5
7/19/23,52.3,52.3,50.5,51,20,75657,3858569.8
7/18/23,52.4,52.4,50.2,51.9,33,50120,2599903.1
7/17/23,52.2,52.2,51.2,52,13,50500,2625802
