Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,27.2,29.2,27.2,29.1,23,262611,7654063.3
10/12/23,28,28.4,26.1,27.5,13,18500,510794
10/11/23,28.4,28.4,27.5,27.5,5,5994,164846
10/10/23,28,28.4,26.3,27.8,12,3922,109721
10/9/23,28,28,27.9,28,15,29034,812842
10/6/23,28,28,28,28,4,1011,28308
10/5/23,26.6,26.6,26.5,26.5,2,1000,26510
10/4/23,27.2,27.9,26,26.4,15,7653,203902.6
10/3/23,27.6,27.6,27.2,27.4,6,1150,31490
10/2/23,29,29,28,28.7,12,2200,62571.5
9/27/23,28.9,29.6,28.7,29.3,50,22948,670550.3
9/26/23,28.8,29.2,28,29.1,21,59510,1721828.8
9/25/23,28.3,29.1,27.2,29,34,116254,3370424.6
9/22/23,28,28.1,28,28.1,5,4575,128250.5
9/21/23,28,28.5,27,28.1,27,22200,622245.1
9/20/23,27.2,28,27.2,27.3,7,2350,64110
9/19/23,27.1,29,27,27.2,38,17289,487999.8
9/18/23,28.5,28.5,27.6,27.6,9,5014,140173.5
9/15/23,27.4,28.5,27.4,28,5,4583,128024.5
9/14/23,28.4,28.4,27.6,28,9,7530,211596.7
9/13/23,28.3,28.3,28,28,13,3602,101626.9
9/12/23,27.5,28.2,27,28.2,43,34516,959743.7
9/11/23,28,28,27.1,28,7,8491,237718.5
9/8/23,27.1,28.1,27,27.8,14,1029,28291.1
9/7/23,27.9,28,27.1,28,12,6919,193329.2
9/6/23,27.1,27.8,27,27.7,18,16113,444887
9/5/23,26.8,27.7,26.8,27,10,3336,89798.6
9/4/23,27.5,27.6,26.6,27.6,32,104914,2882989.8
9/1/23,26.9,27.5,26.7,27.3,14,4201,113906.3
8/31/23,26.3,26.9,26.3,26.5,30,771016,21556899.2
8/29/23,24.5,26.5,24,25.9,43,78052,1996441.4
8/28/23,24.6,24.6,23.6,24.5,11,5388,129881.5
8/25/23,23,24.5,22.8,24.2,38,13807,332210.7
8/24/23,23.1,23.1,22.9,22.9,10,3520,80881.5
8/23/23,22.2,24.5,22.2,23.1,22,45196,1040943.1
8/22/23,22.2,22.8,22,22,12,4062,89385.6
8/21/23,23.3,23.3,22,22.2,24,5713,127876
8/18/23,25.1,25.1,20,22.2,254,136443,2999715.6
8/17/23,27,27,25,25.1,31,9947,249344
8/16/23,26,26,25.8,25.9,30,13626,352954.3
8/15/23,26.5,26.5,26.1,26.4,35,5653,149033
8/14/23,26.6,27.5,26.1,26.9,21,1705,45541
8/11/23,27.4,27.5,26.5,26.9,24,9231,248335.5
8/10/23,29,29,27.4,28.6,61,41116,1179149.1
8/9/23,29.3,29.3,28.5,29.1,12,2110,61224
8/8/23,28.6,29.3,28.5,29.2,20,5499,158800.2
8/7/23,29.3,29.7,28.5,28.6,26,12013,347478.3
8/4/23,30.5,30.5,28.4,28.8,69,34516,1009837.8
8/3/23,28,30.5,28,29.5,161,141755,4234148.6
8/2/23,28.3,29,27,27,70,39404,1076808.2
7/31/23,29.8,29.8,28,28.3,9,4891,139343.8
7/28/23,28.5,29,28,28,35,14720,413303.2
7/27/23,28.4,30,27.8,28.2,20,11218,319702.3
7/26/23,30.1,31,29,29,39,14371,424306.6
7/25/23,28.7,33,27.6,30.3,128,235970,7237101.4
7/24/23,29,29,27.5,28.5,21,73318,2080577.5
7/21/23,29,29,25,28.3,32,30884,869064.2
7/20/23,28.5,29,28,28,24,21935,615042
7/19/23,26.9,29,26.8,28.2,15,4695,129954.4
7/18/23,28.6,29.2,26.8,28.8,57,38257,1085171.7
7/17/23,28.9,29,27.5,27.6,38,5762,163212.6
