Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
11/23/18,22.4,25,24.8,22.4,5,74,1846.2
11/21/18,22.4,24.8,24.8,22.4,1,1,24.8
11/19/18,22.4,22.7,22.2,22.4,7,148,3324.9
11/16/18,22.1,22.7,22.4,22.1,4,4,90.1
11/14/18,22.1,26,22,22.1,7,309,6844.2
11/13/18,25.5,29,29,25.5,1,1,29
11/12/18,25.5,25,25,25.5,1,20,500
11/9/18,25.5,29,29,25.5,2,26,754
11/8/18,25.5,25,25,25.5,1,30,750
10/30/18,25.5,29.4,29.4,25.5,1,9,264.6
10/19/18,25.5,19.5,19.5,25.5,1,1,19.5
10/15/18,25.5,27,27,25.5,1,10,270
10/11/18,25.5,29,28.3,25.5,3,90,2582
10/10/18,25.5,29.6,29.6,25.5,1,1,29.6
10/8/18,25.5,25.5,25.5,25.5,1,100,2550
10/1/18,20.5,21.1,19.5,20.5,4,68,1426
9/27/18,26,26,26,20.5,1,40,1040
9/25/18,20.5,20.5,20.5,20.5,2,200,4100
9/20/18,30,30,30,24.6,1,1,30
9/11/18,30.6,30.6,30.6,24.6,1,16,489.6
9/5/18,25,25,25,24.6,1,1,25
8/31/18,30.7,30.7,30.7,24.6,1,26,798.2
8/30/18,30.7,30.7,30.7,24.6,1,20,614
8/28/18,29.5,30,29.5,24.6,2,80,2385
8/15/18,26,26,26,24.6,1,15,390
8/13/18,24.6,24.6,24.6,24.6,2,101,2484.6
8/10/18,24.1,24.1,24.1,24.1,1,100,2410
7/5/18,31.6,31.6,31.6,31.6,1,8,252.8
6/22/18,31,31,31,31.6,2,50,1550
6/18/18,31.6,31.8,31.6,31.6,6,1232,38961.4
5/28/18,41,41,41,40.5,1,2,82
5/11/18,40.5,40.5,40.5,40.5,2,110,4455
5/10/18,43.8,43.8,43.8,39,1,23,1007.4
5/8/18,43.8,43.8,43.8,39,1,2,87.6
5/1/18,40.1,40.1,38,39,6,327,12751.2
