Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,26.4,26.4,26.4,26.4,1,100,2640
10/11/23,26.3,26.3,26.3,26.3,2,49,1288.7
10/10/23,25.1,26.9,25.1,26.3,4,372,9495
10/9/23,26.2,26.5,25,26.4,15,32141,816991.6
10/5/23,27,27,27,27,3,100,2700
10/4/23,27.9,27.9,27,27.4,2,6,162.9
10/3/23,28,28,27,27.4,3,172,4715.9
10/2/23,28.4,28.4,27,27,8,3954,106766.1
9/27/23,28.1,28.4,27.2,27.5,5,653,18051.7
9/26/23,28,28,28,28,4,7027,196756
9/20/23,27.9,27.9,27,27.4,2,240,6570
9/19/23,27.5,27.5,27,27,6,5157,139243
9/18/23,27.2,27.2,27.2,28,1,1,27.2
9/15/23,27.1,28,27.1,28,3,1951,54627.1
9/14/23,27.1,28.5,27,28,12,5051,136971.2
9/13/23,27.2,27.2,27.1,27.1,2,500,13553
9/12/23,27.5,27.5,27.5,27.5,1,1,27.5
9/11/23,27.5,27.5,27.5,27.5,4,3699,101722.5
9/8/23,27.5,27.5,27.5,27.5,13,13750,378125
9/7/23,26.8,27.5,26.8,27.3,8,4425,119627.5
9/6/23,27.5,27.5,27.5,27.5,7,6007,165192.5
9/5/23,27.2,27.5,26.7,27.4,10,1226,33375.9
9/4/23,27.5,27.5,27.2,27.2,4,1153,31527.5
9/1/23,27.9,27.9,27.1,27.1,5,453,12438.7
8/31/23,27.9,27.9,27.9,27.9,1,250,6975
8/29/23,28.2,28.2,27,27.3,18,9983,274218
8/28/23,29.6,29.6,28.4,28.4,7,3141,91122.5
8/25/23,29.9,29.9,29,29,11,3159,92498.3
8/24/23,29.3,30,28.7,29.2,32,17753,522641
8/23/23,28.8,29,28.5,28.7,38,17121,493189.5
8/22/23,28,28,28,28,4,2093,58604
8/21/23,28.7,28.9,27.5,27.5,22,33362,920762.8
8/18/23,27.2,29.3,27.2,27.3,12,3056,84032.7
8/17/23,29.4,29.8,28,29.3,17,115515,3437570.6
8/16/23,27,28.9,27,28.5,29,9679,273693.9
8/15/23,27.9,27.9,26.8,27,8,3791,103438.8
8/14/23,26.9,28.4,26.8,27.4,13,3768,101520.4
8/11/23,26.6,26.6,26.6,26.6,1,1,26.6
8/10/23,28,28,28,26.6,1,5,140
8/9/23,26.6,26.6,26.6,26.6,2,2329,61951.4
8/8/23,27.1,27.6,26.2,27.6,32,27783,761784.5
8/7/23,27.7,27.7,27.2,27.3,19,21416,587811.8
8/4/23,28,28,27.6,27.7,19,12304,341153.3
8/3/23,28.4,28.6,28.1,28.2,21,53138,1504454.8
8/2/23,27.9,28.1,27.7,28.1,9,8522,239089
7/31/23,28.1,28.1,27.5,27.6,5,3547,98147.6
7/28/23,27.5,28.1,27.1,28,13,4130,114887.5
7/27/23,28,28,27.5,27.7,16,3645,100987.5
7/26/23,27.7,28,27.7,28,7,4601,128738
7/25/23,27.1,28.4,27.1,28.1,17,19240,543143
7/24/23,29.4,29.4,25,26.7,83,72951,1923484
7/21/23,28.5,29.3,27.7,29.3,10,9825,279735.5
7/20/23,28.9,29.4,28.5,28.5,10,42220,1230097.9
7/19/23,28.4,28.5,28,28.1,18,5413,152464.5
7/18/23,29.1,29.1,29.1,28.5,2,21,611.1
7/17/23,28.6,29,28.1,28.5,24,5078,144188.8
