Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/12/23,3.9,4,3.9,3.9,4,8250,32200
10/10/23,3.9,4,3.9,3.9,12,8795,34319.8
10/9/23,3.9,3.9,3.9,3.9,3,1179,4598.1
10/6/23,4,4,4,4,3,2000,8000
10/5/23,4,4,4,4,1,200,800
10/4/23,3.9,4,3.9,4,4,2268,9067.8
10/3/23,4,4,3.8,3.9,12,11468,44147.6
10/2/23,4,4.2,4,4,15,20010,80687.2
9/27/23,4.1,4.1,4.1,4.1,1,2377,9745.7
9/26/23,4.2,4.2,4,4,3,1219,5096
9/25/23,4.2,4.2,4,4,7,18244,73029
9/22/23,4.2,4.2,4.2,4.2,1,30,126
9/21/23,4.3,4.3,4.2,4.2,4,226,951.8
9/20/23,4.2,4.2,4.1,4.2,12,1042,4371.4
9/19/23,4.1,4.2,4,4,6,3515,14074.1
9/18/23,4.1,4.2,4.1,4.2,5,4265,17498.4
9/15/23,4.3,4.3,4.3,4.3,1,600,2580
9/14/23,4.1,4.3,4.1,4.3,7,2542,10528.3
9/13/23,4.2,4.3,4.1,4.1,7,5135,21561.4
9/12/23,4.2,4.2,4,4.1,20,11325,46087.8
9/11/23,4.4,4.4,4.2,4.2,12,48564,204620.3
9/8/23,4.3,4.3,4.1,4.1,14,10970,46014
9/7/23,4.1,4.4,4.1,4.4,25,7839,33291.2
9/6/23,4.1,4.2,4.1,4.1,7,7144,29335.4
9/5/23,4.2,4.2,4.1,4.1,4,6581,26984.1
9/4/23,4.3,4.3,4.2,4.2,7,2351,9874.3
9/1/23,4.3,4.3,4.3,4.3,1,5,21.5
8/31/23,4.1,4.3,4.1,4.3,8,1385,5785.5
8/29/23,4.3,4.3,4.1,4.1,11,23447,96151.2
8/28/23,4.2,4.2,4.1,4.1,8,2745,11306.5
8/25/23,4.2,4.2,4.1,4.2,6,399,1675
8/24/23,4,4.4,4,4.1,7,2102,8719
8/23/23,4.3,4.3,4,4,19,27220,109348.8
8/22/23,4.3,4.3,4.1,4.1,14,16904,72021.4
8/21/23,4.2,4.2,4.1,4.1,11,4721,19403.1
8/18/23,4.3,4.3,4,4.1,18,23548,95081.1
8/17/23,4.2,4.3,4,4,23,54091,218504
8/16/23,4.1,4.3,4.1,4.2,47,71704,295993.8
8/15/23,4.4,4.5,4.2,4.4,11,2608,11560.2
8/14/23,4.4,4.5,4.2,4.3,20,21902,94458.8
8/11/23,4.4,4.5,4.3,4.4,10,12312,54014
8/10/23,4.5,4.5,4.3,4.3,8,2552,11074.1
8/9/23,4.4,4.5,4.3,4.3,29,25204,109118.3
8/8/23,4.5,4.5,4.3,4.4,16,11419,50126.6
8/7/23,4.6,4.6,4.4,4.5,16,5439,24370.6
8/4/23,4.6,4.6,4.4,4.6,27,20887,93352.8
8/3/23,4.7,4.8,4.6,4.6,14,8117,37411.7
8/2/23,4.8,4.8,4.6,4.7,14,10645,50127.5
7/31/23,4.6,4.8,4.6,4.8,22,15102,72425.6
7/28/23,4.8,4.9,4.7,4.8,57,91816,440657.9
7/27/23,4.7,4.7,4.6,4.7,12,3580,16824
7/26/23,4.8,4.8,4.7,4.8,10,11100,52255
7/25/23,4.5,4.8,4.5,4.8,38,38853,180124.8
7/24/23,4.6,4.7,4.5,4.6,23,16759,77685.4
7/21/23,4.7,4.7,4.4,4.6,53,63075,282915
7/20/23,4.7,4.7,4.5,4.5,39,57673,260574.2
7/19/23,4.9,4.9,4.5,4.7,52,26209,121169.2
7/18/23,4.9,4.9,4.8,4.8,31,29826,144481
7/17/23,5.2,5.2,4.9,4.9,66,52706,259764
