Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
12/6/22,3.9,3.9,3.8,3.8,7,9340,35622
12/5/22,3.9,3.9,3.7,3.8,24,11519,43811.5
12/2/22,3.9,3.9,3.8,3.8,20,8227,31491
12/1/22,4,4,3.8,3.8,7,35500,135200
11/30/22,3.9,4,3.8,3.9,18,35665,135912
11/29/22,4,4,3.9,4,13,3646,14319.7
11/28/22,4.1,4.1,3.9,3.9,26,90217,361684
11/25/22,4.3,4.3,3.8,4.1,196,271597,1063242.5
11/24/22,5,5,4.8,5,3,1101,5305
11/22/22,5,5,5,4.9,1,10,50
11/21/22,4.9,4.9,4.8,4.9,4,550,2690
11/18/22,4.7,4.9,4.2,4.8,15,7125,31747.5
11/17/22,4.8,4.8,4.5,4.6,11,10362,47601.2
11/16/22,5.1,5.1,4.8,4.8,2,1020,4902
11/15/22,5.1,5.7,5.1,5.1,4,3081,15761.1
11/14/22,5.7,5.7,4.9,4.9,6,7500,37470
11/11/22,5.7,5.7,5.7,5.7,1,100,570
11/10/22,5.7,5.7,5.7,5.6,1,10,57
11/8/22,5.7,5.7,5.6,5.6,3,300,1690
11/4/22,5.7,5.7,5.7,5.7,6,4200,23940
10/31/22,5.7,5.7,5.7,5.7,1,25,142.5
10/28/22,5.7,5.7,5.7,5.7,1,200,1140
10/27/22,5.6,5.7,5.6,5.8,2,83,473
10/26/22,5.3,5.3,5.3,5.8,1,82,434.6
10/25/22,5.4,5.8,5.4,5.8,4,1500,8380
10/21/22,5.5,5.8,5.5,5.8,3,124,718
10/19/22,5.7,6.2,5.4,5.4,8,3710,20418.8
10/18/22,5.3,5.3,5.2,5.3,3,1000,5280
10/14/22,5.3,5.3,5.3,5.3,2,1001,5305.3
10/13/22,5.7,5.7,5.7,5.7,3,1200,6840
10/12/22,5.3,5.5,5,5.1,7,2631,13214
10/11/22,5.3,5.3,5.3,5.3,1,100,530
10/7/22,5.6,6,5.6,5.8,3,450,2600
10/6/22,6,6,6,5.6,1,9,54
10/5/22,5.6,5.7,5.5,5.6,8,515,2903.5
10/4/22,6,6,5.3,5.4,28,32472,173986.6
10/3/22,6,6,5.8,6,2,225,1345
9/30/22,5.9,6.1,5.9,5.9,2,214,1265.4
9/29/22,5.9,5.9,5.9,5.9,4,604,3563.6
9/28/22,5.8,5.9,5.8,5.8,4,563,3266.1
9/27/22,5.8,5.9,5.7,5.8,13,1598,9214.6
9/26/22,5.9,5.9,5.9,5.9,5,646,3811.4
9/23/22,6.2,6.2,5.8,5.8,7,19153,112848.3
9/22/22,6.2,6.2,5.7,5.9,27,24638,145443.3
9/21/22,6.2,6.2,5.7,6.1,7,730,4467.3
9/20/22,6.2,6.6,5.9,5.9,25,21224,133702.7
9/19/22,5.8,6.3,5.5,5.9,23,24474,145304.6
9/16/22,5.7,6,5.5,5.6,44,83404,463597.3
9/15/22,5.9,5.9,5.8,5.9,16,5475,31985
9/14/22,6,6,5.9,5.9,12,7287,43102.7
9/13/22,6.2,6.2,5.8,6.1,4,606,3676
9/12/22,6.2,6.2,5.7,6,9,1080,6522.9
9/9/22,6.1,6.4,5.9,6.1,7,11100,67297.5
9/8/22,5.8,5.8,5.7,5.7,11,23398,135418.4
9/7/22,5.8,5.8,5.8,6,2,21,121.8
9/6/22,6,6,5.7,6,8,2042,12251.6
9/5/22,6,6,6,5.9,1,1,6
9/2/22,6,6,5.9,5.9,5,2450,14555
9/1/22,5.7,6,5.6,5.9,13,8936,52216
8/31/22,5.9,5.9,5.5,5.5,17,19434,106967.4
8/30/22,5.9,5.9,5.8,5.8,11,18323,106885.7
8/29/22,6.2,6.2,6,6.3,3,45,271.6
8/26/22,6,6,5.8,6.3,4,76,451
8/25/22,6.3,6.3,6.2,6.3,3,527,3317.4
8/24/22,5.8,6.2,5.8,6,33,15611,93282.4
8/23/22,5.5,5.7,5.5,5.7,22,34854,196954
8/19/22,5.7,5.7,5.7,5.7,4,343,1955.1
8/18/22,5.7,5.7,5.6,5.6,8,961,5415.2
8/17/22,5.7,5.7,5.4,5.7,5,390,2220
8/16/22,5.7,5.7,5.4,5.6,21,4391,24018.7
8/15/22,5.5,5.5,5.4,5.5,9,5085,27960
8/12/22,6,6,5.5,5.6,30,25973,145059.7
8/10/22,5.9,5.9,5.9,5.9,2,3001,17705.9
8/9/22,5.8,5.8,5.6,5.8,2,16,89.8
8/8/22,6.3,6.3,5.7,5.8,11,6254,36074.2
8/5/22,5.8,5.8,5.8,5.8,1,500,2900
8/4/22,6.1,6.4,6.1,6.4,4,1200,7675.2
8/3/22,5.5,6.4,5.5,5.9,3,14,78.8
8/2/22,5.6,5.9,5.6,5.9,6,8552,50096.8
8/1/22,5.9,5.9,5.9,5.9,2,2,11.8
7/29/22,5.9,5.9,5.9,5.9,4,4005,23629.5
7/28/22,5.8,5.8,5.8,5,3,48,278.4
7/27/22,5.4,5.4,5,5,4,5000,25124
7/27/22,5.4,5.4,5,5,4,5000,25124
7/26/22,6.2,6.2,5.6,5.7,8,947,5433.3
7/22/22,6.1,6.1,5.9,5.9,2,3100,18310
7/21/22,6.1,6.2,5.8,5.8,5,779,4688.1
7/20/22,6.1,6.2,5.6,5.8,9,414,2476.4
7/19/22,5.8,5.9,5.3,5.5,10,1424,7948.7
7/18/22,5.8,5.8,5.6,5.7,7,533,3051.4
7/15/22,5.5,5.5,5.5,5.5,1,40,220
7/14/22,5.5,5.5,5.5,5.5,1,40,220
7/11/22,5.8,5.8,5,5.5,7,2720,15041.5
7/8/22,5.8,5.9,5.8,5.9,2,100,588
7/7/22,4.9,5.8,4.9,5.6,5,171,958.8
7/6/22,5.7,5.7,5.7,5.7,2,37197,212022.9
7/5/22,5.5,6,5.5,5.8,11,11887,69427.3
7/4/22,5.5,5.5,5.5,5.4,1,10,55
7/1/22,5.4,5.4,5.4,5.4,1,10,54
6/30/22,5,5.5,5,5.4,9,2610,13561
6/28/22,5,5.7,5,5.6,5,1100,5950
6/27/22,5.8,5.9,5.8,5.9,4,5100,30089.2
6/24/22,5.5,5.9,4.7,5.6,13,16470,92255
6/23/22,5.5,5.5,5.5,5.5,2,700,3850
6/21/22,5.2,5.7,5.2,5.5,4,1517,8398.4
6/16/22,5.8,5.8,5,5.1,6,1207,6235.7
6/15/22,5.5,5.5,5.5,5.5,5,640,3520
6/13/22,5.7,5.7,5.5,5.5,5,1067,5870.9
6/10/22,5.4,5.8,5.4,5.5,11,2911,16003.2
6/9/22,5,5.3,4.7,4.9,6,987,4832.9
6/8/22,4.8,4.8,4.8,4.8,4,313,1502.4
