Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/16/15,275,275,275,260,1,1,275
10/8/15,275,275,275,260,2,3,825
10/7/15,290,290,270,260,2,6,1640
10/5/15,251.5,260,251.5,260,2,201,52251.5
9/30/15,275,275,275,274,1,10,2750
9/29/15,275,275,275,274,1,99,27225
9/28/15,265,265,265,274,1,2,530
9/15/15,265,265,265,274,1,1,265
9/10/15,260,260,260,274,1,1,260
9/9/15,274,274,251,274,3,5,1347
9/1/15,288.8,288.8,288.8,274,1,1,288.8
8/28/15,278,278,278,274,1,2,556
8/27/15,278,278,278,274,1,1,278
8/20/15,274,274,274,274,1,534,146316
8/14/15,294.9,298,294.9,295.6,11,2800,827741.6
8/12/15,295,295,294.9,294.9,5,214,63108.7
8/11/15,270,275,270,270,14,6161,1668820
8/6/15,273,273,270,280.1,5,59,15944
8/5/15,270.3,290,270.2,280.1,3,200,56020.5
8/4/15,273,273,272,273,2,2,545
7/27/15,273.1,273.1,273,273,4,300,81908.6
7/23/15,280,280,280,275,1,15,4200
7/21/15,271,271,271,275,1,1,271
7/20/15,271.1,271.1,271.1,275,1,5,1355.5
7/17/15,275,275,275,275,1,5000,1375000
7/16/15,275,275,275,275,1,1000,275000
7/15/15,280,280,275,275,6,4010,1102775
7/8/15,275.1,275.1,275.1,296,1,1,275.1
7/6/15,279,279,279,296,1,1,279
6/25/15,296,296,263.2,296,2,1495,442487.2
6/24/15,296,300,296,298.2,9,8506,2536607.2
6/23/15,232.1,296,232.1,296,3,201,59432
6/22/15,296,296,296,299.9,1,3,888
6/12/15,299.9,299.9,299.9,299.9,12,529,158647.1
6/8/15,296,296,296,296,1,1,296
6/5/15,295,295,295,295,3,4,1180
5/13/15,300,305,300,300,10,5301,1593300
5/12/15,300,300,300,300,2,103,30900
5/11/15,290.1,290.1,290,290,2,100,29000.2
5/6/15,290,290,290,290,1,1,290
4/30/15,300,300,300,300,1,200,60000
4/22/15,274.2,274.2,274.2,274.2,1,1,274.2
4/17/15,271,271,271,271,1,1,271
4/15/15,309.8,309.8,309.8,309.8,1,1,309.8
4/6/15,273,273,273,273,2,2,546
4/2/15,271,300,271,300,4,83,22580
4/1/15,290,300,270.2,285.8,11,643,186050.8
3/30/15,290,290,290,290,3,30,8700
3/26/15,290,290,290,290,1,1,290
3/25/15,290,290,290,290,1,1,290
3/24/15,290,290,273,273,2,7,1996
3/20/15,289.9,290,289.9,290,6,27,7829.4
3/19/15,266.1,266.1,266.1,266.1,1,1,266.1
3/17/15,304.9,305,285.7,285.7,3,3,895.6
3/16/15,265.1,265.1,265.1,265.1,1,1,265.1
3/11/15,229.1,305,229.1,305,3,3,839.1
3/10/15,305,305,305,305,4,6,1830
3/6/15,305,305,305,305,5,6,1830
3/4/15,305,305,305,305,1,2,610
3/2/15,290.1,305,290,297.9,5,199,59210.2
2/26/15,309.9,310,290.1,309.5,5,205,63440.5
2/24/15,310,310,310,310,2,501,155310
2/23/15,310,310,310,310,1,3,930
2/19/15,310,310,310,310,1,100,31000
2/18/15,310,310,310,310,1,500,155000
2/12/15,314,314,277,277.4,2,101,28014
2/10/15,255,255,255,255,1,1,255
2/5/15,324.9,324.9,324.9,324.9,1,1,324.9
1/30/15,325,325,325,325,1,2,650
1/29/15,319.9,319.9,319.9,319.9,1,2,639.8
1/26/15,288.1,288.1,287.3,287.5,3,299,85973.5
1/20/15,310,310,287.3,287.3,3,201,62287.3
1/13/15,310,310,310,310,1,1,310
1/9/15,340,350,335,336,11,2500,840030
1/8/15,286,340,286,334.5,18,5505,1841635.9
12/31/14,270.2,358.9,270,358.9,4,10,2789.7
12/30/14,330,330,325,326.3,2,4,1305
