Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,47.8,49,46.1,47,21,18883,898484.3
10/12/23,45.9,47,45,47,54,71555,3304858.7
10/11/23,44.7,48.5,42.9,45.7,48,51807,2410758.5
10/10/23,44.9,44.9,42.6,43.1,26,12368,532737.8
10/9/23,43.5,44.9,42.5,43.1,26,13556,589220.7
10/6/23,45.2,45.5,44,45,20,14315,643676.5
10/5/23,48,48,45.1,45.8,21,29643,1383251.7
10/4/23,47,47.9,43.3,46.1,47,52796,2406882.2
10/3/23,47,48,42.2,45.5,23,14018,641947.2
9/27/23,46.8,49,46.8,48,30,51639,2485215.2
9/26/23,47.1,48.5,45,45.1,38,32772,1485121
9/25/23,49.5,49.5,47,47.2,18,8110,392992
9/22/23,49.3,49.9,48,48.1,19,8854,432990.2
9/21/23,49.1,49.3,48,48,28,17585,847676.7
9/20/23,49.5,49.8,49,49.2,19,7414,366023.2
9/19/23,50.1,50.1,49.1,50,15,11827,591058.2
9/18/23,50.3,51,50.1,50.1,16,15134,762381.8
9/15/23,52,52,51,51,19,12700,648611.5
9/14/23,51.5,52.4,51,51.5,66,166341,8595145.9
9/13/23,52.5,52.5,51.4,52.4,23,67850,3550884.8
9/12/23,53,53,52.4,52.9,62,83864,4436219.9
9/11/23,52.9,52.9,51.1,51.7,17,14450,754177
9/8/23,53,54,51,51.6,45,212615,10995361.7
9/7/23,52,53.5,52,52.6,43,109284,5752532.4
9/6/23,54.9,55,52.3,53,137,282452,15099024.6
9/5/23,51.3,54.8,50.8,54,358,910517,48623650
9/4/23,50,51,49.2,50.9,80,181142,9120270.1
9/1/23,50.5,51,48.6,50,28,26987,1347650
8/31/23,51.6,52,50,50,38,60450,3041171
8/29/23,50,52,50,50.8,47,77435,3949924.2
8/28/23,53.9,53.9,50.3,50.7,48,95200,4837200.4
8/25/23,49,54,48.1,53.3,309,850607,44640758.8
8/24/23,49.5,51,49,49.4,122,245285,12216728.5
8/23/23,52,52.5,50,51.2,358,1539558,79912686.3
8/22/23,48.6,51.8,46,50.4,336,1414053,70452094.3
8/21/23,45.4,49.4,45.4,47.1,321,623665,29963259.6
8/18/23,39.4,45.3,39,43.6,284,1832271,79253130.4
8/17/23,36.8,39.5,36.8,38.3,88,258515,9894899.6
8/16/23,36.7,37.1,34.1,36.4,27,29505,1056354.5
8/15/23,36.9,36.9,36,36,23,9297,334802.4
8/14/23,37.5,37.8,35,36.6,46,42660,1531358.8
8/11/23,36.5,38.1,36.5,37.8,123,150457,5675677.4
8/10/23,35.6,36.5,35.6,36.2,20,48806,1759691.4
8/9/23,35.7,35.7,35,35.3,24,52233,1836317.1
8/8/23,36.5,36.5,35.5,35.9,33,64771,2322494.8
8/7/23,36,37,35.6,36.5,22,29851,1069914
8/4/23,36.9,37.8,36,36,28,67911,2488209.3
8/3/23,37,37.5,36.5,36.5,9,23500,858412.8
8/2/23,36,37.5,36,37,29,43133,1567257.7
7/31/23,37.9,37.9,35.5,36,23,36466,1311485
7/28/23,37.9,37.9,36.2,36.9,23,6075,222273
7/27/23,37.8,37.8,36.2,37,36,86260,3197583.3
7/26/23,37.7,37.9,36.8,36.9,24,40458,1497485.8
7/25/23,36.1,38,36,37.7,59,93291,3440365.9
7/24/23,35.6,37.4,35.6,37,35,121924,4507402
7/21/23,35.8,38.8,34.6,37.5,189,291786,11030346
7/20/23,34.6,36.2,34.3,35.8,137,701245,24701846.6
7/19/23,34.5,34.6,34,34.5,67,88513,3041804
7/18/23,34.4,34.6,34,34.1,45,92562,3153995.1
7/17/23,33.7,34.8,32.5,34.4,108,323158,10921885.1
7/14/23,33,33.5,32.1,33.4,29,472729,15750068
7/13/23,32.9,33.5,32.9,33,34,70174,2316498.1
7/12/23,32,33.9,31.9,32.7,120,406064,13169938.5
7/11/23,30.7,31.5,30.1,31.1,95,300239,9290763.3
7/10/23,30,31.3,30,30.5,42,71100,2182298.8
7/7/23,30.4,31,29,30.8,45,114926,3516291.3
7/6/23,30.1,31.4,29.1,30.2,43,111235,3341819.3
7/5/23,29,31.4,28.3,30.5,111,445149,13278373.3
7/4/23,27.9,29.5,27.4,29.3,116,451764,13071016.1
6/28/23,27,27.3,26.2,26.5,10,5190,138129.6
6/27/23,28,28,26.4,27,4,400,10780
6/26/23,27.3,28,26.2,27.9,26,62020,1678316.1
6/23/23,27.3,27.3,26.1,27,22,32627,879092
6/22/23,27,27.4,26.5,27.4,20,258127,6940725
6/21/23,26.9,27.5,26.9,27.2,49,140595,3809492.1
6/20/23,25.8,26.9,25.8,26.8,18,13398,355169.6
6/19/23,25.5,25.6,25.5,25.6,5,2313,59112.8
6/16/23,26.2,27,25.2,26.7,30,42711,1142232.9
6/15/23,26.5,26.9,26.5,26.5,7,15100,400189
6/14/23,24.8,27,24.8,26.5,73,437341,11760184.7
6/13/23,24.6,25.5,24.6,24.7,15,1240,30776.8
6/12/23,25.4,25.9,24.6,25.3,22,18027,448543.5
6/9/23,24.6,25,24.6,24.8,40,17780,440045.6
6/8/23,24.5,24.5,24.5,24.5,3,100,2450
6/7/23,24,24.5,23.4,23.5,36,39740,934357.8
6/6/23,24,24.6,24,24.4,28,143515,3471370.9
6/5/23,24.8,24.8,24,24,21,4780,114816.4
6/2/23,24,25,24,24.1,12,1575,37921
6/1/23,25,25,23.6,24,61,39300,948833.5
5/31/23,25.9,26,25.9,25.9,22,24616,639127.1
5/30/23,25.9,25.9,25.5,25.6,12,4665,119308.4
5/29/23,25.8,25.9,25.4,25.5,29,18031,461031.4
5/26/23,25.1,26.5,25.1,25.8,122,98639,2551976.8
5/25/23,24.7,25,23.9,24.1,66,153333,3683478
5/24/23,26.5,28,24.1,24.7,25,5959,149623.3
5/23/23,26,26,26,26,4,1000,26000
5/22/23,26,26,26,26,1,200,5200
5/19/23,26.8,26.8,26,26.2,2,27,702.8
5/18/23,25.6,26.8,25.6,26.2,4,200,5240
5/16/23,26,26,26,26,7,2076,53976
5/15/23,26.1,27,26,26,6,2839,73846.6
5/11/23,25.5,28,25.5,27,32,21169,577186.8
5/10/23,27,27.7,27,27.1,37,51696,1413015.3
5/9/23,25.1,26.8,25.1,26,16,1976,51107.9
5/8/23,25.3,27,25.3,26.8,8,604,15847.7
5/4/23,27,27,27,27,1,2000,54000
5/3/23,24.5,27.5,24.5,27,35,107294,2893877.9
5/2/23,26.2,26.5,25,25,9,5336,133540.4
4/28/23,27,27,27,27,3,700,18900
4/27/23,27,27,27,26.4,1,5,135
4/26/23,27,27,26.2,26.4,31,14355,386921.6
4/25/23,26.1,26.9,26,26.9,7,781,20506.3
4/24/23,28,28,26,26.6,72,151558,4081258.6
4/21/23,28.5,29.3,27,27.1,52,129285,3497764.8
4/20/23,28,29.3,28,29.3,3,20101,562959.3
4/19/23,29.2,29.2,26.1,28.9,30,7605,206366.6
4/18/23,28.1,29.2,28,29.2,9,803,22605.7
4/17/23,28.8,28.8,28,28.2,11,13065,369566.7
4/12/23,28.2,29.8,28,28.8,20,33666,955849
4/11/23,29,29,28,28.2,25,30187,846721
4/10/23,28,29,27.9,28.6,28,12305,346020.6
4/6/23,28.4,28.4,27.6,27.8,8,1659,47020.4
4/4/23,28,28.4,28,28,3,1102,30896
4/3/23,28.4,28.4,28.4,28.4,1,1000,28400
3/31/23,28,29,26.6,26.6,77,131719,3552662.2
3/30/23,28,28,27.3,27.7,20,24861,693394.2
3/29/23,28.9,29,27.5,28.6,9,522,14909.5
3/28/23,28.3,29,27.5,28.9,5,634,17871.4
3/27/23,28.1,28.1,28.1,28.3,3,36,1011.6
3/24/23,28,29.8,28,28.3,16,2820,80796.5
3/23/23,29,29,27,27.2,60,106870,2907674.6
3/22/23,29.9,29.9,29,29.8,2,110,3280
3/21/23,29,29,28.7,28.8,12,2711,78049
3/20/23,29,29.3,29,29,18,150154,4370681.6
3/16/23,29,29,28.7,29,7,5020,145577
3/15/23,28.7,29,28.7,28.9,6,4151,120033.7
3/14/23,29,29,28.8,28.8,9,27102,785737.6
3/13/23,29.5,30.5,28.5,28.7,74,82894,2385606.3
3/10/23,29.7,29.8,29.6,29.7,6,701,20812.6
3/9/23,29.4,31.5,29.4,31,67,90460,2796627.5
3/8/23,30.2,30.2,29.3,29.6,42,55866,1666250.6
3/7/23,30.5,30.9,30.2,30.2,13,2035,61771.2
3/3/23,30.9,30.9,29.3,30,20,8085,242066.5
3/2/23,30,31,29.2,29.8,22,34410,1031660.4
3/1/23,30.5,30.5,29.9,30,6,4798,143770.6
2/28/23,30,31.5,29.8,30.1,20,5642,171015.6
2/27/23,31.3,31.3,30,31,12,21894,670503.8
2/24/23,31.6,31.7,30.1,31.2,27,8926,273054.2
2/23/23,30.9,31.7,30.1,31,26,25773,798922.1
2/22/23,31,31,30,30.1,21,19786,594681
2/21/23,31,31,28.7,29.2,51,88276,2567627
2/20/23,30,30.9,29.5,30,17,18932,568756.6
2/17/23,31.9,31.9,29.6,29.7,17,21781,649940.2
2/16/23,30.6,32,29.5,30.1,84,97442,2957219.4
2/15/23,28.5,29.8,28.3,29.1,33,40664,1167856.7
2/14/23,31,31,28.5,28.8,58,129503,3875221.3
2/13/23,31.4,31.4,31,31,14,13110,406462
2/10/23,31.5,31.5,30.8,31.2,9,3606,112628.4
2/9/23,31.5,31.5,31,31.1,30,25038,781216.6
2/8/23,31.5,31.8,31,31.5,10,16846,526745
2/7/23,31.7,31.9,31.1,31.4,41,36805,1153032.7
2/6/23,31.9,32.9,31.6,31.9,36,39907,1275285.5
2/3/23,31.5,33,30.9,32.3,77,72054,2320204.9
2/2/23,31.7,32.8,31.2,31.2,30,9181,288244.4
2/1/23,32.2,32.5,31.2,31.7,66,79954,2577701.2
1/31/23,31.6,32,30.7,31.7,37,41412,1308773.6
1/30/23,32,32,30.7,31.5,33,5218,162848.8
1/27/23,31,32.4,30.9,31.9,85,65997,2066978.4
1/26/23,30.9,31.8,30.9,31.2,51,65088,2021082.7
1/25/23,32,32.4,31.5,31.9,30,16992,543362.4
1/24/23,32.9,32.9,30.7,31.7,52,24123,761223.2
1/23/23,31.5,33.4,31.5,32.8,81,87033,2837041.8
1/20/23,30.8,33.3,30.8,32.4,134,157144,5064436.8
1/19/23,31.7,32.3,30.8,30.9,45,71753,2230588.2
1/18/23,30.5,31.8,30.5,31,41,39245,1218331.7
1/17/23,29.6,31.7,29.5,30.1,58,146545,4407916.7
1/13/23,31.6,31.6,28.3,29.8,73,201256,6060588.4
1/12/23,31.7,32.7,31.6,31.6,54,109788,3475117.2
1/11/23,31.6,33,31,32.1,89,244455,7826109.6
1/10/23,32,33.5,31,32,83,125521,4038270.3
1/9/23,34.5,35,32.1,33,85,88665,3004535.4
1/5/23,32,34.9,32,34.2,406,1699432,57575427.2
1/4/23,30,32.9,30,31.2,67,65978,2061864.8
1/3/23,29.7,33.5,28.5,31.7,374,1194510,37183729.3
1/2/23,32,32,28.5,29.5,351,843474,25212774.4
12/30/22,33,36,31,31.7,815,2664773,90228963
12/29/22,27.5,33.1,27.5,32.6,884,2532635,79499023.4
12/28/22,25,28.8,25,27.1,219,701820,19368156.9
12/27/22,23.9,25.4,23.9,24.9,101,194544,4818808.1
12/23/22,22.5,23.8,22.5,23.1,20,65728,1494651.3
12/22/22,22,22.7,22,22.5,22,287719,6463142
12/21/22,22,22.5,22,22.2,6,2400,53210
12/20/22,22.5,22.5,22,22,14,47359,1042124
12/19/22,22.1,22.7,21.1,22.5,23,21400,458155.8
12/16/22,22.2,22.7,22.2,22.5,16,22715,510093
12/15/22,23,24,22.6,23.5,33,44455,1042317.8
12/14/22,23.4,24,22.5,23,23,122415,2817112.5
12/13/22,23.2,23.2,22,22.5,27,58009,1283956.5
12/12/22,22.3,24,22.1,23.2,68,94607,2184416.8
12/9/22,22,22,21.7,21.7,4,5170,112192.3
12/8/22,22.5,22.5,22,22,13,7239,159322.4
12/6/22,23.2,23.2,22.3,22.3,8,1646,37078.6
12/5/22,25,25,22,22.3,18,4669,104150.8
12/2/22,24.3,24.9,23.9,24.7,30,21600,528558
12/1/22,22.5,25,22.5,24.8,41,41662,964365.4
11/30/22,22.6,22.8,22.5,22.5,9,13400,301976.8
11/29/22,22.3,22.5,22,22.5,10,269055,6050522.5
11/28/22,22,22,22,22,3,12000,264000
11/25/22,22,22,22,22,3,6000,132000
11/24/22,22.8,22.8,21,21,11,23511,493763.5
11/23/22,21.4,24,21.2,21.8,18,5037,110986.2
11/22/22,21,21.4,21,21.1,2,600,12640
11/21/22,20.6,21.8,20,21,16,22742,456322.5
11/18/22,21,21.7,21,21,17,39901,837991
11/16/22,21,22,21,21.5,5,20300,436490.1
11/15/22,22.7,22.7,22.7,22,1,4,90.8
11/14/22,22,22.9,22,22,11,11634,256108
11/11/22,21.5,22,21.2,21.6,9,511,11073.6
11/10/22,20.1,21.9,20.1,20.8,15,93216,1939958
11/9/22,20.6,20.8,20,20.8,22,532660,10909971
11/8/22,21,21,20.6,20.6,10,23980,499580
11/4/22,22.7,22.7,20.9,21,5,1904,39988.1
11/3/22,20.3,22.5,20.3,20.6,12,55261,1135551.4
11/2/22,20.5,20.5,20.5,20.5,6,16300,334150
