Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/27/16,1,1.3,0.5,1,1029,16535114,14897666
9/26/16,0.9,1.6,0.7,1,645,6438234,7388534.8
9/23/16,2,2,0.8,1.1,874,7950741,10192765.2
9/22/16,2.5,3,1.9,2.1,933,8893817,22328781.5
9/21/16,1.7,2.6,1.7,2.4,1176,9889086,22646468.2
9/20/16,3,3.1,1.7,1.8,781,5242675,11331656.3
9/19/16,3.2,3.5,2.8,2.9,607,4182590,12974831.8
9/15/16,3.8,4.2,3.2,3.4,1179,7688974,28447458.1
9/14/16,4.7,5.1,3.2,3.9,1420,10803820,48312624.6
9/13/16,3.2,4.6,3.2,4.4,1236,8936584,35391989.1
9/9/16,1.9,3.1,1.8,2.9,934,6674225,17656445.9
9/8/16,3,3,1.5,1.9,275,2065335,4718815.6
9/7/16,3.7,3.7,3,3,560,3293224,10593233.4
9/6/16,5,5.1,3,3.7,1052,4897085,18651614.6
9/5/16,6,6,5,5.2,293,716300,3880069
9/2/16,6.4,6.4,5.5,6,308,7064952,39830004.8
9/1/16,6.3,6.6,6,6.4,239,860812,5468222.1
8/31/16,6.3,6.4,6.1,6.2,99,272365,1694818.6
8/30/16,6.2,6.5,6.1,6.2,183,646723,4062595.5
8/29/16,6.1,6.3,5.9,6,108,245267,1489231.9
8/26/16,6.8,6.8,5.8,6.1,458,1358389,8221024.7
8/25/16,7.2,7.3,6.6,6.7,376,1810729,12459973.6
8/24/16,7.4,7.5,7.2,7.2,97,524358,3827406.9
8/23/16,7.6,7.8,7.4,7.5,182,1091036,8200474.8
8/22/16,7.7,7.8,7.6,7.7,234,1388358,10717295.6
8/19/16,7.4,7.8,7.4,7.6,231,1419802,10798332.1
8/18/16,7.3,7.5,7.2,7.4,183,589227,4356052.3
8/16/16,7.2,7.5,7.2,7.3,233,892074,6587910
8/15/16,7.2,7.3,7.1,7.2,120,544275,3916100.2
8/12/16,7,7.4,6.9,7.1,234,1025335,7372721
8/11/16,7.2,7.2,6.9,7,197,659641,4643014.9
8/10/16,7.1,7.5,7,7.1,522,2165363,15779440
8/9/16,6.7,7.2,6.7,7,309,1216555,8495169.3
8/8/16,6.9,7,6.7,6.8,163,352752,2417381.7
8/5/16,6.7,7.1,6.7,6.8,232,1012962,6989103.5
8/4/16,6.9,6.9,6.5,6.7,228,877006,5830370.3
8/3/16,7.1,7.3,6.7,6.8,303,1021754,7254445.3
8/2/16,6.4,7.1,6.4,7,513,1888815,12968483.5
8/1/16,6.4,6.6,6.4,6.4,92,349589,2265853.4
7/29/16,6.5,6.6,6.3,6.5,228,989064,6347514.1
7/28/16,6.6,6.6,6.4,6.5,132,358209,2325694.8
7/27/16,7,7,6.4,6.6,292,1507961,9925610.2
7/26/16,6.9,7.1,6.8,7,157,850110,5925309.1
7/25/16,6.9,7.1,6.5,6.9,293,1077961,7302638.2
7/22/16,7.3,7.3,6.8,6.9,401,1734398,12193962.2
7/21/16,7.2,7.9,7.2,7.3,834,5239031,39403673.8
7/20/16,6.5,7.5,6.3,7.2,944,6346605,44449147
7/18/16,5.6,6.7,5.5,6.4,850,4711676,29528639.8
7/15/16,5.2,5.8,4.9,5.6,421,2518767,13513231.1
7/14/16,6,6,5,5.2,274,697357,3745391.8
7/13/16,5.7,6.5,5.1,5.7,887,4892796,29223831
7/12/16,7.2,7.2,5.7,6.2,468,2823758,18292108.1
7/11/16,7.8,7.8,6.4,7,1104,7280151,51131651.8
7/8/16,5.5,7.8,5.5,7.4,1504,9849874,70789097.4
7/7/16,3.4,5.5,3.4,5.2,1898,13240419,59219369.6
7/5/16,1.9,3.5,1.5,3.2,1171,7349685,21154877.5
7/4/16,4.8,4.8,1.5,1.8,408,1978922,4762872.1
7/1/16,5.8,6,4.8,4.8,245,698030,3537143.7
6/30/16,7,7,5.8,5.9,180,1336666,8325676.7
6/24/16,8.8,8.8,7.4,7.6,344,1078161,8417160.1
6/23/16,8.8,9.3,8.6,8.9,152,281050,2520393.7
6/22/16,9.5,9.5,8.8,8.8,110,184473,1669093
6/21/16,10,10,9.4,9.5,70,72906,706901.1
6/20/16,10.6,10.8,9.9,10,146,340101,3435210.1
6/17/16,10.3,10.8,10.1,10.5,86,254576,2662196.3
6/16/16,10.8,10.8,10,10.3,142,468021,4871539.5
6/15/16,11,11.1,10.5,10.6,100,269964,2917615.5
6/14/16,11.2,11.2,11,11,71,207084,2278825.4
6/13/16,11,11.3,11,11.1,96,148717,1657823.5
6/10/16,10.8,11.3,10.7,11,110,357764,3935296
6/9/16,11,11.3,10.5,11.1,151,419104,4568610.7
6/8/16,11.3,11.3,10.9,11,63,110569,1221394.1
6/7/16,11.2,11.4,10.7,11,168,570593,6348159.1
6/6/16,11.3,11.8,10.9,11,151,331570,3737589.4
6/3/16,11.2,11.4,10.9,11,118,190220,2120881.3
6/2/16,11.4,11.5,11,11.1,148,270596,3014017.7
6/1/16,11.8,11.8,11.1,11.1,74,100275,1120805.1
5/31/16,12,12,11.3,11.4,159,275165,3166246.1
5/30/16,12,12.5,11.7,12,156,183612,2211471.4
5/27/16,11.8,12,11,11.6,193,274098,3186230.8
5/26/16,13.8,14,11.4,11.8,514,731177,8855401.3
5/25/16,15.2,15.5,13.2,14.1,267,349969,5172524.1
5/24/16,15,15,14.1,14.5,38,44864,637374
5/20/16,15,15,14.5,14.7,52,46488,679067.9
