Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
2/13/19,14.8,15.6,14.3,14.8,253,245298,3700468.2
2/12/19,14.1,16.4,13.9,14.1,316,408497,5917892.4
2/11/19,15.7,16.9,15.5,15.7,261,202106,3215261.8
2/8/19,17,17.9,16.8,17,130,67950,1161477.2
2/7/19,17.2,18.3,16.1,17.2,513,392888,6801063.1
2/6/19,16.5,18,16.4,16.5,142,128362,2151206.1
2/5/19,18,18.9,18,18,91,49472,898657.4
2/1/19,18.8,19.6,18.6,18.8,611,882368,16750320
1/31/19,19.5,19.7,17.9,19.5,664,1365096,25903201
1/30/19,18.4,18.7,16.7,18.4,835,1288371,23019457.8
1/29/19,16.5,16.9,15,16.5,494,530078,8559215.1
1/28/19,14.9,15.9,14.8,14.9,107,75347,1130632.3
1/25/19,15.4,16.5,15.1,15.4,116,97138,1508427.9
1/24/19,16.2,16.9,16,16.2,190,138178,2259465.7
1/23/19,16.2,16.7,15.7,16.2,219,227662,3664960.2
1/22/19,16.7,16.9,15.2,16.7,526,710199,11652715
1/21/19,15,16,14.7,15,132,145752,2199706.5
1/18/19,15.5,16.7,15,15.5,547,880115,14032141.8
1/17/19,16.8,17.2,14.3,16.8,1142,1966034,31723055.6
1/16/19,13.8,14.9,11.2,13.8,701,1160113,15291037.6
1/14/19,11.1,11.4,10.2,11.1,102,77077,836891.1
1/11/19,10,10.5,10,10,20,67899,679285.5
1/10/19,10,10.6,10,10,21,23924,239738
1/9/19,10,10.7,10,10,41,44556,449294
1/8/19,10.4,10.8,10.3,10.4,36,11864,123403.6
1/7/19,10.5,10.9,10.5,10.5,42,30537,325356.4
1/4/19,11,11,11,11,29,57647,634117
1/3/19,11,11.2,11,11,10,15063,165803
1/2/19,11,11.2,10.9,11,10,2058,22610.9
12/31/18,11,11.2,11,11,25,2712,30084.2
12/28/18,11.1,11.2,11,11.1,28,21184,234957.9
12/27/18,10.8,11.1,10.8,10.8,38,39731,430003
12/26/18,11.1,11.4,11,11.1,31,13282,147053.5
12/24/18,11,11.5,10.9,11,54,11763,129332.7
12/21/18,11.1,11.5,11.1,11.1,44,61049,683685.5
12/20/18,11.4,11.7,11.4,11.4,48,25076,290465
12/19/18,11.3,11.6,11.3,11.3,33,23706,272074.9
12/18/18,11.4,11.7,11.2,11.4,84,52183,594392.8
12/17/18,11.2,11.8,11.1,11.2,71,97090,1118955
12/14/18,11,12.1,10.7,11,279,203896,2310058.4
12/13/18,12.1,12.6,12,12.1,101,119277,1463044.9
12/12/18,12.3,12.4,12,12.3,38,8029,98118.8
12/11/18,12.1,12.4,12,12.1,26,25345,306185.7
12/10/18,12.3,12.5,12.1,12.3,29,21365,261397.3
12/7/18,12.5,12.7,12.4,12.5,46,60719,758921.9
12/6/18,12.4,12.7,12,12.4,119,118260,1457443.3
12/5/18,11.9,12.3,11.6,11.9,136,146117,1736605.9
12/4/18,12.2,12.8,12,12.2,165,103985,1256791.5
12/3/18,12.5,12.9,12.4,12.5,64,38166,478457.8
11/30/18,12.4,12.9,12.3,12.4,223,138399,1727289.7
11/29/18,12.6,13,12.5,12.6,93,91570,1155792.9
11/28/18,12.6,13.4,12.4,12.6,162,100511,1284266.2
11/27/18,13.1,13.4,13,13.1,161,108263,1425237.5
11/26/18,13.1,13.3,12.2,13.1,209,184654,2410209.7
