Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,270,274,260,265.25,51,6818,1807930.25
10/12/23,270.25,277.5,269,270,29,2535,684665.5
10/11/23,277.25,277.25,271.5,271.75,17,525,142686
10/10/23,286,286,270,271.5,31,3609,980021.25
10/9/23,285.75,285.75,266.25,271.25,24,966,264131.25
10/6/23,286,286,286,286.5,1,2,572
10/5/23,289,289,281.5,286.5,10,187,53586.5
10/4/23,281.25,288.75,281.25,288,16,3415,961271.25
10/3/23,285,285,281.25,282,31,3232,914101.25
10/2/23,286,289,283.75,286,31,5846,1667033.25
9/27/23,284,291.5,283.75,290,31,5350,1543279.75
9/26/23,285,287,283,286.75,24,1873,534587.75
9/25/23,287,289.75,285,285.5,51,10743,3068875.5
9/22/23,289.5,289.5,287,287,3,73,20963.5
9/21/23,290,290,286,287,27,2069,593736.75
9/20/23,285,292.5,285,290,6,964,279066.5
9/19/23,293,293,284,285,21,1598,463583.75
9/18/23,298,299.75,285.5,288.75,28,744,216247.5
9/15/23,300,300.25,291,298.75,49,12642,3774310.25
9/14/23,293.25,304,289,298.75,161,43952,13161146.25
9/13/23,282,293,282,288,23,5482,1577873
9/12/23,283.75,287.5,280.25,287.5,20,4428,1243425.25
9/11/23,283,288,280.25,286.5,37,10759,3038710.25
9/8/23,280,284.25,280,282.5,30,867,244357.5
9/7/23,275,283,275,280,33,6540,1827651.5
9/6/23,276.25,280,275,275,42,3715,1023085.25
9/5/23,280,281.75,275.25,279,67,8689,2418446.75
9/4/23,275,282,275,277,20,3042,837127.25
9/1/23,281.5,281.5,271.75,276,16,2466,676101.25
8/31/23,280,281,271.75,280,12,608,170232.25
8/29/23,278.75,278.75,269,271.5,23,3004,817088.5
8/28/23,282,282,269,271.5,57,6003,1636022.5
8/25/23,276,286,270,271.25,35,5460,1481263.25
8/24/23,282.75,284.75,276,280,42,6491,1817452
8/23/23,270,283,266,279.5,86,16344,4448297.5
8/22/23,268,277,264.5,269,43,2873,773107.25
8/21/23,276.25,278,265,268,138,18380,4945543.5
8/18/23,285.25,285.25,257,278,75,5660,1540450.25
8/17/23,285,290,279,284.5,126,20035,5675447.5
8/16/23,289,291,284,285,90,11326,3246759.5
8/15/23,291,305,287,290,65,5195,1537515.5
8/14/23,303,303,287.25,288.75,92,14798,4306175.25
8/11/23,299.75,304.75,293.5,295,59,2687,799095
8/10/23,300,305,290.25,292,76,7993,2372472
8/9/23,303,306,296.75,298.75,103,12521,3771807.5
8/8/23,315,324.75,306,306.75,81,8552,2673830.5
8/7/23,310,315,302,303.75,71,4915,1498614
8/4/23,317,317,305,306.75,129,21411,6630812
8/3/23,324,325,316.25,318.5,81,8203,2625722.5
8/2/23,328.5,328.5,323,324,48,5054,1643737.25
7/31/23,329,330,324.75,327,92,16543,5412751.75
7/28/23,329,330,321,324,45,3523,1138295.75
7/27/23,325,332.75,320,322.75,85,8656,2795412
7/26/23,332.75,333,320,321.25,38,1602,519129
7/25/23,333,333,319.75,328,104,9366,3023003.5
7/24/23,340.75,340.75,330,331.25,88,13101,4355661
7/21/23,338,342,336.75,338.25,38,4866,1649049.25
7/20/23,347,348.5,334.25,339,57,9309,3123298
7/19/23,350,350,334,338.25,74,5930,2013183
7/18/23,349,356,340.25,351.25,71,14051,4922126.5
7/17/23,343.75,355,335,345.75,135,25091,8709050.5
