Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,22.9,22.9,22.9,25,1,10,229
10/10/23,23.1,23.1,23.1,25,1,50,1155
10/5/23,22.7,22.7,22.7,25,1,5,113.5
10/3/23,24.5,25,24.5,25,3,643,16070.5
10/2/23,22.7,22.7,22.7,25.5,1,18,408.6
9/27/23,22.1,23.5,22.1,25.5,5,40,911
9/21/23,24.2,25.5,24.2,25.5,4,502,12798.4
9/20/23,24.3,25.5,24.3,25.5,8,764,19447.1
9/19/23,24.4,25.5,24.4,24.4,5,1046,25572
9/15/23,26.5,26.5,26.5,26.6,1,1,26.5
9/14/23,23.5,26.8,23.5,26.6,24,1259,32904.4
9/13/23,23.9,24.5,23.5,23.5,33,1778,42387.9
9/12/23,25.6,25.6,22.1,23.5,64,7959,187604.8
9/11/23,26.7,26.7,25.6,26.1,14,1646,43359.3
9/8/23,26.8,26.8,26.8,26.8,1,37,991.6
9/7/23,26.8,28,26.8,26.8,18,5172,144133.3
9/6/23,25.5,28,25.5,27.9,132,78831,2130769.1
9/4/23,25,25,23.9,23.9,3,6589,157587.1
9/1/23,24,24.5,24,24.2,4,250,6025
8/31/23,26,26,23,25.9,3,525,13575
8/29/23,25,26,24,25.7,24,3390,87382.6
8/28/23,24.9,25,24.9,25,4,800,19977.5
8/25/23,24.8,25,24.8,25,12,6200,154936.2
8/24/23,23.9,23.9,23.9,23.9,2,230,5497
8/23/23,21.5,22.9,21.5,24,2,2,44.4
8/17/23,24,24,24,24,1,100,2400
8/16/23,23,24,23,24,3,1977,47366
8/15/23,24,24,24,24,1,375,9000
8/14/23,25,25,23.9,24,8,7795,187132.5
8/11/23,25,25.9,25,25.8,4,590,15011
8/10/23,25.9,25.9,25,26,10,10,254.5
8/9/23,22.8,26,22.7,26,42,28012,712068.1
8/8/23,25.5,25.5,22.9,23,14,1506,37158.9
8/7/23,25.6,25.6,25.5,25.5,14,3175,81039.4
8/4/23,24.6,25.5,24.6,25.5,89,25396,641586.1
8/3/23,22.8,23,22.8,23,7,215,4942
8/2/23,23.3,24.8,22.5,24.3,46,26495,630210.1
7/31/23,22.5,22.5,22.5,22.5,2,1000,22500
7/28/23,22.5,23.2,22.5,23,11,20983,479976.5
7/27/23,21.8,21.8,21.8,23.4,1,93,2027.4
7/25/23,21.8,21.8,21.8,23.4,2,11,239.8
7/24/23,23.5,23.5,22.8,23.4,4,801,18762.8
7/21/23,21.6,21.6,21.6,21.6,1,2,43.2
7/20/23,22.3,22.3,21.5,21.6,3,1001,21602.3
7/18/23,21.6,22.6,21.6,22.6,6,3101,67081.7
7/17/23,22.5,22.9,22.5,22.8,8,554,12607
