Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
9/23/14,30,31.9,30,31.7,4,307,9745.7
9/22/14,29,31.9,29,30,25,12829,376920.1
9/19/14,26.5,28.9,26.5,28.3,22,9261,262243.4
9/17/14,23.3,23.3,23.3,23.3,2,2,46.6
9/16/14,27.8,27.8,27.8,27.8,1,1,27.8
9/15/14,24.5,25,24.5,24.8,3,1129,28010.5
9/12/14,22.9,24.5,22.9,24.5,2,2,47.4
9/9/14,22.9,22.9,22.9,22.9,1,1,22.9
9/4/14,23.2,23.2,23.2,23.2,1,1,23.2
9/2/14,24.1,24.1,24.1,24.1,1,2,48.2
9/1/14,24.2,24.2,24.2,24.2,2,320,7744
8/28/14,24.1,24.2,24.1,24.2,2,3,72.5
8/22/14,25.4,25.5,25.4,25.5,5,719,18332.4
8/21/14,25.5,25.5,23.6,24,7,602,14397
8/20/14,24,24,24,24,2,720,17280
8/19/14,24,24,24,24,3,280,6720
8/15/14,25,25,25,25,2,1000,25000
8/13/14,25.5,25.5,25.5,25.5,3,200,5100
8/12/14,25.5,25.5,25.5,25.5,1,50,1275
8/6/14,27.3,27.3,27.3,27.3,1,2,54.6
7/30/14,25,25,25,25,1,10,250
7/25/14,24.9,24.9,24.9,24.9,1,15,373.5
7/24/14,24.8,24.8,24.8,24.8,2,340,8432
7/23/14,25.7,25.7,25,25.4,6,1312,33401.2
7/22/14,25.7,25.7,25.7,25.7,3,143,3675.1
7/21/14,26.8,26.8,25.6,25.9,12,960,25278.6
7/18/14,28.5,28.5,26.7,26.7,22,2004,55727.8
7/17/14,26.6,29,26.6,28.9,8,404,11680.9
7/16/14,25.4,29.2,25.2,27.1,19,6341,164415.2
7/15/14,29,29.4,29,29.2,22,11804,343990.4
7/14/14,28.9,29,28.9,29,6,3795,109945.5
7/11/14,28.9,29.1,28.9,29.1,13,1557,45093.8
7/10/14,28.9,28.9,28.9,28.9,2,104,3005.6
7/9/14,28.7,29,28.7,28.9,6,952,27538.5
7/8/14,28.6,28.6,28.6,28.6,3,1195,34177
7/7/14,29.1,29.1,29.1,29.1,6,574,16703.4
7/4/14,29.1,29.1,29,29.1,6,5292,153996
7/3/14,29,29.1,29,29.1,3,1114,32317.4
7/2/14,28.9,29,28.9,29,4,1465,42385
7/1/14,29,29,28.9,29,9,10617,307892
6/30/14,28.9,28.9,28.9,28.9,2,790,22831
6/27/14,28.8,28.8,28.8,28.8,15,200,5760
6/26/14,28.8,28.8,28.8,28.8,5,3945,113616
6/25/14,28.8,28.8,28.8,28.8,2,150,4320
6/24/14,28.8,28.8,28.8,28.8,6,4049,116611.2
6/23/14,28.6,28.8,28.6,28.8,7,1709,49199.2
6/20/14,28.5,28.6,28.5,28.6,8,267,7636
6/19/14,28.4,28.4,28.4,28.4,1,2,56.8
6/18/14,28.5,28.5,28.4,28.5,22,36705,1045934
6/17/14,28.4,28.5,28.4,28.4,5,5530,157552
6/16/14,28.4,28.5,28.4,28.5,11,21540,613837
6/13/14,28.1,28.1,28.1,28.1,1,1,28.1
6/11/14,28.2,28.5,28.1,28.2,14,8023,225890.3
6/10/14,28.5,28.5,28.1,28.3,10,7121,202248.3
6/9/14,28.5,28.9,28.5,28.5,4,2003,57086.2
