Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,74.5,76.9,74,74.8,42,47282,3535929.6
10/12/23,75,76.3,74.5,75.1,25,17234,1294165.6
10/11/23,75.5,76,75,75.2,23,2644,199234.5
10/10/23,76,77.4,75.4,76,36,44184,3357893.6
10/9/23,76.1,78.8,75,76.4,94,318620,24602692.9
10/6/23,78.7,78.9,76.9,78.5,15,12726,998576.3
10/5/23,78,78.9,78,78.1,22,5863,458815.3
10/4/23,77,77,75,77,79,25128,1909482.3
10/3/23,78.9,78.9,76.1,76.9,65,11730,899142.9
10/2/23,79,79,77.5,78,66,11566,904255.3
9/27/23,78.9,79.1,78.6,78.6,32,11519,910158.7
9/26/23,78.8,78.8,78.5,78.5,17,1276,100242.4
9/25/23,78.8,79.1,78.8,78.8,14,6847,540114.4
9/22/23,78.5,78.5,78.1,78.3,42,4963,388374.6
9/21/23,79.9,79.9,78.7,78.7,13,8535,672196
9/20/23,79.5,79.5,78.5,78.7,28,5776,454893.5
9/19/23,78.7,80,78.6,79,20,2571,202724.7
9/18/23,79.3,80,78.5,79,39,38398,3033626.7
9/15/23,80,80,78.9,79.1,70,29815,2359879.7
9/14/23,80,80,79,80,30,4834,384405.8
9/13/23,80,80,79,79.9,35,14815,1176020.7
9/12/23,79.2,80,79.2,79.6,34,10858,861385.5
9/11/23,79.4,80.5,79.2,79.9,34,12999,1035835
9/8/23,80.7,80.8,77,79.4,55,36187,2829108.5
9/7/23,82,82,79.8,80,37,10762,864453.9
9/6/23,81.8,81.9,79.1,80.3,76,53521,4299168.1
9/5/23,80.1,81.9,80,80.7,29,13676,1098784.9
9/4/23,82.8,82.8,80,80.5,72,14933,1198324.4
9/1/23,82.3,82.5,81.6,82,105,76374,6259644.3
8/31/23,81.2,82.5,81.2,81.9,100,81137,6627808.7
8/29/23,80.5,81.2,80,80.4,112,64126,5145071.7
8/28/23,79.9,82.5,79,79.4,108,76096,6107925.7
8/25/23,77.2,80,76.6,78.4,99,65564,5108131.2
8/24/23,76.6,77.8,76.6,76.9,126,72235,5581570.1
8/23/23,74.6,76,74,75.9,49,11614,867769.8
8/22/23,75.2,75.2,73,74.1,94,25637,1890843.5
8/21/23,76,76,74,74.2,90,26943,2007635.3
8/18/23,75,76.1,74.4,76,61,22850,1719345.2
8/17/23,77.7,77.7,74,74.3,158,90425,6768996.1
8/16/23,77.9,77.9,77.3,77.5,28,16227,1256406
8/15/23,78.4,78.4,76,77.1,54,8526,658309.6
8/14/23,79,79,75.5,78.4,89,50180,3838401.4
8/11/23,77.6,79.5,76.5,77.3,75,46195,3598206.5
8/10/23,78.8,79,76.5,77.2,91,95206,7369624.1
8/9/23,80,80,77,77.1,330,225729,17546801.3
8/8/23,82.5,84,80,81.2,83,81427,6644682.2
8/7/23,85,85,83,83.1,75,32917,2741664.4
8/4/23,84.5,85.5,83.5,83.9,45,13829,1172806.1
8/3/23,84,85.9,84,85.1,89,85649,7284641.5
8/2/23,84.9,84.9,83.6,84,84,73978,6210903.9
7/31/23,85.4,85.9,83.5,84.4,71,23703,1995125.3
7/28/23,88.5,88.5,84.5,86.3,127,44695,3813221.4
7/27/23,86.5,88,85.8,86.5,83,70674,6106775.9
7/26/23,88,89.4,85.8,86.4,116,36898,3249955.6
7/25/23,85,89.8,83,88.1,349,226704,19593333
7/24/23,85.9,87.5,84.2,85,200,185703,16025514.9
7/21/23,83,86,81.8,85.1,329,464331,39072840.7
7/20/23,82.3,83.4,81.6,82,101,51400,4225788.8
7/19/23,80.9,82.5,80.1,81.8,101,71493,5843071.4
7/18/23,81,81.7,78.5,80.4,105,67471,5406568.1
7/17/23,80.1,82.5,80,80.4,155,144563,11789565.7
