Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,9.4,9.4,9,9.2,36,62794,568094.7
10/12/23,9.3,9.5,9,9.2,40,316527,2944514.9
10/11/23,9.8,9.8,9,9.2,61,164496,1514039.7
10/10/23,9.4,9.5,9.3,9.5,30,90350,855673.4
10/9/23,9.5,9.5,9.2,9.3,57,286295,2648765.2
10/6/23,10,10,9.3,9.8,30,290425,2752058.4
10/5/23,10,10,9.5,9.5,43,512704,4943825.5
10/4/23,9.5,10.1,9.4,9.7,68,384203,3720828.2
10/3/23,10,10,9.4,9.7,37,218641,2129689.8
10/2/23,10,10,9.7,9.7,44,113854,1108784.4
9/27/23,10.1,10.3,9.9,10,55,347539,3476290.5
9/26/23,10,10.3,10,10.2,18,26570,270897.7
9/25/23,10,10.4,10,10,47,283943,2874487.1
9/22/23,10.1,10.4,10,10,65,242048,2428007.1
9/21/23,10.2,10.5,10.1,10.2,47,124401,1268940.1
9/20/23,10.4,10.6,10.3,10.5,47,178332,1874046.4
9/19/23,10.9,10.9,10,10.2,85,692868,7016879.9
9/18/23,10.9,10.9,10.6,10.8,26,25050,269077.9
9/15/23,10.9,10.9,10.7,10.9,8,17533,190434.7
9/14/23,10.9,11.1,10.7,11,72,555064,6078812.4
9/13/23,11.1,11.1,10.6,10.7,18,15317,163845.6
9/12/23,10.6,11.1,10.5,11,98,464428,5120582.7
9/11/23,11.2,11.2,10.6,10.7,43,68978,737270.3
9/8/23,10.9,11.3,10.9,11,249,1530472,16989786.3
9/7/23,10.7,11,10.5,10.9,128,1178266,12819600.1
9/6/23,10.7,11.1,10.5,10.7,180,799721,8673426.6
9/5/23,10.3,10.9,10.3,10.7,176,1066045,11394212.4
9/4/23,10.4,10.4,10.1,10.1,33,148366,1516200
9/1/23,10.2,10.4,10.2,10.2,73,299301,3079332.9
8/31/23,10.3,10.3,10.1,10.2,73,899284,9173628.6
8/29/23,10.3,10.4,10.2,10.2,55,177343,1812388.5
8/28/23,10.5,10.7,10.2,10.3,71,248889,2568589.5
8/25/23,10.4,10.7,10.3,10.5,85,186515,1953726.6
8/24/23,10.8,10.8,10.4,10.5,143,452212,4759690.3
8/23/23,10.6,11.1,10.4,11,511,2393392,26087227.6
8/22/23,10.8,10.8,10.2,10.5,605,2421404,25627531.2
8/21/23,9.7,10.6,9.5,10.4,789,5094592,52110111.8
8/18/23,9.5,9.7,9.3,9.4,73,401046,3807560.7
8/17/23,9.4,9.5,9.2,9.4,88,271806,2556717.9
8/16/23,9.2,9.6,9,9.4,103,412669,3854271
8/15/23,9.4,9.4,9,9.2,50,55720,507739.1
8/14/23,9.6,9.6,9.1,9.3,72,269736,2488517.4
8/11/23,9.4,9.8,9,9.7,174,637352,6072559
8/10/23,9.4,9.4,9,9,68,267336,2427041.4
8/9/23,9.5,9.5,9,9.2,101,348691,3171731.8
8/8/23,9.3,9.6,9.2,9.5,96,267112,2488400.9
8/7/23,9.8,9.9,9.2,9.2,131,810405,7659027
8/4/23,10.3,10.3,9.7,9.8,199,781341,7696142.4
8/3/23,10.2,10.4,10.1,10.2,329,1655462,16977518.2
8/2/23,9.4,10.1,9.4,10,527,3491762,34121692.3
7/31/23,8.9,9.6,8.8,9.4,352,2565851,23471339.1
7/28/23,9.2,9.2,8.7,8.8,145,699784,6237329.7
7/27/23,8.9,9.3,8.6,9,637,4561364,41299474.9
7/26/23,8.7,8.7,8.4,8.4,59,78827,667124.2
7/25/23,8.5,8.7,8.3,8.7,92,153873,1311715.9
7/24/23,8.9,8.9,8.5,8.6,113,188388,1640877.1
7/21/23,8,9,7.8,8.9,396,5005999,44062984.9
7/20/23,7.7,8.1,7.5,8,250,1474051,11646555.4
7/19/23,7.7,7.7,7.4,7.6,80,448256,3368479.6
7/18/23,7.4,7.7,7.1,7.6,138,933936,7023113.8
7/17/23,7.2,7.5,7.2,7.3,69,142369,1047197.5
7/14/23,7.3,7.3,7.1,7.1,81,209891,1502201.3
7/13/23,7.1,7.4,7.1,7.4,56,166709,1229210.4
7/12/23,7.3,7.4,7.2,7.2,78,193790,1399935.4
7/11/23,7.1,7.3,6.9,7.2,75,281181,2011567.7
7/10/23,7.2,7.2,6.9,6.9,40,75743,530641.4
7/7/23,7.1,7.2,6.9,7.1,48,136093,962210.6
7/6/23,6.7,7.1,6.7,7,31,58072,400859.4
7/5/23,6.5,7.2,6.5,7,267,1328561,9213851.5
7/4/23,6.2,6.5,6.1,6.5,89,324196,2082650
6/28/23,6,6.2,6,6,24,26311,158281.7
6/27/23,6,6.1,6,6,7,9444,56684.9
6/26/23,5.9,6,5.9,5.9,23,14776,87528.4
6/23/23,6.1,6.1,5.8,5.9,18,16074,95174.8
6/22/23,6,6.2,5.9,6,41,128995,767173.8
6/21/23,6,6.2,6,6,18,22393,134458.4
6/20/23,6.2,6.2,5.9,6,21,41902,252266.4
6/19/23,6.2,6.2,6.1,6.1,5,1026,6258.7
6/16/23,6.3,6.3,6,6,27,32133,195339
6/15/23,6.1,6.3,6.1,6.2,45,155913,959196.5
6/14/23,6.3,6.3,6,6.1,20,20515,126731.8
6/13/23,6.3,6.3,6,6,51,70504,423689.1
6/12/23,5.8,6.2,5.8,5.9,56,93286,553812.7
6/9/23,5.7,5.9,5.6,5.7,7,2176,12403.3
6/8/23,5.9,5.9,5.7,5.7,11,5248,29948.8
6/7/23,5.8,5.9,5.7,5.7,13,27527,157316.4
6/6/23,6,6,5.7,5.8,11,1752,10108.1
6/5/23,6,6,5.9,5.9,12,5742,33880.6
6/2/23,5.9,6,5.7,5.8,33,122427,715978.3
6/1/23,5.8,5.8,5.8,5.8,12,7345,42601
5/31/23,5.5,5.6,5.5,5.5,6,513,2821.6
5/30/23,5.6,5.6,5.5,5.5,25,17365,95592.5
5/29/23,5.8,5.9,5.5,5.6,37,57129,321640.1
5/26/23,5.8,6,5.8,5.9,10,8838,51351.7
5/25/23,6,6,5.6,5.7,34,68653,404926.8
5/24/23,5.8,6,5.8,5.9,20,20132,118779.8
5/23/23,5.9,5.9,5.6,5.7,44,188491,1064908.7
5/22/23,5.8,6.1,5.5,5.7,44,60340,339363.2
5/19/23,5.9,6.1,5.8,5.8,38,66059,383663
5/18/23,5.9,6.1,5.8,5.8,35,80952,473609.5
5/17/23,6,6,5.8,5.8,37,28325,166244.2
5/16/23,6.1,6.3,5.8,5.8,44,90082,532990.6
5/15/23,6.5,6.5,6,6,16,40002,241724.8
