Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,18,18.8,17.7,18.1,54,143141,2576393.4
10/12/23,19,19,18,18,98,171141,3088895.9
10/11/23,19,19.5,18.3,19,48,386342,7399544.4
10/10/23,18.2,19,18.2,19,28,40712,772171.5
10/9/23,19.2,19.2,18.4,18.5,47,23195,430599.5
10/6/23,19.8,19.8,19.2,19.2,13,11381,218599
10/5/23,19,19.9,19,19.6,32,13648,262665.3
10/4/23,19.9,19.9,19,19.6,64,31133,603460.8
10/3/23,19.9,20,19.6,19.9,37,51304,1020258.6
10/2/23,20,20.3,19.3,20.2,55,153109,3071774
9/27/23,20.2,20.6,19.1,20.5,80,163909,3341937.1
9/26/23,20,20.2,19.5,20.1,23,26094,524152.7
9/25/23,20.2,20.2,19.9,20.1,37,83717,1678857.4
9/22/23,19.5,20.2,19.4,20.1,54,82317,1652372.3
9/21/23,20.2,20.2,18.6,19.9,60,33018,644947.6
9/20/23,20.6,20.6,20.2,20.2,38,41751,853596.6
9/19/23,19.8,20.6,19.8,20.2,164,274766,5520119.5
9/18/23,20.5,20.5,19.5,19.9,101,134677,2657106.7
9/15/23,20.7,20.7,20.3,20.5,84,137583,2815474.5
9/14/23,19.5,21,19.5,20.5,513,873468,17894623.4
9/13/23,18.6,19.6,18.5,19.3,256,647298,12362444.3
9/12/23,18.8,18.8,18.2,18.4,59,128483,2363653.8
9/11/23,18.1,18.9,18,18.5,184,336569,6218129.1
9/8/23,17,18.4,16.8,18,144,397948,7021124.4
9/7/23,17,17,16.7,16.9,37,60336,1016078.7
9/6/23,17,17.2,16.8,16.8,29,25051,422962.5
9/5/23,17,17,16.7,16.9,25,37848,637180.5
9/4/23,17.3,17.3,16.8,16.8,56,62772,1059074.1
9/1/23,17.3,17.3,16.8,16.9,25,40773,688462.4
8/31/23,17.3,17.3,16.8,17,31,45755,770901.3
8/29/23,16.6,17.5,16.4,16.8,68,90913,1542472.6
8/28/23,16.7,16.8,16.4,16.6,17,16295,270291.2
8/25/23,16.5,16.7,16.4,16.4,30,40047,659195.5
8/24/23,16.4,16.8,16.4,16.5,103,124876,2074127.9
8/23/23,16,16.4,16,16.3,46,25954,419699.4
8/22/23,16.4,16.9,15.9,16,71,66528,1069065.3
8/21/23,17,17,16.4,16.5,34,26452,436025.8
8/18/23,16.8,17,16.7,16.7,33,52763,883534
8/17/23,17.3,17.3,16.7,16.7,42,116153,1946875.7
8/16/23,17,17.3,16.9,16.9,34,46810,793010.3
8/15/23,17.1,17.4,16.8,17,24,22746,386078
8/14/23,17,17.3,16.9,16.9,50,76320,1291775.5
8/11/23,17.2,17.4,17.2,17.2,4,301,5187.4
8/10/23,17.6,17.6,17,17.5,23,40869,695348.3
8/9/23,17.4,17.6,17.1,17.1,35,52640,911198.8
8/8/23,17.4,17.6,17.2,17.5,22,54971,957178.6
8/7/23,17.5,17.7,17.4,17.4,29,26903,470470.9
8/4/23,17.7,18,17.6,17.7,43,60512,1071552.9
8/3/23,17.8,18,17.7,17.8,53,67190,1196439.4
8/2/23,18.2,18.2,17.8,17.8,29,103120,1844892.3
7/31/23,17.8,18.4,17.7,17.8,43,26576,473148.8
7/28/23,17.8,18.4,17.8,18.2,57,79620,1434024
7/27/23,17.8,17.8,17.6,17.7,44,109323,1926304.5
7/26/23,17.5,17.9,17.5,17.6,27,12583,221129.1
7/25/23,18,18,17.4,17.6,54,47954,843556.5
7/24/23,17.9,18.2,17.6,17.8,36,90039,1607807
7/21/23,18,18.3,17.9,18,43,31113,560493.3
7/20/23,18.1,18.3,17.9,18,50,103619,1870736.5
7/19/23,18.1,18.5,17.5,17.9,72,140483,2521517.7
7/18/23,18.1,18.3,18,18.1,44,56696,1031740.5
7/17/23,18.2,18.7,18.1,18.2,72,133531,2437712.1
