Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,400,400,400,418.25,2,25,10000
10/12/23,418,418,418,418.25,1,2,836
10/11/23,401,401,401,418.25,1,2,802
10/10/23,419.5,419.5,419.5,418.25,2,10,4195
10/4/23,419,419,419,418.25,1,3,1257
10/3/23,410.5,420,390,418.25,9,508,212454.25
10/2/23,400,420,400,407.25,12,248,101001.5
9/27/23,399.75,400,399.75,400,3,103,41199.75
9/20/23,408,408,408,363.75,1,1,408
9/12/23,376,376,376,363.75,1,1,376
9/7/23,376,376,375,363.75,2,27,10133
9/6/23,381.75,381.75,381.75,363.75,1,1,381.75
9/5/23,361.5,374.75,360,363.75,8,264,96018.25
9/1/23,409.75,409.75,395,410.5,4,16,6334.75
8/23/23,378,408,378,410.5,4,8,3234
8/22/23,378,378,378,410.5,1,1,378
8/21/23,377.25,377.25,377.25,410.5,1,1,377.25
8/17/23,430,430,430,410.5,1,1,430
8/16/23,414.75,414.75,414.75,410.5,2,11,4562.25
8/15/23,398.25,415.25,398.25,410.5,7,104,42683
8/14/23,398.25,398.25,398.25,375,1,5,1991.25
8/9/23,380,380,380,375,3,13,4940
8/8/23,371.75,389.75,371.75,375,4,18,6956.25
8/2/23,377,377,375,375,2,2,752
7/28/23,384,384,375,375,5,96,36180
7/27/23,384.75,384.75,384.75,375,1,10,3847.5
7/26/23,387.75,387.75,383,375,2,3,1158.5
7/25/23,370.25,391.75,370.25,375,5,6,2299
7/24/23,365,393.75,365,375,3,5,1903.75
7/21/23,375,375,375,375,1,13,4875
7/20/23,389.75,389.75,389.75,375,1,1,389.75
7/19/23,376.5,377,376.5,375,4,4,1507.25
7/17/23,375,375.5,375,375,3,12,4505
