Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,69.9,70,66.5,69.9,10,175,12229.3
10/12/23,70.1,70.9,64,70.4,31,15953,1110464.8
10/11/23,75,75,70,70.1,62,5451,386033.1
10/10/23,75,75,74,74,8,644,47660
10/9/23,74.9,75,71.4,74.7,21,8293,617108.5
10/6/23,75.9,76,73,73,34,4156,305159.3
10/5/23,74.2,74.8,73,73.7,76,36959,2723225.4
10/4/23,75.5,75.9,74.3,74.8,18,2210,166142.3
10/3/23,75,78.5,74.3,75.4,45,6339,484227
10/2/23,80,80,75,75,97,10302,781647.2
9/27/23,78.5,80,77.5,77.5,16,2435,190679
9/26/23,80,83,78.5,79.8,174,36882,2971888.1
9/25/23,85,90.9,85,89.1,184,54677,4838892
9/22/23,90.1,91,89,90.1,105,30105,2717712.4
9/21/23,91.7,91.7,89.5,90.1,76,27157,2452090.5
9/20/23,91.5,91.8,90.8,91.2,49,5821,531636.3
9/19/23,91.5,91.6,91,91.1,74,7167,653311.4
9/18/23,91.1,91.9,91.1,91.5,43,5709,523998.9
9/15/23,91.9,91.9,90,91.1,103,23797,2159244.1
9/14/23,91.9,92.6,91.7,91.9,63,12358,1137930.5
9/13/23,92.5,92.5,91,91.9,47,2993,275038.1
9/12/23,91.5,92.5,91.5,92.3,46,10718,988545.3
9/11/23,92.5,92.5,91.6,91.9,56,9955,917200.6
9/8/23,92.8,92.8,91.6,92.2,37,11129,1027861.3
9/7/23,91.5,93,91,92.5,60,11004,1009117.5
9/6/23,93.6,94,89,92.8,161,24578,2255430.7
9/5/23,93.8,97,93.3,93.9,111,22547,2117007.3
9/4/23,98,98,93.3,94.4,203,54418,5156885
9/1/23,96,96.7,93.5,95,214,97961,9297968.5
8/31/23,96,98,92.6,98,484,369693,35620114.2
8/29/23,88,94,86.5,92.3,767,520317,46280334.7
8/28/23,78.3,82,78.3,81,109,105743,8457295.1
8/25/23,75.2,78,75.2,77.8,17,16503,1283698.1
8/24/23,78.1,78.1,75.1,75.1,6,911,70768.1
8/23/23,74.6,78.4,74,76.7,25,9161,694808.5
8/22/23,78,78.5,78,78.3,14,3589,280975.2
8/21/23,73.5,79.4,73.5,75.8,93,2659402,212295931
8/18/23,75.1,77.8,75,75,26,35349,2651192.6
8/17/23,72.1,76.9,72,75,51,57933,4332500
8/16/23,75,75,70,72,56,49478,3526317.1
8/15/23,79,79.9,79,79.7,4,2100,167340
8/14/23,78,82,74.3,80.6,35,16620,1331368.9
8/11/23,77.7,78,77.7,78,9,2300,179342.5
8/10/23,74.3,77,74.3,77,3,200,15130
8/9/23,78,78,74,76.1,22,4532,345275.6
8/8/23,78.8,79.8,76.3,76.5,24,5670,448646.3
8/7/23,76.7,76.7,76.5,76.5,8,1067,81628.2
8/4/23,76.3,79.8,76.3,79.8,7,3005,239691.2
8/3/23,76.2,79.7,76,79.1,19,5782,440714.8
8/2/23,79.5,79.8,76,78.7,16,3012,239002.2
7/31/23,82.3,82.3,79.4,79.8,16,800,63839.4
7/28/23,84.7,84.7,80,80.3,15,657,52875.4
7/27/23,81,84.8,81,84.3,44,20638,1710119.4
7/26/23,80.1,82.5,80,81.9,27,20586,1677165.5
7/25/23,79.8,84.9,79.5,81.3,56,20148,1623578.9
7/24/23,78.5,84.9,78.5,80,72,42417,3397857.4
7/19/23,78.4,78.4,75.1,75.9,11,789,60997.9
7/18/23,75,78.5,75,78.4,19,1669,125519.1
7/17/23,74.8,78.8,74.8,75,23,7895,590742.9
