Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,22.7,22.7,21.9,22,47,54581,1209221.7
10/12/23,22.8,22.9,21.7,22,75,59066,1307895.2
10/11/23,22.8,23,22.2,22.8,38,67578,1536929.4
10/10/23,23.2,23.9,22.8,22.8,22,2634,61040.1
10/9/23,23.3,23.8,22.2,22.9,50,77522,1741926.2
10/6/23,23.4,23.5,23.2,23.5,3,1328,31169.6
10/5/23,23.5,24,23,23.2,36,43521,1004529.1
10/4/23,23.9,24,23.1,23.3,44,47534,1119267.7
10/3/23,23.2,24.2,23.2,23.3,40,60391,1411151.3
10/2/23,24.4,24.4,23.3,23.5,112,97829,2339213.3
9/27/23,25.3,25.3,24.1,24.4,57,67821,1658410.3
9/26/23,24.9,24.9,24.5,24.6,21,9669,239277.7
9/25/23,24.6,25,24.6,24.6,22,24410,601347
9/22/23,24.7,24.8,24.4,24.5,46,26449,648225.9
9/21/23,24.7,24.9,24.6,24.6,10,9007,222433.4
9/20/23,25,25.2,24.6,24.8,26,66763,1654839.8
9/19/23,25.2,25.2,24.6,25,52,66651,1653496.2
9/18/23,24.8,25.8,24.5,24.6,74,54592,1357702
9/15/23,25,25,24.7,24.8,35,44494,1105919.5
9/14/23,25.3,25.5,24.7,25,125,190091,4760315.3
9/13/23,25.3,25.9,25,25.3,54,49079,1245053.2
9/12/23,25.9,26,25.3,25.4,73,242423,6217920.3
9/11/23,26.1,26.1,25.5,25.6,63,69165,1784289.8
9/8/23,26.4,26.6,25.8,26,70,20035,525234
9/7/23,25.6,26.4,25.3,26.3,112,162630,4219768.8
9/6/23,25.6,25.8,25.1,25.2,90,151168,3817549.3
9/5/23,26.4,26.4,25.6,25.8,156,246494,6380548.1
9/4/23,28.2,28.2,26.2,26.4,195,133226,3556191.2
9/1/23,28.1,28.2,27.6,28.1,136,267001,7459336.8
8/31/23,27.3,28.3,27.3,28.1,361,790883,22092386.8
8/29/23,26.3,27.2,26,26.9,160,251585,6694196.7
8/28/23,26,27.4,26,26.5,111,70404,1873255.6
8/25/23,24.2,26,24,25.6,127,354017,8970657.5
8/24/23,24.3,25.5,24,24.1,119,169713,4179698
8/23/23,24.7,24.7,24.2,24.5,29,59560,1458869
8/22/23,24.4,24.9,24,24.1,118,80726,1949975.9
8/21/23,25,26,24.5,24.7,96,162199,4076514.9
8/18/23,25.3,25.9,24.7,24.9,90,119761,2990821.3
8/17/23,26.6,26.6,25,25.4,126,217121,5513103.5
8/16/23,25.2,26.7,25.1,26.2,236,305184,7958671.7
8/15/23,27,27.9,26,26.1,78,168630,4502900.8
8/14/23,28.1,28.1,26.8,26.9,75,144601,3924418.3
8/11/23,28.1,28.4,27.4,28.1,180,443426,12413146.1
8/10/23,26.2,28,26,27.8,463,1807726,49316014.7
8/9/23,26.3,26.3,25.4,25.6,47,78095,2012867.3
8/8/23,26.1,26.5,25.9,26.1,74,110393,2872538.7
8/7/23,26.5,26.5,25.7,26.1,108,158388,4125547.1
8/4/23,26.9,27,26.4,26.5,83,105900,2825235.4
8/3/23,27.1,27.1,26.6,26.9,103,158695,4271280.1
8/2/23,28.5,28.5,27,27.1,182,245536,6745500.8
7/31/23,27.9,28.9,27.7,27.9,83,139458,3895767.3
7/28/23,28.8,28.8,28,28.1,41,46656,1310590
7/27/23,28.2,28.9,28,28.2,68,180267,5135937.7
7/26/23,28.7,29.5,28,28,302,1005276,28803988.6
7/25/23,27.9,29.5,27,28.5,406,1209925,34775976
7/24/23,28,28.4,27.9,28,100,344105,9699301.9
7/21/23,27,28.6,27,28.1,442,1420958,39623546.3
7/20/23,27.4,27.4,26.9,26.9,72,197631,5342709.5
7/19/23,26.4,27.4,26.4,27,96,517071,13823946.9
7/18/23,27,27.1,26.3,26.8,77,129002,3449517
7/17/23,26.4,27.5,26.4,27,99,229648,6206531.6
7/14/23,27.9,28.3,27,27.1,103,244486,6648688.4
7/13/23,26.1,28.6,26.1,27.8,519,1727204,47907405.7
7/12/23,26.5,26.6,26.1,26.3,340,603005,15901585.1
7/11/23,25.9,26.3,25.2,25.9,131,338092,8669807.1
7/10/23,24.5,26,24.2,25.9,354,1206341,30235134.2
7/7/23,24.3,24.7,24,24.3,107,215107,5249346.1
7/6/23,24,24.5,24,24.1,84,96143,2333560.1
7/5/23,24.3,24.3,23.4,23.6,107,336656,8060770.1
7/4/23,23.9,24.1,22.8,23.8,112,124380,2900252.6
6/28/23,23.5,23.9,22.4,22.9,115,150494,3457350
6/27/23,23.1,23.1,22.6,22.7,99,175176,3983192.6
6/26/23,22.8,23.8,22.7,22.9,62,72845,1667797.1
6/23/23,24,24,22.9,23,40,13696,315972
6/22/23,24.4,24.4,23.3,23.6,33,108728,2562156.4
6/21/23,23.9,24,23.2,23.5,55,342792,8056037.8
6/20/23,23.9,24.6,23,23.1,47,35271,817142.6
6/19/23,24.2,24.5,23.1,23.2,103,14374,337117.1
6/16/23,24,24.1,23.1,23.4,58,261431,6268729.1
6/15/23,23.5,24.5,23.5,23.6,79,101306,2427705.1
6/14/23,23.7,23.9,23,23.5,85,266882,6225084.9
6/13/23,24,24,23.2,23.4,30,36532,854247.6
6/12/23,23.9,24.1,22.9,23.4,54,71529,1647315.5
6/9/23,23,24,23,23.1,108,279953,6499625.7
6/8/23,23.4,23.9,23,23.3,68,78497,1819269.3
6/7/23,23.6,24.6,23.4,23.4,73,105421,2476492.8
6/6/23,23.6,25.7,23.6,24,54,69583,1748859.6
6/5/23,25.4,25.4,23.5,23.5,72,193882,4562376.8
6/2/23,25.7,25.7,24.1,24.2,56,88081,2187647.1
6/1/23,25.1,25.7,24.6,24.8,113,188930,4786508
5/31/23,25,25.6,23.5,25.1,81,61113,1529155.7
5/30/23,23.7,24.9,23.5,24.5,29,22523,540969.3
5/29/23,25,25.2,23.8,24.4,63,261833,6329197.6
5/26/23,24.3,25.3,24.3,24.5,36,188403,4611002.9
5/25/23,25.3,25.4,24.2,24.7,56,515413,13020366.1
5/24/23,24.5,24.9,23.8,24.9,20,28349,693932.1
5/23/23,23.4,24.9,23.2,24.3,58,103794,2497705.9
5/22/23,24.8,24.9,23.6,23.8,55,69795,1684229.9
5/19/23,24.4,24.8,23.9,24.8,36,27632,670525.8
5/18/23,24.6,25,24,24.9,17,16345,395739.4
5/17/23,24.8,25.7,24,25,35,43625,1074081.9
5/16/23,26.4,26.4,25,25.6,30,6005,150978.4
5/15/23,26.3,26.7,25,25.2,120,219691,5654961.1
5/12/23,24.6,26.5,24.6,26,202,332981,8592403
5/11/23,24.2,25,24,24.6,17,4377,105635.3
5/10/23,25.5,25.5,25,25,6,322,8060.6
5/9/23,25.5,25.5,24.1,24.2,27,60407,1506137.3
5/8/23,25.7,25.7,24,24.9,22,12325,305978.5
5/4/23,25.5,25.5,24,24.4,8,5354,129247.5
5/3/23,23.2,25.7,23.2,24,23,35206,883328
5/2/23,25.7,25.7,23.5,24.4,72,62956,1507646.9
4/28/23,25.5,25.5,24.4,25.1,25,24419,600430.9
4/27/23,25.1,26.5,24.3,24.5,71,68328,1697032.5
4/26/23,26.5,26.5,25.7,25.7,9,237,6175.4
4/25/23,25.6,25.6,24.2,24.5,66,36681,905117.1
4/24/23,27,27,25,25.2,30,29742,757115.3
4/21/23,27,27.1,25.5,25.5,34,15516,398590.6
4/20/23,26.9,26.9,25.5,25.6,31,68578,1758766.3
4/19/23,27.5,27.5,26,26,27,70549,1835653
4/18/23,26.5,27.6,26.5,26.6,19,12823,341070.3
4/17/23,27,27.7,26.5,26.9,34,41561,1118457.5
4/12/23,27.5,27.8,27.3,27.4,52,137627,3801025
4/11/23,25.7,27.5,25.7,27.2,117,290115,7788229.7
4/10/23,25.1,26.3,25.1,25.8,39,50652,1306399.3
4/6/23,26.3,26.3,25.1,26,10,10756,279546.7
4/4/23,25,25.9,24.5,25.1,25,12231,306477.8
4/3/23,26.4,26.4,25,25.2,30,36011,904335.2
3/31/23,25.2,25.6,24.8,25,63,193192,4833298.4
3/30/23,26.4,26.4,25.3,25.4,6,1095,28311.5
3/29/23,25,26.4,25,25.8,44,78901,2009928.8
3/28/23,25.4,26.8,25,25.5,62,67805,1706727.3
3/27/23,27,27,25,26.6,55,379932,10101658.2
3/24/23,27,27.5,26,27,53,75236,2002410.6
3/23/23,25.7,27.5,25.7,26.8,27,29489,795324.2
3/22/23,26.1,27.2,25.7,26,51,104750,2754829.4
3/21/23,26.9,27.9,26.1,26.3,50,12284,325905.6
3/20/23,28,28,26.6,27.1,40,40305,1097618.3
3/17/23,28,28,26,27.6,23,6357,169184
3/16/23,27.1,27.5,27,27.3,67,119924,3261043.4
3/15/23,25.4,27,25.4,26.6,54,71128,1878027.7
3/14/23,26.2,27.4,25,25.4,106,297420,7577796.2
3/13/23,27.3,27.3,26.2,26.3,48,57683,1519315.8
3/10/23,27.3,27.7,26,26.2,66,88540,2343117.2
3/9/23,27.4,27.9,27,27,48,39656,1076696.8
3/8/23,25.5,29.2,25.5,27.1,174,765909,20957579.2
3/7/23,29,29,26.3,26.9,244,469397,12809838.5
3/3/23,30.6,30.6,29,29.4,127,113835,3376350.4
3/2/23,30.5,31.5,30,30.6,25,21903,663067.1
3/1/23,30.8,30.8,30.1,30.5,76,187351,5707450.1
2/28/23,30.9,31.5,30.9,30.9,17,29200,902820
2/27/23,31.7,31.7,30.8,31,21,216397,6753741.2
2/24/23,31.5,31.8,31.2,31.4,101,321206,10104127.1
2/23/23,30.7,31.5,30.7,31.4,22,159365,5006238.5
2/22/23,31.7,31.8,31.1,31.5,31,69514,2171709.6
2/21/23,31.3,31.9,30,31,127,907637,28081738.6
2/20/23,32,32.2,31.5,31.8,56,192316,6130490.2
2/17/23,32,32,31,31.7,16,15181,475290.4
2/16/23,31.1,32.3,31.1,31.5,64,203732,6458261.1
2/15/23,31,32,31,31.2,44,36660,1139295.7
2/14/23,31.1,32.5,31,31.1,83,831500,28851079.8
2/13/23,31.9,31.9,30.2,31.3,36,45144,1379490.5
2/10/23,31.7,32.5,31.5,31.5,25,74900,2368184.3
2/9/23,32,32,31.8,31.9,22,64713,2060895.2
2/8/23,31.9,32.5,31.8,32,54,140781,4495967.2
2/7/23,32.9,33,31.1,32,41,145792,4593689.5
2/6/23,32.6,33.6,32.1,32.8,18,13460,441220.9
2/3/23,32.8,33.4,32.7,32.9,38,60233,1980549.5
2/2/23,31.6,33.6,31.6,32.7,99,684777,22376436.9
2/1/23,32.9,33.4,32,32.4,79,186693,6023698.3
1/31/23,32.5,33.8,32.5,32.6,125,865553,28384427.9
1/30/23,31.1,32.5,31.1,32.2,96,288910,9241673.2
1/27/23,32.6,33,32,32.3,80,210933,6790675.9
1/26/23,33.3,34,33,33,51,109319,3624872.3
1/25/23,34.1,34.1,33.3,33.4,53,96512,3238848.5
1/24/23,35,35.4,33.7,34,112,553817,19041003.6
1/23/23,34.9,35.7,34.1,34.9,424,2032263,71164139.1
1/20/23,32.8,34.1,32.8,34,395,2201498,74416159.3
1/19/23,31.1,32.8,31,32.4,81,306850,9905118
1/18/23,31.1,32,31,31.5,32,41276,1286556.4
1/17/23,30,31,30,30.7,53,115150,3479975
1/13/23,31,31,29.6,30,72,208461,6290071
1/12/23,31.6,32.1,30.9,31,168,916002,28418813.6
1/11/23,31.5,32.9,31.5,32.2,130,448494,14472338.1
1/10/23,33,33,30.7,31.4,92,160201,5038974.5
1/9/23,32.3,32.3,31.2,31.6,74,165980,5254025.6
1/5/23,32.6,33.5,32.2,32.8,81,496594,16303462.1
1/4/23,34,34,32.2,32.4,63,222174,7283939.5
1/3/23,32.5,34,31.3,33.5,247,858657,28144481.7
1/2/23,32.4,32.9,31,32.4,108,382287,12216667.8
12/30/22,32,32.5,31.1,31.5,96,187911,5945629.2
12/29/22,31.1,32.5,30,31.6,102,712686,22195120.8
12/28/22,32.5,33.4,31,31.1,53,108573,3386405.6
12/27/22,30.1,33.5,30.1,32.1,153,543351,17770347.3
12/23/22,30.9,32.4,30,30.6,83,970945,29278490.1
12/22/22,30.7,31.7,29.8,30.9,78,135966,4159461.4
12/21/22,31.4,32,30.1,31,141,454306,13930769.9
12/20/22,33,33.5,31.1,32.3,91,396238,12880311.6
12/19/22,33.9,35,32.6,33.6,101,452121,15294726.6
12/16/22,34,35,34,34.3,232,1388592,48096713.5
12/15/22,34.4,35.2,34,34.3,273,989486,34341671
12/14/22,32.7,34.6,32.7,33.9,326,1317659,44962967.2
12/13/22,33.2,33.9,32.5,32.9,147,251382,8254175.1
12/12/22,33.6,33.9,33,33.5,99,118424,3949556.9
12/9/22,33.5,34.2,33,33.3,178,605445,20522930.5
12/8/22,34,34.5,33.3,33.6,231,583287,19775311.3
12/6/22,32.6,34.2,32.4,33.8,514,1432774,48010930.3
12/5/22,32.5,33.3,32,32.4,202,504074,16470691.5
12/2/22,32.5,32.5,30.9,32.1,277,1078667,34416713.2
12/1/22,31.9,32.7,31,31.3,270,1021009,32774689.5
11/30/22,31,32.5,30.1,31.1,298,803078,25397388.2
11/29/22,30,31,29.1,29.7,284,1210480,36287232.3
11/28/22,29.6,30.4,28.6,29.7,287,2483541,73038965.8
11/25/22,29,30.5,28.6,29.6,324,2305080,68918435.8
11/24/22,30.5,31.4,28.6,29,392,1437713,42770852.2
11/23/22,30,32.3,30,30.9,805,2117019,65352966
11/22/22,25,31,25,29.6,1077,3925074,112100257.3
11/21/22,22.1,25,22,24.4,312,880886,20892397.6
11/18/22,25.7,26.6,21,22.2,291,762093,17738616
11/17/22,27,28,25,25.6,117,261714,6725782.4
11/16/22,28.2,28.2,26,26.8,118,238978,6340585.3
11/15/22,29,29.7,27.4,27.6,110,308168,8668539.8
11/14/22,30.2,30.2,28.6,28.8,122,395146,11649769.4
11/11/22,28.5,30.5,28.5,29.9,280,1292633,38850596.6
11/10/22,28.2,29,27.5,28.6,189,958506,27011176
11/9/22,28.5,28.5,26.5,28,234,906895,24814475.4
11/8/22,30.5,31.5,26.2,28.3,217,456859,13097498.4
11/4/22,31.8,32.5,30.6,30.8,82,305404,9478260.8
11/3/22,32.3,32.5,30.8,31.4,129,426363,13434680.3
11/2/22,33,33.5,32.3,32.5,88,181058,5944946.2
11/1/22,32.9,33.7,32.2,33,116,218724,7237987.6
10/31/22,33,33.6,32.1,32.6,117,507159,16660773.6
10/28/22,34.9,35.1,33,33.9,160,535273,18438923.1
10/27/22,33.6,34.8,33,34.5,170,447583,15413512.3
10/26/22,33,34,32,33.6,94,280159,9328270.4
10/25/22,34.6,35,32.7,33.1,176,693157,23158927.3
10/21/22,35,35.9,34,34.7,262,1240351,42956775.8
10/20/22,36,36.5,34.7,35.1,219,583473,20722881.3
10/19/22,36,36.8,35,35.7,430,1490513,53782052.6
10/18/22,33.5,35.9,32.5,34.9,363,1828869,62929507.6
10/17/22,34.1,34.8,33,33.5,183,914226,30625447.7
10/14/22,34.8,35.7,33.5,33.7,191,488643,16755687.4
10/13/22,34,35.4,33,34.8,362,1234238,42339448.3
10/12/22,31,33.8,29,32.9,326,905408,28676688.1
10/11/22,32.9,33,30.6,31.2,244,1214194,38700276.9
10/7/22,33.7,34.1,32,33.7,179,405398,13552680.1
10/6/22,34.8,35.4,33.1,34.6,259,1772346,61256116.2
10/5/22,32.9,34.9,32.9,34.4,259,747144,25561970.4
10/4/22,34.7,35.5,30.5,32.3,599,2453191,81076597.1
10/3/22,37,37,34,35,237,849363,30135662.1
9/30/22,35.6,36.9,35.3,36.2,227,1041369,37402128.6
9/29/22,37.7,37.7,36,36.1,221,605522,22033394.8
9/28/22,36.3,37.9,36.1,37.5,300,902129,33355252.1
9/27/22,37,37,35.5,36.1,434,1691678,61133634.1
9/26/22,37.2,37.5,36.3,36.8,317,1153640,42397808.1
9/23/22,38,38.4,37.1,37.5,395,1859467,70081358.5
9/22/22,36.5,38.9,35.8,37.9,966,5998093,223883282
9/21/22,35.3,36.8,35,36.4,658,3150737,114060707.4
9/20/22,35,36.8,34.7,35.2,945,4204000,149600576.7
9/19/22,34.9,35.8,34,35,1078,5797240,201326692.8
9/16/22,31,34.4,31,33.9,1369,5771945,191687528.1
9/15/22,30.6,31.7,28.9,30.7,392,1596287,48116418.7
9/14/22,31,31.7,29.5,30.2,504,2373552,72158750.4
9/13/22,32,32,30.8,31.2,307,1292157,40746987.7
9/12/22,31.5,32.7,31,32.1,365,2208177,70493338
9/9/22,32,32.2,30.9,31.7,415,2445275,77276816.5
9/8/22,33.2,34,31.5,32,694,2659172,86333097.7
9/7/22,29.2,33.2,29.2,32.4,1504,7170125,227985983.1
9/6/22,30.2,30.2,28.5,29.1,291,1289188,37468465
9/5/22,28.5,30.5,27.5,29.7,602,2683666,77863283.9
9/2/22,30,30.5,28.4,29,489,1546807,45551363.6
