Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
12/22/17,3.1,4.3,3,3.5,292,3220878,10782134.2
12/21/17,3,3.1,2.8,3.1,100,676073,2019156.4
12/20/17,3.2,3.5,3,3,137,503278,1578735.1
12/19/17,3.6,3.7,3,3.2,65,1115945,3602854.5
12/18/17,3,3.8,2.5,3.4,137,795305,2498454.1
12/15/17,4.5,4.5,3.6,3.7,101,377756,1473067.5
4/11/05,8.75,9,7.5,8.5,58,85900,706025
4/8/05,9,9.25,9,9.25,28,20200,183700
4/7/05,11,11,9.5,9.5,12,7800,76525
4/6/05,13,13,11.5,12,8,4000,47700
4/5/05,13.5,13.5,13,13,7,15600,207800
4/4/05,15,16,14,14.5,26,26600,404850
4/1/05,8,16.75,8,13.75,56,75100,1017500
11/30/04,0.1,0.3,0.1,0.2,69,560000,107710
11/29/04,0.1,0.3,0.1,0.2,29,295100,59540
11/23/04,1.5,1.5,1.25,1.5,4,50800,75450
11/22/04,1.5,1.5,1.5,1.5,5,17000,25500
11/19/04,2.5,2.75,2,2.25,7,29400,77000
11/18/04,2.75,2.75,2,2.25,10,44000,102450
11/17/04,3,3,2.5,2.5,5,26400,74400
