Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,63.1,63.5,62.7,63,22,1013457,63948076.8
10/12/23,64,64,62,63.3,31,3889,245823
10/11/23,65.4,65.5,63.5,64,22,4404,282639.5
10/10/23,62.9,66,62.5,63.1,39,15563,987605.6
10/9/23,64.6,64.6,62,63.7,64,43808,2797851.3
10/6/23,65.4,65.9,65,65,18,8409,546885.7
10/5/23,65.9,66,65.4,65.4,11,3447,226787.4
10/4/23,64.8,65.9,64,65.4,49,12155,781589.1
10/3/23,66.1,66.5,65,65,42,30108,1958491.2
10/2/23,66.7,66.7,65,66,29,4542,299101.9
9/27/23,66.4,67.9,65,66.7,39,12580,832975.5
9/26/23,66,66.9,66,66.1,19,10792,713964.1
9/25/23,67.5,67.5,65.6,65.9,36,9867,653436.9
9/22/23,66.1,67,66.1,66.5,22,24500,1626558.3
9/21/23,67,67.2,66.6,66.7,17,5750,384659
9/20/23,66,67.7,65.9,66.6,14,2967,196501.2
9/19/23,66.4,67,66,66.1,36,20974,1389894.7
9/18/23,67.5,68.6,66.5,66.5,18,6555,439668.6
9/15/23,66.7,68,66.5,67,27,92328,6179796.3
9/14/23,66.6,68.5,66.5,66.5,53,69824,4656654.2
9/13/23,67,67.9,66.5,66.7,59,58772,3916191.7
9/12/23,68,68,67,67,33,25297,1695867.2
9/11/23,67.7,68,67.5,67.5,22,7817,527967.5
9/8/23,68,68,67.5,68,21,4565,310326.6
9/7/23,68.3,69,67,67,41,28439,1936697.9
9/6/23,68.2,69,67.5,68.1,26,23176,1579989
9/5/23,68,69,67.7,68.1,48,61464,4181618.3
9/4/23,67.2,68.8,66.1,67.7,43,29121,1982939.6
9/1/23,66.2,67,66.1,67,23,22526,1504435.2
8/31/23,67.4,67.9,66,66.2,127,75232,5033268
8/29/23,68,68.8,67.6,68,43,16809,1146907
8/28/23,68,70,67.4,68.6,57,78825,5499889.6
8/25/23,68,69,67.5,67.8,30,17760,1209319.1
8/24/23,69,70,65,67.7,106,95099,6407541.8
8/23/23,70,72,68.5,68.6,80,50551,3526919.7
8/22/23,72,72,70,70,118,57534,4047471.5
8/21/23,72.8,73,70.9,71.5,146,101555,7351736.1
8/18/23,72.3,73,71,72.6,228,501426,36306403.4
8/17/23,70.3,72.5,70.3,72,256,535254,38441260
8/16/23,68.1,70.5,68.1,70.1,151,791710,55436810.2
8/15/23,70,70,68,68.1,69,30500,2110901.8
8/14/23,68.9,70.1,67.7,70,168,1153484,80674116
8/11/23,70,70,68.1,68.9,48,28570,1969232
8/10/23,69.7,70,69.4,69.9,87,207580,14525416.6
8/9/23,68.8,70,68,69.9,62,38663,2671279.5
8/8/23,69,70.1,68.6,69,75,113659,7847193.4
8/7/23,68.1,70.7,68,69.3,157,300995,20966580.5
8/4/23,68.1,69.1,67.7,68.1,134,212385,14503525.6
8/3/23,68,68.5,67.6,68.1,200,588362,40094078.2
8/2/23,67.9,68.4,67.9,68.3,89,195336,13285347.4
7/31/23,67.9,68,67,67.7,79,50758,3435542.9
7/28/23,67.8,68.9,67.7,68,153,279712,19031304.3
7/27/23,66.4,68.1,64.8,67.9,167,190016,12723958.7
7/26/23,65,66,65,65.1,80,67074,4398893
7/25/23,65,65.4,64.1,65,58,48265,3123905.2
7/24/23,64.5,65.4,64.5,65,65,193270,12563796.3
7/21/23,65.1,65.4,64,64.9,95,109012,7066789.7
7/20/23,67,67,64.6,65.4,147,116399,7636481.1
7/19/23,65.9,68.5,65,67.4,169,129438,8682056.7
7/18/23,63.2,66,63.1,65.4,70,53854,3482990.8
7/17/23,64.2,65.4,62.5,65,79,35674,2314446.2
7/14/23,63,64,62.3,63.6,49,26344,1670350.9
7/13/23,63.4,64,62,63,103,108396,6832673.4
7/12/23,61.3,64.2,61.2,63.4,104,82500,5162606.8
7/11/23,62,62,61.5,61.6,34,216742,13432408.2
7/10/23,60.9,62.9,60.9,61.6,85,69116,4243552
7/7/23,62,62.5,60.8,61,93,456866,28332393.4
7/6/23,62.1,62.1,60.7,62,91,310229,19182084.1
7/5/23,62,62.3,60,62,155,801329,49676146.3
7/4/23,60,62.9,58.1,61.3,359,905111,54495936
6/28/23,57,58.5,57,58.4,74,25658,1487353.3
6/27/23,57.5,57.9,56.8,57.1,54,31503,1798158.1
6/26/23,57,57,56,57,80,96257,5482524.6
6/23/23,57.4,57.5,56.8,56.9,30,126044,7177413.5
6/22/23,56.6,57.2,56.6,57,71,249637,14228587.8
6/21/23,57,57,56.9,56.9,70,244748,13950375
6/20/23,57,57.5,56.6,57,39,140158,7991537.3
6/19/23,56.6,57.9,56.6,57.4,44,304928,17513230.1
6/16/23,56.9,58,56.9,57.5,99,131623,7594963.1
6/15/23,56.4,57.5,56.4,57,66,37527,2139223.8
6/14/23,55,56.5,53.7,56,108,7114833,381426708
6/13/23,55,55,54,54.2,61,233427,12671351.5
6/12/23,54.5,55,54.5,54.8,121,257150,14122433.1
6/9/23,54.8,54.8,53.9,54.5,54,2112423,113122124.9
6/8/23,55,55.3,54.6,54.7,126,963606,52945733.9
6/7/23,54.1,55.5,54,55.1,34,29793,1623038.7
6/6/23,54.8,55,54,55,49,43574,2381683.9
6/5/23,53,54,51.1,53.4,27,5712,304718.3
6/2/23,52.9,53,50.7,52.5,17,6109,321179.1
6/1/23,50.1,53,50.1,52.9,36,12857,669662.3
5/31/23,50,51.2,50,51,7,1303,66452.4
5/30/23,51.2,51.8,50,50,133,385200,19533971
5/29/23,51.2,52.4,51.2,51.5,20,6859,354247.3
5/26/23,52.5,52.5,52,52.1,36,20473,1067984.3
5/25/23,51.1,52,51.1,52,10,7213,373996
5/24/23,50.8,52,50.8,51.9,34,15058,768558.7
5/23/23,51,51,50.8,50.8,25,27779,1411830
5/22/23,51,51.9,50.9,51,10,2520,128571
5/19/23,52,52,51,51.1,22,24180,1236590
5/18/23,52,52.2,50.8,51,36,35693,1840752.8
5/17/23,51.5,51.5,51,51,6,7000,357018.1
5/16/23,52,52,50.8,51,33,54229,2779141.5
