Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,6.4,6.4,6,6,10,13585,81563.8
10/12/23,5.9,6.3,5.9,6,12,3665,21791
10/11/23,6.1,6.4,5.9,6,53,252210,1503518.7
10/10/23,6,6.5,5.9,6.4,33,85330,537501.1
10/9/23,6,6.1,5.9,6,46,102174,607964.1
10/6/23,6.2,6.3,6,6,47,210445,1275321.2
10/5/23,6.6,6.6,6.2,6.2,7,811,5041.3
10/4/23,6.1,6.4,6.1,6.3,9,10560,65519
10/3/23,6.4,6.6,6.1,6.2,51,290381,1795026.1
10/2/23,6.5,6.8,6.2,6.3,38,166966,1082243.8
9/27/23,6.4,6.7,6.3,6.3,70,686965,4387645.5
9/26/23,6.5,6.6,6.3,6.3,17,282709,1808998.4
9/25/23,6.3,6.4,6.2,6.2,16,85700,534270
9/22/23,6.4,6.5,6.3,6.4,19,30714,197808.1
9/21/23,6.3,6.4,6.3,6.3,12,68827,433834.4
9/20/23,6.4,6.5,6.3,6.4,26,64049,408438.9
9/19/23,6.4,6.5,6.4,6.5,19,56200,362200
9/18/23,6.3,6.5,6.3,6.5,7,12176,76999
9/15/23,6.3,6.4,6.3,6.3,13,37271,235174.3
9/14/23,6.3,6.7,6.2,6.5,21,89013,576100.8
9/13/23,6.3,6.6,6.3,6.5,40,234655,1504323
9/12/23,6.3,6.4,6.3,6.3,12,15105,95172.5
9/11/23,6.4,6.4,6.2,6.3,24,185259,1152445.1
9/8/23,6.2,6.4,6.2,6.3,40,127043,788127.3
9/7/23,6.4,6.4,6.3,6.3,34,119875,756637.6
9/6/23,6.7,6.7,6.4,6.4,22,79054,521580.8
9/5/23,6.4,6.5,6.3,6.3,61,429969,2719101.1
9/4/23,6.6,6.6,6.3,6.4,23,45101,288809
9/1/23,6.6,6.6,6.4,6.5,25,50390,329294
8/31/23,6.6,6.6,6.5,6.6,3,260,1715.2
8/29/23,6.4,6.6,6.3,6.5,80,26831,172080.8
8/28/23,6.5,6.7,6.4,6.4,24,43676,282285
8/25/23,6.4,6.8,6.4,6.5,33,44006,283980.3
8/24/23,6.6,6.8,6.5,6.5,20,33929,222289.3
8/23/23,6.6,6.9,6.6,6.8,66,402029,2718019
8/22/23,6.3,6.5,6.1,6.3,59,207177,1303347.7
8/21/23,6.5,6.5,6.3,6.3,76,297569,1888857.5
8/18/23,6.5,6.6,6.4,6.5,34,67580,439477
8/17/23,6.6,6.9,6.4,6.5,38,152761,1017486.4
8/16/23,6.6,6.7,6.6,6.6,12,21795,144847
8/15/23,6.9,6.9,6.6,6.6,4,515,3401.9
8/14/23,6.8,6.9,6.6,6.8,19,19011,128832.9
8/11/23,6.6,6.9,6.5,6.9,59,457970,3108700.3
8/10/23,6.6,6.7,6.6,6.6,13,35860,237677
8/9/23,6.6,6.8,6.6,6.6,41,57164,377912.3
8/8/23,6.9,6.9,6.6,6.8,63,454114,3111298.7
8/7/23,6.9,6.9,6.5,6.5,73,437378,2863658.4
8/4/23,6.7,6.9,6.5,6.9,49,457265,3078555.9
8/3/23,6.9,6.9,6.6,6.6,46,126678,840184.3
8/2/23,6.8,7,6.5,6.7,68,381423,2569627.7
7/31/23,7,7,6.7,6.8,106,740580,5050486.2
7/28/23,7.2,7.3,6.9,6.9,70,345055,2458996.8
7/27/23,6.9,7.3,6.9,7.2,208,918008,6585439.4
7/26/23,6.9,6.9,6.7,6.8,58,239541,1607372.2
7/25/23,6.7,6.8,6.6,6.6,50,84707,561660.9
