Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,30.1,32.2,30.1,31.4,18,2556,81376.5
10/12/23,31,31.9,31,31.9,12,3135,99729
10/11/23,32.5,32.5,31,32.4,16,4176,132503
10/10/23,33,33,30,32.4,22,9349,294942
10/9/23,32.1,33,32,33,12,901,29333.5
10/6/23,34.8,34.8,32,33.9,12,1409,47913.8
10/5/23,34,34.9,33.9,34,8,2632,91722.8
10/4/23,31.5,33.5,31.3,31.6,21,24100,761610
10/3/23,33.3,34.5,32,33,15,1917,63846.5
10/2/23,33.4,34.5,33.4,33.5,11,2265,76226.6
9/27/23,34.5,35.5,34.5,35.5,9,4368,153696
9/26/23,34.5,35.9,34.5,35.5,13,11428,403419.8
9/25/23,33.3,35.2,33.3,35.1,5,2007,70372.8
9/22/23,35,35.7,35,35.1,7,10508,368285.6
9/21/23,36.2,36.2,35,35,14,851050,29786762
9/20/23,36.5,36.5,34,35.2,22,15441,540415.9
9/19/23,34.9,35,33.3,34.9,12,2236,77912.4
9/18/23,33.7,34.8,33.7,34.8,14,2750,93250
9/15/23,34,34.9,33.7,34.5,6,12789,435213.7
9/14/23,34.8,34.8,33.8,34.5,13,3508,121206.3
9/13/23,33,35.5,33,33.8,16,3310,111753.3
9/12/23,34.3,34.8,33,34.5,17,3891,131663.5
9/11/23,33.5,34.9,33,34.3,17,8965,298531
9/8/23,33.7,35.9,33.5,35.9,33,10715,365857.2
9/7/23,35.5,36.5,35.5,36,18,140216,5042339.4
9/6/23,33.7,35.5,33.5,35.1,15,15759,536794.9
9/5/23,38,38,34.4,34.5,27,19857,690525.5
9/4/23,35,38.4,35,36.5,53,80277,2940823.4
9/1/23,33.2,34,33.1,33.5,15,3400,113353.8
8/31/23,34,35.8,33.7,33.7,6,1787,63164.6
8/29/23,36,37,33,33.1,32,12481,426652.1
8/28/23,36.5,37,36,36.2,25,44942,1649675.2
8/25/23,34.9,36.4,33.6,36,56,51840,1836136.6
8/24/23,34.3,34.9,33.6,34.2,27,28451,971409.1
8/23/23,34,34,33.5,33.5,9,8629,289103
8/22/23,36.5,36.5,34,34,17,1724,58961
8/21/23,33,37,33,36.8,14,1143,40858.1
8/18/23,32.4,38,32.4,37.8,26,57802,2181344.3
8/17/23,35.2,38,33.2,36.6,48,72665,2618221.8
8/16/23,35.7,37,35.1,35.7,16,5421,193523.7
8/15/23,38,38,36,36,21,12021,442976.5
8/14/23,39,39,34.2,38.1,24,50695,1835513
8/11/23,37.5,39.9,33.1,39.1,71,1044333,40708751.6
8/10/23,35.3,38,35.3,37,39,135559,5096281.8
8/9/23,33.1,35.6,32.5,35.4,47,41366,1444075.2
8/8/23,33,34,32,34,33,55915,1852655
8/7/23,31.1,33,31.1,33,12,3008,98311
8/4/23,35,35,33,33,18,149645,5218519
8/3/23,33,35.5,32.5,35,56,108011,3729571.8
8/2/23,33.1,33.5,33,33,22,61761,2061081.5
7/31/23,30.5,35,30.2,33.5,44,15928,538997.7
7/28/23,33,33.9,33,33.3,23,48642,1607968.6
7/27/23,28.7,33.2,28.5,33.1,89,186846,5889005
7/26/23,31,33,31,32.7,68,67710,2186449.2
7/25/23,29,31.2,29,31,61,109725,3378379.4
7/24/23,29.2,29.4,28.6,29,30,221205,6415325.4
7/21/23,31,31,28.5,29.4,22,34452,1011990.5
7/20/23,28.5,31,28.5,31,68,103650,3115083.8
7/19/23,26,30,26,29.1,55,200439,5793105.2
7/18/23,25,26,25,26,12,63468,1599271.3
7/17/23,26,26,24,26,25,18781,478219.4
