Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,106,107,106,106.5,12,2472,262920.75
10/12/23,106,110,106,110,37,4081,446270.5
10/11/23,109.5,109.75,105,106.5,31,7574,807770.25
10/10/23,113.5,113.5,109.25,109.75,21,4008,441236.5
10/9/23,111,111.25,107.5,110.75,83,13428,1468626.5
10/6/23,117,117,112.25,113.75,191,107964,12401256.25
10/5/23,105,117,105,114.5,364,147795,16687865.5
10/4/23,104.5,106,100.25,105,34,37889,3978790.5
10/3/23,100.25,104.75,100.25,101,10,7619,793038.75
10/2/23,102.25,106,100,102,71,103937,10603373
9/27/23,103.25,107,103.25,103.5,10,1088,112578.5
9/26/23,105,105.75,103.5,105.75,16,2683,281178
9/25/23,104.75,105,103.5,104,26,3849,401439.75
9/22/23,103.25,103.25,103.25,103.25,1,5000,516250
9/21/23,103,105,103,104.75,4,5000,523397
9/20/23,104.75,105,104.75,105,8,171,17949.5
9/19/23,102.5,106,101,102.25,53,58455,5988608.5
9/18/23,104,104,102,102,15,5003,510516.5
9/15/23,105,106,103,103,31,54968,5703141
9/14/23,104.25,105.75,102.25,102.5,14,1470,150779.25
9/13/23,105,106,102.25,105.25,11,502,52898
9/12/23,103.75,103.75,102.25,103,7,599,61576
9/11/23,105,105,102.75,102.75,14,1258,131732
9/8/23,103.75,105.75,103.75,105,28,11568,1214538.25
9/7/23,105,105,101,101.25,13,10396,1068176.5
9/6/23,103,103.25,102,102.5,15,42121,4331108.5
9/5/23,100.25,104,100.25,103.5,13,4799,493763.75
9/4/23,102.5,104,102.25,102.25,8,1026,105038.5
9/1/23,104,105,100.25,102.5,9,917,93165.25
8/31/23,105,107.75,100.5,101,67,46512,4755204.5
8/29/23,102.5,104,100,104,10,17972,1864711.75
8/28/23,102.75,102.75,102,102.75,7,1947,199940
8/25/23,102.75,103,100,100,18,1784,178499.75
8/24/23,101.25,103,100,100,22,2744,274509.25
8/23/23,101,103,100,102.5,26,12045,1218213.75
8/22/23,100,105,100,105,43,42548,4460060.75
8/21/23,101.5,105,99.5,100,54,41038,4106143.25
8/18/23,104,105.25,100.5,101,27,22956,2324977.75
8/17/23,101.5,105.5,101.5,105,18,11134,1168785
8/16/23,101,104,100,103.75,32,13858,1405616.5
8/15/23,102,103.75,101,101.5,20,12158,1242248.25
8/14/23,102,105,101.5,102,30,11545,1178821.75
8/11/23,101.5,103,101.5,102,8,72,7345.25
8/10/23,102,104,102,102,11,2519,256949.5
8/9/23,103.5,106,101,103.5,34,7074,723670.75
8/8/23,106.5,106.5,103,103,10,19612,2024489.25
8/7/23,104,106.5,103.75,103.75,20,6391,664643.75
8/4/23,105,106.5,104,105.25,31,12626,1327531.25
8/3/23,107.5,107.75,104.25,105,56,24372,2572333.5
8/2/23,109,110.5,108,108,24,9173,999196
7/31/23,112,112,109,109.25,8,1294,142782.25
7/28/23,110.5,112,110.5,111,22,13392,1482265.5
7/27/23,113,113,109,110.5,20,21351,2358663
7/26/23,107.25,113.75,107,112,21,15185,1690209
7/25/23,106.5,108.75,106.5,108.5,19,4113,443197.5
7/24/23,108,110,106.75,106.75,22,4195,456494.75
7/21/23,106.5,107.75,106.5,107,15,1383,147567.25
7/20/23,108.75,108.75,106.25,108,10,1154,124649
7/19/23,105.25,109,104.25,106,18,1924,204554.5
7/18/23,108.75,109,104.5,105.25,35,25732,2772297.75
7/17/23,110,110,105,105.75,67,8793,930607
