Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,108,108,103,103.25,333,203190,21115015.5
10/12/23,105.25,108.75,105.25,107.75,160,134573,14434671.5
10/11/23,109.25,109.25,104.25,105,316,308930,32584889.75
10/10/23,107.25,111.25,107.25,108,209,203777,22021426.75
10/9/23,112.5,112.5,107.25,108,499,471596,51444222.25
10/6/23,114,114,112,112,138,133439,14979923.75
10/5/23,114,114.5,112.25,112.5,137,80658,9108048
10/4/23,113.5,115,111.75,113,229,92178,10427873.5
10/3/23,115,115.75,113.5,113.75,192,169809,19363888.25
10/2/23,115.5,116,114,115,336,678673,78014389.5
9/27/23,115.5,116.75,115,116.25,132,290853,33649641.5
9/26/23,117,117,114.5,115,198,216574,24914355.25
9/25/23,115,117.75,114,115,144,145586,16748103.25
9/22/23,114.75,117,114.75,116,130,233329,26926010.75
9/21/23,117,117,114,115,375,414859,47697945.75
9/20/23,118.75,119.5,114.5,116.25,382,755686,87968148.25
9/19/23,118.5,121,118,118.25,160,160530,19018085.25
9/18/23,120.5,121.5,118.75,119,162,120955,14446194.75
9/15/23,121.5,121.5,119.5,120,67,62764,7528870
9/14/23,122.5,122.5,120,120,156,236700,28512323
9/13/23,119.75,122,119.25,121,197,291216,35007268.5
9/12/23,120.25,120.5,119.25,119.75,94,93190,11167485.25
9/11/23,120,120.75,119,120,201,371371,44551582.75
9/8/23,120,120,118,119,222,362758,43274180.25
9/7/23,120,122,119,119.25,192,316231,37910078.25
9/6/23,124,124,120,120.25,274,430133,52211465
9/5/23,121.75,124.75,121.75,123.25,342,707358,87440411
9/4/23,126,127.5,120,121.25,644,517624,64042447.75
9/1/23,119.5,125,116.5,123.75,751,922553,111592258
8/31/23,118,119.75,116.25,117,345,269290,31704714.75
8/29/23,113,117,112,115.75,376,755922,85971044.75
8/28/23,113.5,114.75,112.5,113,317,703664,79759439
8/25/23,115,115,113,113.75,176,387710,44174134.5
8/24/23,115,115,113,113.75,198,730688,83285870
8/23/23,114,116,111.25,115.25,744,1606610,182221375.8
8/22/23,119,119.25,112,113.25,628,438363,50144877.5
8/21/23,118,118,116,116.5,384,306005,35714951
8/18/23,120.5,121,117.5,118,344,524194,62030640.75
