Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,930,930,930,930,5,313,291090
10/12/23,930,932,930,930.25,5,221,205570.25
10/11/23,918.25,991,900,906.5,7,256,232153.5
10/10/23,949,950,940,941.25,26,4082,3864520.25
10/9/23,950,950,920,949,11,308,290497
10/6/23,925,950,918.25,924.75,40,9644,8919894.5
10/5/23,917.25,918.25,917.25,917.25,6,55,50468.75
10/4/23,900,960,900,917.25,18,279,253589
10/3/23,900,900,885,899.75,4,115,103485
10/2/23,883,895.75,883,885.75,9,28,24773
9/27/23,883,905.5,883,885.75,9,226,200205.75
9/26/23,890,905,883,885.75,11,159,140891.5
9/25/23,891,891,883,889.75,13,121,107639.25
9/22/23,890,900,890,900,15,785,705294.5
9/21/23,880,899,875,880.25,11,975,857941.25
9/20/23,880,880,878.75,880,5,517,454948.25
9/19/23,880,880,879.75,880,6,202,177759.5
9/18/23,861,880,861,880,7,55,48254.5
9/15/23,860,880,860,880,10,216,189905.5
9/14/23,888,889.5,860,887.25,11,277,245737.25
9/13/23,875,880,870,880,19,306,268399.75
9/12/23,839.5,888,825,874.5,31,820,693684.25
9/11/23,793,835,750.25,821.25,34,31975,26364648
9/8/23,768,799,755.25,788,20,541,426261.25
9/7/23,750,750,750,750,8,614,460500
9/6/23,758,760,750,750,14,77,58127
9/5/23,760,760,730,750,9,268,201060
9/4/23,746.5,750,746.5,750,3,12,8996
9/1/23,749.75,749.75,749.75,750,1,1,749.75
8/31/23,760,760,745,750,3,7,5295
8/29/23,750,750,742,750,10,807,605225
8/25/23,715,715,715,715.5,3,4,2860
8/24/23,720,720,715,715.5,6,2400,1717285
8/23/23,714,725,711,718.5,12,231,165932
8/22/23,710,713.75,710,700,6,42,29868.25
8/21/23,710,713,710,700,3,22,15623
8/18/23,715,715,700,700,6,14923,10446145
8/17/23,711,715,711,715,6,500,357483
8/16/23,704,710,704,705,8,9982,7038537.75
8/15/23,704,704,700,704,11,290,204151
8/14/23,702,704,700,701,15,2778,1947408
8/11/23,704,704,704,704,4,705,496320
8/10/23,700,700,700,700,3,5002,3501400
8/9/23,700,704,699.75,704,8,8148,5731443.25
8/8/23,700,700,685.25,699.75,7,3544,2479900.5
8/7/23,700,700,700,700,2,737,515900
8/4/23,710,710,695,696.75,10,145,101294
8/3/23,709,710,705,710,6,301,213702.75
8/2/23,719,719,685,700,4,93,64039
7/31/23,699.5,700,699,700,7,796,557189
7/28/23,685.5,685.5,685.5,698.5,1,1,685.5
7/27/23,698,700,681.5,698.5,4,271,189281.5
7/26/23,697.75,697.75,697.75,698,1,1,697.75
7/25/23,698,698,698,698,1,200,139600
7/21/23,684,693,680,680,13,589,400559.5
7/20/23,699.75,699.75,680,681,22,1223,839568.25
7/19/23,714,714,699.75,705.5,15,147,103728.75
7/18/23,714,714,702,709.75,2,3,2118
7/17/23,714,714,714,709.75,1,3,2142
7/14/23,711.75,711.75,711.75,709.75,2,2,1423.5
7/12/23,711.75,719,711.75,709.75,9,31,22187.75
7/11/23,710,710,710,709.75,2,3,2130
7/10/23,711.75,711.75,701,709.75,3,3,2124.5
7/7/23,710,711,700,709.75,5,31,21731.5
7/6/23,693,710,692.5,709.75,7,1396,990742
7/5/23,712,712,712,690.5,5,7,4984
7/4/23,708,708,675,690.5,22,1069,734322
6/28/23,700,700,690,699.75,2,142,99350
6/27/23,700,700,700,700,2,12,8400
6/26/23,700,712,700,700,9,35290,24703193
6/23/23,713,713,700,701,2,11,7713
6/22/23,714,714,700,701,6,649,454444.25
6/21/23,709,710,709,710,5,568,403270
6/20/23,690.25,710,690.25,710,5,254,180280.5
6/19/23,700,700,695,698.75,7,181,126572
6/16/23,690,700,690,700,2,9,6250
6/15/23,700,715,700,700,11,23151,16206437.75
6/14/23,708,715,700,700,13,39272,27499490.5
6/13/23,704.75,708,704.75,704.75,3,103,72595.75
6/12/23,681,681,681,704.75,2,10,6810
6/9/23,708,708,682,704.75,5,82,55976
6/8/23,650,650,650,704.75,1,13,8450
6/7/23,709,709,700,704.75,3,30011,21007790
6/6/23,714,714,700,704.75,3,18,12656
6/5/23,700,700,690,704.75,2,32,22130
6/1/23,700,705,700,704.75,2,105,74000
5/31/23,695,695,695,685,1,5,3475
5/30/23,700.5,700.5,685,685,5,310,213175
5/29/23,718.75,718.75,701,700,4,8,5714.25
5/25/23,719.75,719.75,718.5,700,4,40,28765
5/24/23,700,700,700,700,1,10,7000
5/23/23,704,723,704,700,9,44,31517
5/22/23,700,700,685,700,17,850,594625
5/19/23,700,700,690,699.5,4,211,147590
5/18/23,704,704,700,700,7,401,280724
5/17/23,695,695,695,695,5,688,478160
5/16/23,690,695,690,695,5,110,76435
5/15/23,681.25,681.25,681.25,690,1,1,681.25
5/12/23,690,690,690,690,3,161,111090
5/11/23,690,700,690,694.75,16,4158,2889045
5/10/23,700,700,690,690.5,4,586,404690
5/9/23,690.5,700,690,690,5,501,345700.5
5/8/23,690,700,690,690.5,8,241,166410
5/3/23,695,700,695,705,3,41,28695
5/2/23,695,695,670,705,7,21,14320.5
4/28/23,702,705,700,705,6,1127,794407
4/27/23,712,712,700,700,6,37,26099
4/26/23,700,700,692,700,7,766,536192
4/25/23,700,700,699,701,5,12,8389
4/24/23,700,700,692,701,7,67,46499.75
4/21/23,699.5,699.5,699.5,701,4,29,20285.5
4/18/23,710,710,699.5,701,4,180,126185
4/17/23,714,714,701,702.25,14,104,73034
4/12/23,710,710,710,714,2,4,2840
4/11/23,709,709,709,714,2,3,2127
4/10/23,709.5,709.5,709.5,714,1,1,709.5
4/6/23,713.5,714,713.5,714,6,192,137086.75
4/4/23,714,714,714,713.5,2,4,2856
4/3/23,714,714,676.25,713.5,8,101,72072.25
3/31/23,714,714,714,714.75,2,60,42840
3/28/23,714,715,714,714.75,2,270,193010
3/27/23,715,715,680,713.5,17,2094,1495482
3/24/23,719,720,690,719.75,5,507,364884
3/23/23,720,720,700,724.5,5,29,20341.5
3/22/23,723.5,725,700,724.5,9,930,673141
3/21/23,715,728,715,720,17,536,384898.75
3/20/23,685,715.75,685,714.75,16,1028,733165
3/16/23,690,690,685,697.75,2,31,21385
3/15/23,695,700.5,695,697.75,8,197,137451
3/14/23,682,690,682,694.75,4,8,5488
3/13/23,685,685,685,694.75,5,46,31510
3/10/23,680,680,680,694.75,1,2,1360
3/9/23,660.25,695,660.25,694.75,7,18,12434.25
3/8/23,698,699,698,694.75,3,5,3494
3/7/23,689.75,699,689,694.75,16,1138,786221
3/3/23,655,685,655,676.5,23,559,374377
3/2/23,650,660,650,658.5,16,996,651025
3/1/23,640,640,631,660,5,26,16443
2/27/23,658.5,658.5,650,660,3,13,8458.5
2/24/23,659,669,657,660,11,33,21813
2/23/23,620,660,620,660,22,83617,55058140
2/22/23,637,643.5,637,640,7,213,136324.5
2/21/23,629.25,630.25,629.25,630,23,2046,1288977.75
2/20/23,597.25,633,597.25,630.25,36,2257,1400190.25
2/16/23,564.25,598.5,564,568.25,10,115,65344.5
2/15/23,590,590.25,590,600,4,31,18290.5
2/14/23,590,598,590,600,5,40,23760
2/13/23,598,599,598,600,2,2,1197
2/10/23,599,600.75,599,600,6,251,150599.75
2/8/23,599,599,599,601.75,1,1,599
2/7/23,595,610,595,601.75,11,1207,726172.75
2/6/23,599.5,599.5,562.5,599.5,3,15,8949.5
2/3/23,599.5,599.5,599.5,599.5,11,19700,11810150
1/30/23,599.5,599.75,540,599.5,5,30,17481.5
1/27/23,541,599,541,599.5,4,24,14318
1/26/23,540,540,540,599.5,1,1,540
1/24/23,590,590,540,599.5,10,98,55115
1/23/23,600,600,581,599.5,21,2562,1537027.25
1/20/23,585,600,585,597.75,21,87635,52579076.75
1/19/23,549.75,600,549.75,592.25,10,110,65152.5
1/18/23,529.75,529.75,529.75,554,2,29,15362.75
1/13/23,550,550,550,554,2,5,2750
1/11/23,554.75,554.75,510,554,5,5,2613
1/5/23,546,555,546,554,5,113,62608.25
1/2/23,518.25,518.25,516,559.5,3,41,21178.25
12/29/22,554,560,554,559.5,8,42,23434
12/27/22,516,516,516,559.5,1,40,20640
12/21/22,560,560,559.25,559.5,7,447,250089.25
12/20/22,512,512,511,511,2,30,15340
12/16/22,590,594,590,511,5,31,18294
12/15/22,504,504,503,511,2,88,44266
12/14/22,500,500,500,511,1,2,1000
12/13/22,530,530,530,511,1,1,530
12/8/22,511.25,511.25,511.25,511,2,11,5623.75
12/5/22,520,520,512,511,4,41,21141.5
12/2/22,538,538,520,511,2,26,13952
12/1/22,529.75,529.75,529.75,511,1,5,2648.75
11/30/22,529.75,529.75,529.75,511,1,1,529.75
11/29/22,520,529.75,520,511,4,9,4689.75
11/28/22,511,511,511,511,4,102,52122
11/24/22,539,539,505,505,12,17918,9049174
11/23/22,515,515,515,529.75,5,50,25750
11/22/22,528,530,504.25,529.75,7,2524,1336849.75
11/21/22,504,530,504,530,3,488,251147
11/16/22,505.75,520,505.75,500,2,73,37831.75
11/15/22,520,520,520,500,1,10,5200
11/11/22,523,523,523,500,1,1,523
11/10/22,500,500,500,500,1,1,500
11/9/22,530,530,530,500,1,20,10600
11/8/22,500.25,500.25,500,500,4,78,39001.75
11/4/22,501.25,510,500,500,11,297,148662.25
11/3/22,510,510,510,500,2,17,8670
11/2/22,515,515,515,500,2,3,1545
11/1/22,515,515,515,500,1,1,515
10/28/22,500.5,500.5,500.5,500,1,27,13513.5
10/27/22,520,520,500.25,500,2,35,17706.25
10/25/22,520,520,500,500,6,430,215225
10/21/22,524,524,516.5,516.5,5,2514,1298556
10/20/22,516.5,516.5,516.5,513.25,1,1,516.5
10/19/22,525,525,525,513.25,1,2,1050
10/18/22,515,515,515,513.25,2,2,1030
10/14/22,525,525,525,513.25,1,7,3675
10/13/22,515,515,515,513.25,3,11,5665
10/12/22,525,525,520,513.25,3,6,3130
10/11/22,520,520,520,513.25,1,7,3640
10/7/22,515,515,515,513.25,1,4,2060
10/6/22,514,535,514,513.25,4,13,6926.25
10/5/22,525,525,500,513.25,9,157,80707.25
10/4/22,520,520,520,525,3,98,50960
9/30/22,530,530,530,525,1,3,1590
9/28/22,525,525,525,525,2,231,121275
9/27/22,525,525,525,515.75,3,89,46725
9/23/22,515.5,516,515,515.75,12,190,97991.25
9/22/22,515.5,535,515.5,529.75,2,137,72573.5
9/21/22,515.25,515.25,515.25,515.25,1,5,2576.25
9/20/22,515.25,515.25,515.25,515.25,2,2324,1197441
9/19/22,520,520,520,515.25,4,65,33800
9/16/22,529,529,515,515.25,13,461,237576.75
9/15/22,525,529,525,525.25,6,131498,69046628.25
9/14/22,525,525,525,525,3,28700,15067500
9/13/22,529,529,529,528.25,1,1,529
9/12/22,517,530,515,528.25,5,38,19814.5
9/9/22,525,530,516,528.25,3,9,4723
9/8/22,525,530,525,528.25,8,85202,44731810
9/7/22,529.5,530,529.5,525,2,52,27535
9/6/22,527,527,525,525,41,301602,158347046
9/5/22,527,537.75,527,537.5,2,6,3205
9/2/22,536.5,537.75,536.5,537.5,5,1500,806386.25
9/1/22,536.5,536.5,536.5,527,1,1,536.5
8/31/22,510.25,510.25,510.25,527,1,2,1020.5
8/30/22,528,528,528,527,1,7,3696
8/29/22,527,527,527,527,1,100,52700
8/26/22,536,536,536,527,1,1,536
8/25/22,510,510,510,527,1,1,510
8/24/22,527,527,527,527,1,2,1054
8/23/22,538,538,520,527,4,22,11797.5
8/19/22,501,538,501,527,7,112,58775.5
8/18/22,492,520,492,519.5,8,613,318508
8/15/22,496,520,496,500,8,523,261528
8/12/22,498.5,499,491.5,497,6,182,90436.5
8/10/22,500,500,500,510,1,1,500
8/9/22,510,510,510,510,3,379,193290
8/8/22,510,510,510,508,1,1,510
8/5/22,508,510,508,508,4,5,2546
8/4/22,509,520,500,508,6,241,122448
8/3/22,505,505,505,505,1,188,94940
8/1/22,485,485,480.25,510,4,56,26967.5
7/29/22,500,510,500,510,2,180,91000
7/28/22,500,500,480,486.75,3,300,146000
7/27/22,480,500,480,498.75,10,856,426560
7/27/22,480,500,480,498.75,10,856,426560
7/26/22,500,500,500,488,1,1,500
7/25/22,488,488,488,488,2,1500,732000
7/20/22,500,500,500,491,1,2,1000
7/19/22,500,500,500,491,2,52,26000
7/18/22,491,491,490,491,2,110,54000
7/15/22,500,500,490,520,7,54,26585
7/12/22,500,500,500,520,1,1,500
7/11/22,500,500,500,520,3,11,5500
7/6/22,420,420,420,520,2,3,1260
6/29/22,520,520,520,520,1,124,64480
6/24/22,510,510,510,510,3,24,12240
6/17/22,510,510,510,510,5,2180,1111800
6/16/22,510,510,510,510,1,1,510
6/15/22,510,510,500,510,4,615,313640
6/13/22,500,520,500,509.25,2,3,1540
6/10/22,510,510,510,509.25,1,4,2040
6/9/22,500,500,490,509.25,6,57,28100
6/8/22,500,510,500,509.25,9,1052,534735
6/7/22,510,510,505,510,3,9,4580
6/3/22,460,489.75,451,510,5,33,15023.5
5/31/22,500,500,500,510,1,5,2500
5/27/22,500,500,500,510,1,10,5000
5/26/22,480,480,480,510,1,4,1920
5/25/22,515,518,500,510,8,93,47451
5/24/22,530,530,529.75,510,2,11,5827.5
5/18/22,510,510,510,510,2,148,75480
5/17/22,510,510,500,508.75,17,179,91088
5/13/22,500,500,500,500,6,510,255000
5/12/22,510,510,510,470.25,1,2,1020
5/9/22,483.75,500,470,470.25,7,2023,951207.5
5/6/22,460.25,460.25,460.25,460.25,3,10,4602.5
5/5/22,499,525,499,460.25,4,10,5068
4/29/22,499,499,459,460.25,3,4,1956
4/28/22,460,499,458,460.25,6,416,191418
4/27/22,460,460,455,464.25,6,97,44615
4/26/22,460.25,460.25,460.25,464.25,1,70,32217.5
4/7/22,471,471,461.25,464.25,2,100,46417.5
4/5/22,490,525,490,525,3,3,1515
4/4/22,455,455,455,525,6,11,5005
3/31/22,502.25,502.25,502.25,525,2,11,5524.75
3/29/22,564.75,564.75,525,525,7,199,108301
3/28/22,530,530,530,530,1,229,121370
3/24/22,540,540,540,530,3,10,5400
3/21/22,530,530,530,530,3,1714,908420
3/18/22,530,530,530,530,6,1056,559680
3/15/22,525,525,525,530,2,10,5250
3/14/22,511,511,511,530,1,30,15330
3/11/22,530,530,530,530,2,50,26500
3/10/22,520,520,451,530,12,74,37352
3/9/22,521,521,520.25,530,3,24,12488.25
3/8/22,530,530,523,530,5,2006,1063151
3/7/22,530,530,525,527.5,3,201,106030
3/4/22,531.25,531.25,521,530,6,294,155815
3/2/22,549.75,549.75,549.75,534.75,1,1,549.75
2/25/22,532.25,550,531.5,534.75,7,159,85036
2/24/22,533.25,533.5,533.25,533.25,5,108,57593
2/23/22,535,536,535,535,14,100078,53541753
2/21/22,554,554,554,554,2,97,53738
2/18/22,554,559.5,554,554,5,204,113021.5
2/17/22,532,549.75,531,559.25,11,59,31671.5
2/15/22,554.75,554.75,554.75,559.25,3,5,2773.75
2/14/22,531.25,560,531.25,559.25,4,7,3748.5
2/11/22,555,560,555,559.25,3,1402,784124.5
2/10/22,550,550,529.5,560,7,61,32568.25
2/9/22,550,550,550,560,1,12,6600
2/7/22,560,560,560,560,1,7,3920
2/3/22,535.5,554.75,535.5,560,3,12,6465.5
2/2/22,539,560,539,560,12,1417,790079.5
2/1/22,532.25,554.25,532.25,530.5,4,25,13834.25
1/31/22,555,555,554.75,530.5,2,15,8322.5
1/28/22,556,556,550,530.5,2,6,3306
1/27/22,540,540,530,530.5,6,225,119375
1/26/22,556,556,555,555,4,317,175945
1/25/22,560,560,530,540,11,274,149689.5
1/24/22,550,564.75,530,558.25,17,738,411904
1/21/22,535.5,544.75,535.5,527.5,11,70,37850
1/19/22,536,536,535,527.5,4,80,42805.5
1/18/22,535,543.75,527,527.5,20,1586,836877.75
1/13/22,533.75,543.75,525.75,532.25,16,145,77211.25
1/12/22,539.75,539.75,525,523,4,19,10133
1/11/22,530,530,520,523,17,230,120437
1/10/22,532,540,525,540,11,93,50172.25
1/7/22,539,540,539,540,9,10054,5428201
1/6/22,538.75,539,538.75,539,6,404,217731
1/5/22,535,540,535,540,4,212,114424
1/4/22,547.75,547.75,531.75,535.25,3,7,3783.25
1/3/22,531.5,540,531,535.25,6,161,86185.5
12/31/21,536,540,535,550,3,18,9685
12/29/21,540,540,531,550,4,22,11709
12/27/21,548,548,547,550,2,2,1095
12/24/21,540,540,540,550,4,17,9180
12/23/21,548,548,548,550,1,5,2740
12/21/21,540,540,540,550,1,2,1080
12/20/21,548.25,548.25,548.25,550,3,16,8772
12/17/21,534.25,534.25,534.25,550,1,1,534.25
12/16/21,544.75,544.75,533.75,550,2,5,2701.75
12/15/21,532,532.75,532,550,7,49,26088.25
12/14/21,530.5,530.5,530.5,550,1,2,1061
12/13/21,550,550,543,550,4,44,24025
12/10/21,549,549,549,550,1,2,1098
12/9/21,550,550,550,550,6,961,528550
12/8/21,550,550,550,545,1,1,550
12/7/21,555,555,542.25,545,5,35,19361.25
12/6/21,555,555,555,545,1,1,555
12/3/21,555,555,555,545,1,1,555
12/2/21,559,559,545,545,5,87997,47958379
12/1/21,541,545,541,545,5,188752,102814828
11/30/21,525.5,558,525.5,552.25,13,2967,1639791.25
11/29/21,550,550,520.75,550,15,15952,8633889.25
11/26/21,541.25,541.25,520,529,22,563,296648
11/25/21,540.5,550,540.5,541,8,115,62225
11/24/21,559.25,559.25,559.25,540,1,2,1118.5
11/23/21,541,541,540,540,9,405,218726.75
11/22/21,555.5,555.5,540.5,540.25,4,77,42744
11/19/21,564.75,564.75,564.75,540.25,1,5,2823.75
11/17/21,564.75,564.75,564.75,540.25,1,1,564.75
11/16/21,540,540.25,540,540.25,4,31,16740.5
11/12/21,545.25,566.25,540,540.25,35,1020,551165
11/11/21,542.5,545.25,542.5,545,6,9761,5319735
11/10/21,545,545,544,545,21,267,145505
11/9/21,560,560,545,549.5,8,120,66047
11/5/21,551.75,551.75,551.75,571.5,6,60,33105
11/3/21,571.25,571.25,551.5,571.5,4,25,14183.25
11/2/21,551.25,551.25,551.25,571.5,2,20,11025
11/1/21,545.75,550,545.75,571.5,5,17,9286.25
10/29/21,568.5,584.75,568.5,571.5,12,1203,687535
10/28/21,555,555,543,543,21,39395,21393231.5
10/27/21,555,562.75,555,557,6,1499,835052.75
10/26/21,555,591.5,545.75,562.75,9,29,16621.25
10/25/21,545,565,545,562.75,10,393,218213
10/22/21,550,559,549,550,5,456,250804
10/15/21,560,560,550,550,3,5001,2750560
10/14/21,550,558.5,550,550,4,8,4425.5
10/12/21,546,546,546,550,3,63,34398
10/11/21,550,550,550,550,3,27,14850
10/8/21,558,558,546,550,3,25,13710
10/7/21,550,559,550,550,5,1380,759067
10/6/21,551,551,549,550,3,35,19222
10/5/21,551,551,550,550,4,138,75902
10/1/21,564.75,564.75,550,550,7,5019,2760720
9/30/21,545.25,560,543,559.5,7,490,274100
9/29/21,565,565,551,564,4,112,63156
9/28/21,560,565,560,565,5,2579,1446595
9/27/21,558.5,558.5,558,558,4,412,229897
9/21/21,542,542,542,542.5,2,13,7046
9/17/21,542.75,542.75,542,542.5,5,32,17367.25
9/16/21,560,560,542.75,542.5,3,31,17170.25
9/15/21,540.25,560,540.25,542.5,2,2,1100.25
9/14/21,542.5,542.5,542.5,542.5,1,802,435085
9/13/21,540,542.5,540,540,5,1043,563327.5
9/10/21,542.75,542.75,542.5,542.5,9,1171,635268.75
9/9/21,541,545,540.25,542.5,4,80,43494
9/8/21,547,547,540,542.5,13,396,215472
9/7/21,555,555,555,550.75,1,10,5550
9/6/21,557,557,548,550.75,3,3,1662
9/3/21,550,553,550,550.75,2,271,149263
9/2/21,553,554,553,553.25,6,192,106216
9/1/21,545.5,558,545.25,553,7,34420,19032384
8/31/21,545,548,545,548,7,182,99730
8/30/21,560,560,545,558.5,6,112,62565
8/27/21,560,560,560,560,2,8,4480
8/26/21,553,560,553,560,2,46610,25781679
8/25/21,557.75,557.75,545,550,5,48,26425.75
8/24/21,550,550,550,550,2,1400,770000
8/23/21,550,550,540,540,4,890,480651.75
8/19/21,545.5,550,540,550.25,17,94,50979.25
8/18/21,551,551,550,550.25,14,139,76490.75
8/17/21,551.25,551.25,551.25,551.25,7,13,7166.25
8/16/21,558,558,558,551.25,2,2,1116
8/13/21,550.25,551.5,550.25,551.25,4,107,58983
8/12/21,558.5,558.5,556,558.5,7,24,13360.25
8/10/21,558.5,558.5,556.25,558.5,3,50,27902.5
8/9/21,556.5,557,556.25,558.5,8,65,36176
8/6/21,596,596,557,558.5,3,6,3533
8/5/21,560,560,556.25,558.5,6,122,68168.75
8/4/21,565,565,560,560,4,40,22590
8/3/21,561,565,556,560,5,105014,58807882
8/2/21,569.5,570,560,560,14,11110,6223339
7/30/21,567,567,567,570,1,50,28350
7/27/21,571,580,570,570,5,75,43171
7/26/21,570,570,570,570,1,100,57000
7/22/21,566.25,567,566.25,565.5,2,11,6229.5
7/20/21,580,580,565,565.5,8,278,157223.5
7/19/21,568,568,568,560.5,1,1,568
7/16/21,570,570,566,560.5,6,21,11910
7/15/21,570,570,570,560.5,3,10,5700
7/14/21,560,570,560,560.5,2,20,11300
7/13/21,570,570,560,560.5,6,238,133615
7/12/21,560,570,560,570.25,4,4,2250
7/9/21,567,567,564,570.25,8,40,22644
7/8/21,574,574,570,570.25,8,248,141392
7/7/21,575,575,575,575,6,1548,890100
7/6/21,577,579.75,575,575.25,11,1407,809739.5
7/5/21,588.75,590,587,575,6,97,57194.25
7/2/21,575,575,575,575,1,121,69575
7/1/21,590,590,580,589.5,7,34,19740
6/30/21,581,590,572.5,589.5,15,14234,8388905
6/29/21,600,600,575,579.25,20,207,120654.25
6/28/21,570,615,570,585,53,1950,1129410
6/25/21,570,570,570,560,5,58,33060
6/23/21,561.25,561.25,560,560,5,14500,8120031.25
6/22/21,555,560,555,556.25,2,169,94000
6/21/21,575,575,575,568,2,100003,54001725
