Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/18/19,1.1,1.2,1,1.1,15,41632,44195.3
10/17/19,1.2,1.2,1.1,1.1,21,35286,38817
10/16/19,1.1,1.2,1.1,1.1,2,1001,1101.2
10/15/19,1.1,1.2,1.1,1.1,7,13001,14301.2
10/14/19,1.2,1.2,1,1.1,19,55418,59199.8
10/11/19,1.1,1.2,1,1.1,61,248189,258641
10/10/19,1.1,1.2,1.1,1.2,17,71614,79647.5
10/9/19,1.2,1.3,1.1,1.1,32,80660,94327
10/8/19,1.2,1.2,1.2,1.2,2,110,132
10/7/19,1.2,1.2,1.1,1.1,4,912,1004.4
10/3/19,1.1,1.1,1.1,1.1,3,13935,15328.5
10/2/19,1.2,1.2,1.2,1.2,1,100,120
10/1/19,1.2,1.2,1.2,1.2,2,105,126
9/30/19,1.2,1.2,1.2,1.1,1,1,1.2
9/27/19,1.1,1.2,1.1,1.1,5,19494,21443.5
9/26/19,1.1,1.1,1.1,1.1,7,7800,8580
9/25/19,1.1,1.1,1.1,1.1,7,17110,18821
9/24/19,1.1,1.1,1.1,1.1,14,47086,51794.6
9/23/19,1.1,1.2,1,1.1,47,184611,194069.5
9/18/19,1.2,1.2,1.1,1.1,11,6019,6722.1
9/17/19,1.2,1.2,1.2,1.2,1,1,1.2
9/16/19,1.2,1.2,1.2,1.2,6,20050,24060
9/12/19,1.3,1.3,1.2,1.2,20,52174,63411.8
9/11/19,1.2,1.3,1.2,1.2,37,77650,93199
9/10/19,1.3,1.3,1.2,1.2,6,15650,20095
9/9/19,1.3,1.4,1.3,1.3,3,8650,11265
9/6/19,1.4,1.4,1.4,1.4,1,200,280
9/5/19,1.4,1.4,1.3,1.4,21,110378,149374.2
9/3/19,1.5,1.5,1.5,1.5,1,1000,1500
9/2/19,1.5,1.6,1.5,1.5,12,8678,13017.5
8/30/19,1.5,1.5,1.5,1.5,4,119,178.5
8/29/19,1.4,1.5,1.4,1.4,3,5002,7003
8/23/19,1.5,1.5,1.5,1.5,2,107000,160500
8/22/19,1.4,1.5,1.4,1.4,4,1001,1401.5
8/19/19,1.6,1.6,1.5,1.5,4,10701,16051.6
8/16/19,1.6,1.6,1.6,1.5,1,1,1.6
8/15/19,1.5,1.6,1.5,1.5,7,34396,51594.1
8/13/19,1.6,1.6,1.5,1.5,56,211868,320907
8/9/19,1.5,1.6,1.5,1.6,40,135409,211972.9
8/8/19,1.4,1.4,1.4,1.4,9,35537,49751.8
8/7/19,1.3,1.4,1.3,1.4,8,78996,107984.4
8/6/19,1.3,1.5,1.3,1.3,4,11500,15010
8/5/19,1.3,1.5,1.3,1.3,11,4959,6538.7
8/2/19,1.4,1.4,1.3,1.3,11,7504,10250.3
8/1/19,1.5,1.5,1.4,1.4,5,721,1031.4
7/31/19,1.5,1.5,1.5,1.5,7,9176,13764
7/30/19,1.5,1.7,1.5,1.5,2,404,612.2
7/29/19,1.6,1.7,1.5,1.6,23,5503,8754.8
7/26/19,1.6,1.7,1.5,1.6,20,20832,32294.2
7/25/19,1.5,1.7,1.4,1.6,45,91290,138322.4
7/24/19,1.4,1.5,1.3,1.5,9,16825,25057.5
7/23/19,1.4,1.5,1.4,1.5,5,2750,3950
7/19/19,1.4,1.4,1.4,1.4,9,22100,30940
7/18/19,1.5,1.5,1.4,1.4,3,21,31.4
7/17/19,1.5,1.5,1.4,1.4,5,7580,10712
7/15/19,1.4,1.5,1.3,1.3,31,87961,120670.5
7/12/19,1.5,1.6,1.4,1.4,13,10304,15045.8
7/11/19,1.3,1.6,1.3,1.5,38,80070,117039.4
7/10/19,1.2,1.3,1.2,1.3,19,27573,35287.3
7/9/19,1.2,1.2,1.2,1.2,18,42403,50883.6
7/8/19,1.1,1.2,1.1,1.2,5,2702,2982.2
7/4/19,1.2,1.2,1.2,1.1,1,10,12
7/3/19,1.2,1.2,1.1,1.1,14,32590,38374
7/2/19,1.1,1.2,1,1.1,5,212,234.2
6/28/19,1.1,1.1,1.1,1.1,2,2500,2750
6/27/19,1.2,1.2,1.2,1.1,1,10,12
6/26/19,1.2,1.2,1.2,1.1,1,10,12
6/25/19,1.1,1.1,1.1,1.1,4,5999,6598.9
6/24/19,1.1,1.2,1.1,1.1,4,565,621.6
6/21/19,1.1,1.1,1.1,1.1,3,4300,4730
6/20/19,1,1.1,1,1.1,4,510,560.9
6/19/19,1.1,1.1,1,1.1,17,46601,51261
6/18/19,1.1,1.1,1,1,22,70902,71102
6/17/19,1.2,1.2,1,1.1,8,2932,3232
6/14/19,1.2,1.2,1.1,1.1,7,3054,3424.8
6/13/19,1.2,1.2,1.2,1.1,2,58,69.6
6/12/19,1.1,1.1,1.1,1.1,1,2,2.2
6/11/19,1.1,1.2,1.1,1.1,6,2140,2459
6/7/19,1,1.1,1,1,9,5167,5179
6/6/19,1,1.1,1,1,7,16350,16390
6/4/19,1.1,1.1,1,1,2,3000,3100
6/3/19,1.2,1.2,1.1,1.2,3,2976,3423.7
5/31/19,1.3,1.3,1.1,1.1,46,108814,122097.1
5/30/19,1.3,1.3,1.3,1.3,1,100,130
5/29/19,1.2,1.4,1.2,1.3,20,25351,31966.3
5/28/19,1.6,1.6,1.2,1.2,9,21200,29733.7
5/27/19,1.7,1.7,1.5,1.6,18,26999,41886
5/24/19,1.5,2,1.5,1.7,147,473806,879689.6
5/23/19,1.5,1.6,1.5,1.6,58,220699,352818.4
5/22/19,1,1.3,1,1.3,9,24955,27600
5/17/19,0.9,0.9,0.9,0.9,1,5000,4500
5/15/19,0.8,0.8,0.8,0.8,1,1500,1200
5/14/19,1,1,0.8,0.8,9,13420,10880
5/13/19,0.9,0.9,0.9,0.9,1,1000,900
5/10/19,0.9,0.9,0.9,0.9,4,9603,8642.7
5/9/19,0.9,0.9,0.9,0.9,5,6400,5760
5/7/19,0.9,1,0.9,0.9,17,105720,97318
5/6/19,1,1,0.9,0.9,6,23101,21280.9
5/2/19,1,1.2,1,1.1,5,1201,1311.2
4/30/19,1.1,1.1,1.1,1.1,4,169,185.9
4/29/19,1.3,1.3,1.1,1.3,7,16920,21995.8
12/7/18,1.1,1.1,1.1,1.1,13,36501,40151.1
12/6/18,1,1.1,1.1,1,1,1,1.1
12/5/18,1,1,1,1,22,60684,60684
12/4/18,1.1,1.1,1,1.1,6,7009,7709
11/29/18,1,1,1,1,2,1000,1000
11/21/18,1.1,1.2,1.1,1.1,2,1001,1101.2
11/16/18,1.2,1.2,1.2,1.2,1,50,60
11/14/18,1.2,1.2,1.2,1.2,1,500,600
11/13/18,1.2,1.2,1.2,1.2,1,1000,1200
11/12/18,1.2,1.2,1.1,1.2,7,1655,1966
11/9/18,1.2,1.2,1.2,1.2,8,54001,64801.2
11/8/18,1.2,1.2,1.1,1.2,7,11102,12222.2
11/7/18,1.2,1.2,1.2,1.2,2,1895,2274
11/5/18,1.2,1.3,1.2,1.2,5,4107,5028.5
11/2/18,1.2,1.2,1.1,1.2,10,11210,13302
11/1/18,1.2,1.2,1.1,1.2,9,2426,2910.7
10/31/18,1,1,1,1,2,1200,1200
10/30/18,1.2,1.3,1.1,1.2,8,60296,66426
10/29/18,1.2,1.3,1.1,1.2,20,140087,173223.3
10/26/18,1.1,1.1,1.1,1.1,2,250,275
10/25/18,1.1,1.1,1.1,1.1,1,1,1.1
10/23/18,1.1,1.1,1.1,1.1,3,251,276.1
10/22/18,0.9,1.1,0.9,0.9,3,2101,1911.1
10/19/18,1.1,1.1,1,1.1,54,2352,2487.2
10/18/18,1,1,0.9,1,17,40778,39458
10/17/18,1,1.1,1,1,78,99903,99903.1
10/15/18,1,1.1,1,1,8,22056,22761.5
10/12/18,1.1,1.1,1.1,1.1,1,1,1.1
10/11/18,1.1,1.1,1.1,1.1,1,205,225.5
10/10/18,1.1,1.1,1.1,1.1,5,4600,5060
10/8/18,1.2,1.2,1.2,1.2,3,1900,2280
10/5/18,1.2,1.2,1.2,1.2,2,2100,2520
10/4/18,1.2,1.2,1.2,1.2,2,1000,1200
10/3/18,1.2,1.2,1.1,1.2,7,5451,6121.2
10/1/18,1.2,1.2,1.2,1.2,2,1250,1500
9/28/18,1.2,1.2,1.2,1.2,1,1000,1200
9/27/18,1.2,1.2,1.2,1.2,1,1,1.2
9/25/18,1.2,1.2,1.2,1.2,1,900,1080
9/21/18,1.1,1.2,1.1,1.2,5,8550,9910
9/20/18,1.2,1.2,1.1,1.2,3,503,603.3
9/19/18,1.2,1.2,1.2,1.2,5,1850,2220
9/18/18,1.2,1.2,1.2,1.2,5,400,480
9/17/18,1.2,1.2,1.1,1.1,2,949,1048.9
9/14/18,1.2,1.2,1.1,1.2,4,5420,6492
9/13/18,1.1,1.2,1.1,1.1,11,55409,60950
9/12/18,1.2,1.2,1.2,1.2,2,185,222
9/11/18,1.2,1.2,1.2,1.1,1,1,1.2
9/10/18,1.2,1.2,1.1,1.1,5,1004,1104.7
9/7/18,1.2,1.2,1.1,1.1,18,103609,119700.2
9/6/18,1.2,1.2,1.2,1.2,4,400,480
9/5/18,1.2,1.2,1.2,1.2,4,8000,9600
9/4/18,1.2,1.3,1.1,1.2,43,311118,373341.4
9/3/18,1.2,1.2,1.2,1.2,2,21500,25800
8/31/18,1.2,1.2,1.1,1.2,7,70104,84124.6
8/29/18,1.2,1.2,1.2,1.2,8,123000,147600
8/28/18,1.1,1.2,1,1.2,16,400004,479757.4
8/27/18,1.1,1.1,1.1,1.1,4,1200,1320
8/24/18,1.1,1.2,1,1.2,13,43395,47994
8/16/18,1.2,1.2,1.2,1.2,1,10000,12000
8/15/18,1.2,1.2,1.2,1.2,5,598500,718200
8/13/18,1.2,1.2,1.2,1.2,3,1823,2187.6
8/9/18,1.1,1.2,1.1,1.2,11,4882,5520.2
8/8/18,1.2,1.2,1.2,1.2,2,2850,3420
8/7/18,1.2,1.2,1.2,1.2,8,57000,68400
8/6/18,1.3,1.3,1.3,1.2,1,1,1.3
8/2/18,1.2,1.2,1.2,1.2,1,10000,12000
8/1/18,1.3,1.3,1.2,1.2,4,15110,18142
7/31/18,1.4,1.4,1.3,1.3,10,28390,36907.4
7/30/18,1.3,1.3,1.3,1.3,17,55284,71869.2
7/26/18,1.4,1.5,1.3,1.4,7,10270,14374
7/25/18,1.4,1.4,1.4,1.3,1,3,4.2
7/24/18,1.3,1.6,1.3,1.3,3,55,76.5
7/20/18,1.3,1.3,1.3,1.3,1,1000,1300
