Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,4.9,4.9,4.7,4.8,175,2162915,10368309
10/12/23,4.8,4.9,4.8,4.8,127,635062,3068718.1
10/11/23,4.9,5,4.7,4.8,306,3046025,14642554.4
10/10/23,4.9,5,4.9,4.9,149,634498,3139642.6
10/9/23,5,5,4.8,5,306,3165859,15609256
10/6/23,5,5.1,4.9,4.9,96,419334,2076538
10/5/23,5.1,5.1,4.9,5,156,934341,4672942.9
10/4/23,5,5.1,4.9,5,213,1047378,5259630.9
10/3/23,5,5.1,4.9,4.9,213,1483770,7310372.7
10/2/23,5,5.1,4.9,5,274,1500966,7523562.1
9/27/23,5.1,5.2,5,5,189,1081834,5472411.9
9/26/23,5.2,5.2,5,5,330,3947015,19864339
9/25/23,5.2,5.2,5,5.1,206,950783,4880465.5
9/22/23,5.1,5.2,5,5.1,235,1135491,5801913.4
9/21/23,5.1,5.2,5.1,5.1,101,686561,3518041
9/20/23,5.2,5.3,5.1,5.2,155,523526,2715273.6
9/19/23,5.2,5.3,5.1,5.2,178,1138101,5896046.9
9/18/23,5.3,5.3,5.1,5.1,235,1056294,5442190
9/15/23,5.3,5.3,5.2,5.2,141,946545,4947283.1
9/14/23,5.3,5.3,5.1,5.2,226,1384361,7206938.3
9/13/23,5.2,5.3,5.2,5.3,84,344605,1817314.2
9/12/23,5.3,5.3,5.1,5.2,179,1246574,6479622.2
9/11/23,5.3,5.3,5.1,5.2,254,998293,5205119.3
9/8/23,5.3,5.3,5.2,5.2,225,1150966,6009828
9/7/23,5.4,5.4,5.2,5.3,205,1687103,8803696.2
9/6/23,5.4,5.4,5.2,5.3,233,1928599,10244774.8
9/5/23,5.4,5.4,5.3,5.3,178,1398531,7440604.6
9/4/23,5.4,5.5,5.3,5.3,251,2315184,12331468.8
9/1/23,5.4,5.4,5.3,5.3,156,1511674,8099301.3
8/31/23,5.3,5.4,5.3,5.3,172,1264435,6726803.5
8/29/23,5.3,5.5,5.2,5.3,346,2765328,14682307.1
8/28/23,5.4,5.5,5.3,5.4,151,577572,3107850.6
8/25/23,5.4,5.4,5.3,5.4,184,918127,4898047.3
8/24/23,5.5,5.5,5.2,5.3,411,3800804,20184964.1
8/23/23,5.4,5.5,5.3,5.4,300,1708127,9214552.3
8/22/23,5.5,5.5,5.3,5.3,388,2309456,12397026.5
8/21/23,5.6,5.7,5.4,5.4,462,4331624,24045382.5
8/18/23,5.6,5.6,5.4,5.5,445,2775174,15287409.7
8/17/23,5.6,5.7,5.5,5.6,529,5139370,28558831
8/16/23,5.5,5.8,5.5,5.7,386,4300486,24226608.1
8/15/23,5.6,5.8,5.6,5.6,362,3356151,18974807.6
8/14/23,5.8,5.9,5.6,5.7,318,3083255,17643029.7
8/11/23,5.9,5.9,5.7,5.7,161,1329039,7697700
8/10/23,5.8,5.9,5.7,5.8,241,1404454,8127613.3
8/9/23,5.9,5.9,5.7,5.8,258,1969430,11421439.3
8/8/23,5.9,6,5.8,5.8,326,3523477,20569583.5
8/7/23,5.9,6,5.8,5.8,381,2799605,16379730.1
8/4/23,6.1,6.1,5.8,5.9,464,5331441,31530180.9
8/3/23,6,6.1,5.9,6,415,8043523,48260858.2
8/2/23,6,6.1,5.9,6,270,3043441,18284524.1
7/31/23,6.2,6.2,5.9,6,432,5597000,33622124.8
7/28/23,6.1,6.3,6,6.1,560,6505047,39988254.2
7/27/23,5.9,6.1,5.9,6,189,2673750,15987394.2
7/26/23,6,6,5.9,5.9,235,1819693,10755418.7
7/25/23,6,6.1,5.9,5.9,335,3257078,19432492.3
7/24/23,6.1,6.1,5.9,6,342,3727294,22437550.9
7/21/23,6,6.1,5.9,6,395,4049497,24357978.7
7/20/23,6.1,6.1,5.9,5.9,440,2665368,15795748.6
7/19/23,6,6.1,5.8,6,480,5112006,30484228.5
7/18/23,6.1,6.1,5.9,5.9,440,4829755,28693665.4
7/17/23,6.1,6.2,6,6,616,5742292,35028376.3
7/14/23,6.1,6.2,6,6.1,373,3255430,19795802.4
7/13/23,6.3,6.3,6,6.1,421,3613101,22241478.5
7/12/23,6,6.4,6,6.2,816,14208320,88315718.5
7/11/23,6.1,6.1,5.9,6,315,4081482,24461504.2
7/10/23,5.9,6.1,5.8,6,445,6610132,39460710.8
7/7/23,6,6,5.8,5.9,457,6370675,37657832.4
7/6/23,6,6.1,5.8,5.9,546,6255761,36987738.4
7/5/23,6.2,6.4,5.8,5.9,1047,16681953,100513169.6
7/4/23,5.4,6.2,5.4,6.1,1842,41138136,240123657.9
