Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,8.1,8.7,7,8.7,8,1200,9803.8
10/12/23,8.1,8.5,8.1,8.7,2,6,49
10/10/23,8.7,8.7,8.7,8.7,2,1600,13920
10/9/23,8.7,8.7,8.2,8.4,8,1406,11736.4
10/6/23,8.5,8.5,8.5,8.8,1,14,119
10/5/23,8.8,8.8,8.8,8.8,5,250,2200
10/4/23,8.4,8.8,8.4,8.7,5,708,6147.4
10/3/23,8.4,8.4,8.4,8.8,2,55,462
9/27/23,8.8,8.8,8.5,8.8,3,3300,29010
9/26/23,8.8,8.8,8.3,8.8,3,2915,25452
9/22/23,8.8,8.8,8.8,8.8,1,500,4400
9/20/23,8.2,8.5,8.2,8.5,5,3501,29668.2
9/19/23,8.2,8.5,8.2,8.5,3,1110,9412
9/18/23,8.2,8.5,8.2,8.5,8,7000,57702
9/15/23,8.5,8.5,8.2,8.5,6,5526,45471.4
9/14/23,8.2,8.5,8.2,8.5,4,1305,10851
9/13/23,8.5,8.5,8.2,8.3,5,1405,11711
9/12/23,8.5,8.5,8.5,8.2,2,10,85
9/11/23,8.5,8.5,8.2,8.2,6,1101,9052
9/8/23,8.3,8.3,8.3,8.3,5,1406,11669.8
9/7/23,8.3,8.4,8.3,8.3,2,300,2500
9/6/23,8.3,8.5,8.3,8.4,2,140,1182
9/5/23,8.5,8.5,8.3,8.5,14,6000,50735.7
9/4/23,8.5,8.5,8.4,8.5,17,4045,34268.1
9/1/23,8.6,8.9,8.5,8.7,8,2035,17735
8/29/23,8.5,8.9,8.5,8.9,5,510,4514.9
8/28/23,8.5,8.7,8.5,8.7,22,6131,52338.7
8/25/23,8.7,8.7,8.7,8.3,2,60,522
8/24/23,8.5,8.5,8.2,8.3,8,3520,29198
8/23/23,8.6,8.7,8.6,8.2,2,3,26
8/22/23,8.3,8.3,8.2,8.2,7,1400,11515
8/21/23,8.3,8.3,8.2,8.3,3,301,2488.2
8/18/23,8.3,8.4,8.1,8.2,12,2200,18082.4
8/17/23,8.5,8.5,8.4,8.4,6,401,3368.6
8/16/23,8.5,8.5,8.4,8.5,15,4250,36025
8/15/23,8.6,8.6,8.5,8.5,5,4930,41928
8/14/23,8.8,8.8,8.6,8.7,23,3721,32304.8
8/11/23,8.5,9,8.5,9,20,4019,35554.2
8/10/23,9.1,9.1,9,9,8,3238,29282.2
8/9/23,8.8,9.6,8.8,9.1,28,21875,202240.2
8/7/23,8.8,9.1,8.8,9,3,610,5489.5
8/2/23,9,9.3,9,9.3,11,8917,81979.5
7/31/23,9.5,9.7,8.5,9.2,6,758,7004.2
7/28/23,9.6,9.6,9,9.2,6,417,3827
7/27/23,9.5,9.8,9.5,9.6,21,25509,244512.5
7/26/23,9,9.5,9,9.5,7,568,5239.1
7/25/23,9.5,9.5,9.3,9.3,12,3510,32983
7/24/23,9.1,9.1,8.7,9,9,2445,21426.5
7/21/23,8.6,9.4,8.5,9.4,10,2128,19670.2
7/20/23,9.1,9.2,9.1,9.1,6,6025,55327.5
7/19/23,9.3,9.7,9.2,9.3,14,3476,32310.6
7/18/23,9.7,9.7,9.2,9.5,6,61,588.4
7/17/23,9.5,9.5,9.3,9.5,9,10055,95521.5
