Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/11/23,200.25,220,200,218,8,55,11220.25
10/10/23,200,200,200,218,1,2,400
10/9/23,210,210,210,218,1,1,210
10/3/23,211,211,210,218,3,41,8631
10/2/23,214,214,214,218,1,1,214
9/27/23,219,219,218,218,2,29,6329
9/26/23,217,217,217,218,3,21,4557
9/25/23,219,219,210,218,10,95,20481.75
9/21/23,239.75,239.75,221,218,4,8,1786.75
9/20/23,245,245,245,218,2,2,490
9/18/23,220,220,220,218,2,3,660
9/14/23,219,219,219,218,2,10,2190
9/11/23,230,230,230,218,1,1,230
9/7/23,218,218,218,218,2,100,21800
9/5/23,235,246.75,235,239,9,167,39908.5
9/4/23,235,235,235,223,1,1,235
9/1/23,236.25,236.25,207,223,5,81,17696
8/31/23,236.25,236.25,221.75,223,2,6,1403
8/29/23,231.75,234,222,223,8,37,8525.75
8/28/23,207.25,207.25,207.25,223,1,1,207.25
8/25/23,236.5,236.5,206.5,223,2,37,8180.5
8/24/23,224.75,224.75,210,223,4,117,26096.75
8/23/23,222.5,245,222.5,225,3,3,711.25
8/22/23,225,225,225,225,6,106,23850
8/21/23,247,247,230,230.75,4,107,24697
8/18/23,244.75,254,244.75,253.5,8,190,47865.25
8/17/23,228.25,272,201,244.5,35,412,100744.25
8/16/23,225,228.5,225,225,5,115,25878.5
8/15/23,214,235,192,223.75,19,119,26535
8/14/23,200,215,200,201.5,8,135,27173.5
8/11/23,181,211.5,181,191.75,13,240,45894.5
8/10/23,180,180,180,180,3,200,36000
8/8/23,202.25,202.25,200,210,4,20,4009.25
8/7/23,211,211,204,210,5,17,3482
8/4/23,201,213,201,210,3,6,1266
8/3/23,215,215,215,210,4,20,4300
7/31/23,210,210,200,210,5,219,45979.75
7/28/23,210,217,210,210,9,102,21427
7/26/23,200,204,200,192.5,2,11,2204
7/25/23,197,202,197,192.5,5,38,7661
7/24/23,180,206,180,192.5,5,29,5450.25
7/21/23,192,205,191,192.5,8,115,22137.5
7/20/23,188,205.5,188,202.5,51,684,135470.75
7/19/23,186,188,175.75,164.5,7,76,13606.25
7/18/23,174,174,174,164.5,1,30,5220
7/17/23,170,189.5,170,164.5,11,38,6906.75
7/14/23,175,180.5,173.75,164.5,5,47,8229.25
7/13/23,180,180,180,164.5,2,11,1980
7/12/23,160,179,160,164.5,5,8,1403.75
7/11/23,172.5,175,172,164.5,8,35,6043.5
7/10/23,168,168,168,164.5,1,50,8400
7/7/23,156,157.5,156,164.5,5,54,8488
7/6/23,166,166,166,164.5,1,10,1660
7/5/23,164.5,164.5,164,164.5,9,465,76490.5
7/4/23,164.5,164.5,164.5,135.5,3,11,1809.5
6/28/23,164.5,164.5,164.5,135.5,2,10,1645
6/27/23,150,155,150,135.5,11,41,6155
6/26/23,160,160,160,135.5,3,36,5760
6/23/23,165,165,165,135.5,1,10,1650
6/19/23,164,164,164,135.5,1,10,1640
6/16/23,155.25,165,130,135.5,8,493,66806.5
6/15/23,167,167,167,167,1,50,8350
6/13/23,170,170,170,167,1,1,170
6/9/23,160,160,160,167,1,5,800
6/7/23,155,190,155,167,10,99,17109.5
6/5/23,168,170,168,167,4,31,5264
6/2/23,168,168,168,167,2,24,4032
6/1/23,159,168,159,167,4,101,16874.75
5/31/23,159,160,158,133.5,6,11,1744.5
5/30/23,147,147,122,133.5,6,299,39933
5/29/23,175,175,175,160.5,2,2,350
5/23/23,160,160,160,160.5,1,1,160
5/11/23,160,160,160,160.5,2,20,3200
5/10/23,170,170,160,160.5,6,200,32086
