Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,35,35,32,32,8,1150,37250
10/12/23,37.4,37.4,37.4,37.5,1,5,187
10/11/23,37.5,37.5,37.5,37.5,2,220,8250
10/10/23,37.5,37.5,37.5,38,1,11,412.5
10/6/23,38.9,39.1,38.9,38,2,68,2653
10/4/23,37.5,37.5,37.5,38,1,2,75
10/3/23,38,38,38,38,1,300,11400
10/2/23,39,39,39,39,1,2,78
9/22/23,38.7,38.7,38.7,39,1,4,154.8
9/20/23,35,38.5,35,39,2,3,112
9/19/23,38.5,38.5,38.5,39,1,5,192.5
9/15/23,38.5,38.5,38.5,39,1,25,962.5
9/14/23,38.5,38.5,38.5,39,1,10,385
9/13/23,39,39,39,39,3,1051,40989
9/12/23,39,39,39,39,1,100,3900
9/11/23,39.2,39.2,39,39,2,504,19656.8
9/8/23,39.2,39.2,39,39.2,3,106,4154.4
9/7/23,39.2,39.2,39.2,38.7,4,9,352.8
9/6/23,39.2,39.2,39.2,38.7,1,1,39.2
9/5/23,38.7,39,38.7,38.7,2,11,428.7
9/4/23,39.2,39.2,39.2,38.7,2,24,940.8
9/1/23,39.2,39.2,39.2,38.7,2,8,313.6
8/29/23,39.2,39.2,39.2,38.7,3,52,2038.4
8/28/23,39.2,39.2,39.2,38.7,3,25,980
8/25/23,39.2,39.2,39.2,38.7,3,14,548.8
8/24/23,39.2,39.2,39.2,38.7,2,35,1372
8/23/23,39.2,39.2,38,38.7,7,86,3359.2
8/22/23,38.1,38.1,38.1,38.7,3,80,3048
8/21/23,39.2,39.2,38.4,38.7,7,115,4453.1
8/18/23,39.2,39.2,39.1,39.1,7,136,5321.2
8/17/23,39.2,39.2,39.2,39.2,4,2550,99960
8/16/23,42,42,39.2,39.2,5,202,7924
8/11/23,42,42,42,39,1,15,630
8/10/23,40,40,39,39,9,3425,133993.3
8/9/23,41.9,43,41,41,5,1163,47860.8
8/8/23,40.2,40.2,40,40,16,21002,840081.2
8/7/23,40.7,40.7,39.3,39.8,4,300,12119
8/4/23,40.5,40.5,39.9,40.5,4,1527,61833.3
8/3/23,40.5,40.5,40.5,40.5,5,5000,202500
8/2/23,40.7,41.5,40.5,40.5,20,29826,1208092.7
7/31/23,44,44,40.6,40.6,8,20070,815065.9
7/28/23,41.7,41.7,40.5,40.5,6,12002,486183.4
7/27/23,40.5,42.5,40.5,40.4,3,5,206.4
7/26/23,40.5,41.9,40.3,40.4,12,5015,202254.6
7/25/23,40.2,40.2,40.1,40.1,7,4665,187070.3
7/24/23,40.1,40.1,40.1,40.1,1,1000,40100
7/21/23,40,40,40,40,2,450,18000
7/20/23,41,41.1,41,41,7,1004,41164.4
7/19/23,40.1,40.1,40,40,11,22904,916210.6
7/18/23,40.2,40.2,40,40,4,2010,80409
7/17/23,41.8,41.8,40.1,41.8,2,1501,62740.1
