Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/13/23,10.2,10.9,10,10.6,5,431,4529.9
10/12/23,10.5,10.5,10,10.2,31,17021,171568.9
10/11/23,10.9,10.9,10.5,10.6,8,4484,48130.3
10/9/23,10.3,10.6,10.3,10.6,5,807,8463.5
10/6/23,10.6,10.6,10.6,10.6,4,1057,11204.2
10/5/23,10.4,10.4,10.2,10.3,8,5800,59725
10/4/23,10.5,10.5,10.4,10.4,8,1951,20450.5
10/3/23,10.8,10.8,10.5,10.5,3,250,2670
10/2/23,10.6,10.6,10.3,10.4,20,3140,32663
9/27/23,10.6,10.6,10.5,10.5,5,1056,11158
9/26/23,10.8,10.8,10.6,10.6,9,3608,38480
9/25/23,11,11,11,10.8,1,20,220
9/22/23,11,11,10.7,10.8,5,1123,12033
9/21/23,11.5,11.5,10.6,10.7,7,5143,54975.9
9/20/23,11,11,10.7,10.7,20,10642,114882.6
9/19/23,10.9,10.9,10.9,10.9,2,26,283.4
9/18/23,11,11.3,10.9,10.9,4,261,2861.3
9/15/23,11.3,11.3,11.3,11.3,4,2495,28193.5
9/14/23,11,11.3,10.9,11,8,1015,11118.5
9/13/23,11.3,11.7,11.3,11.4,5,1015,11570.8
9/12/23,10.9,11.4,10.9,11,6,1553,17149
9/11/23,10.9,10.9,10.8,10.9,7,2600,28281.2
9/8/23,10.9,11.1,10.8,10.9,33,108111,1178047.8
9/7/23,11,11.3,11,11.3,3,600,6720
9/6/23,11.4,11.6,11.2,11.4,6,81,909.9
9/5/23,11.2,11.9,11,11.4,16,7456,83925.4
9/4/23,11.2,11.2,11.2,11.2,2,900,10080
9/1/23,11.2,11.2,11.2,11.2,11,4238,47465.6
8/31/23,11.3,11.3,11.2,11.2,23,3498,39180.6
8/29/23,11.1,11.2,11,11.1,9,3898,43287.7
8/28/23,11.2,11.2,11.2,11.2,8,620,6944
8/25/23,11,11.5,10.7,11.2,19,6962,77320
8/24/23,10.9,10.9,10.7,10.7,4,451,4825.9
8/23/23,10.9,11.2,10.7,10.9,8,4126,44870.6
8/22/23,10.9,10.9,10.8,10.9,10,4960,53964
8/21/23,11.1,11.1,11.1,11.1,3,155,1720.5
8/18/23,11,11,10.5,10.6,20,12499,132710.4
8/17/23,11.1,11.1,11,11,13,5750,63300
8/16/23,11.1,11.5,11,11.1,21,19462,217650.6
8/15/23,11.2,11.2,11,11,11,3000,33077
8/14/23,11.2,11.5,11.2,11.5,4,1500,16940
8/11/23,11.2,11.2,11.2,11.2,1,2,22.4
8/10/23,11.2,11.2,11.2,11.2,1,200,2240
8/9/23,11.3,11.3,11.2,11.2,9,2300,25890
8/8/23,11.2,11.3,11.2,11.3,3,210,2372
8/7/23,11.6,11.9,11.3,11.3,10,7285,83906.1
8/4/23,11.2,11.7,11.2,11.5,27,9556,109074.9
8/3/23,11.4,11.5,11.2,11.2,5,280,3149.7
8/2/23,11.7,11.8,11.4,11.8,15,6345,73679.1
7/31/23,11.6,11.8,11.5,11.5,8,5390,62077
7/28/23,11.4,11.9,11.4,11.6,25,39967,461719.8
7/27/23,11.8,12,11.5,11.8,12,103551,1222251.5
7/26/23,12.3,12.3,11.7,11.8,28,41391,490099.1
7/25/23,11.6,12.4,11.2,12,92,110118,1320957.7
7/24/23,11.5,11.6,11.5,11.6,8,6901,80005.1
7/21/23,11.1,12.3,11.1,11.6,34,65653,771383.5
7/20/23,11.1,11.4,11.1,11.3,14,7355,82248
7/19/23,11.6,11.6,10.5,11.3,56,45393,496962.5
7/18/23,11.4,11.4,11.1,11.2,6,514,5796.6
7/17/23,11.7,12.2,10.9,11.4,45,24666,279166.1
